source,target,relationship,weight
claimant:CLT0028,policy:POL0058,OWNS,1.0
claimant:CLT0036,policy:POL0059,OWNS,1.0
claimant:CLT0072,policy:POL0060,OWNS,1.0
claimant:CLT0031,policy:POL0061,OWNS,1.0
claimant:CLT0098,policy:POL0062,OWNS,1.0
claimant:CLT0058,policy:POL0063,OWNS,1.0
claimant:CLT0029,policy:POL0064,OWNS,1.0
claimant:CLT0085,policy:POL0065,OWNS,1.0
claimant:CLT0068,policy:POL0066,OWNS,1.0
claimant:CLT0043,policy:POL0067,OWNS,1.0
claimant:CLT0040,policy:POL0068,OWNS,1.0
claimant:CLT0041,policy:POL0069,OWNS,1.0
claimant:CLT0025,policy:POL0070,OWNS,1.0
claimant:CLT0093,policy:POL0071,OWNS,1.0
claimant:CLT0013,policy:POL0072,OWNS,1.0
claimant:CLT0047,policy:POL0073,OWNS,1.0
claimant:CLT0017,policy:POL0074,OWNS,1.0
claimant:CLT0038,policy:POL0075,OWNS,1.0
claimant:CLT0014,policy:POL0076,OWNS,1.0
claimant:CLT0061,policy:POL0077,OWNS,1.0
claimant:CLT0007,policy:POL0078,OWNS,1.0
claimant:CLT0106,policy:POL0079,OWNS,1.0
claimant:CLT0074,policy:POL0080,OWNS,1.0
claimant:CLT0020,policy:POL0081,OWNS,1.0
claimant:CLT0032,policy:POL0082,OWNS,1.0
claimant:CLT0100,policy:POL0083,OWNS,1.0
claimant:CLT0039,policy:POL0084,OWNS,1.0
claimant:CLT0073,policy:POL0085,OWNS,1.0
claimant:CLT0098,policy:POL0086,OWNS,1.0
claimant:CLT0085,policy:POL0087,OWNS,1.0
claimant:CLT0071,policy:POL0088,OWNS,1.0
claimant:CLT0058,policy:POL0089,OWNS,1.0
claimant:CLT0005,policy:POL0090,OWNS,1.0
claimant:CLT0090,policy:POL0091,OWNS,1.0
claimant:CLT0119,policy:POL0092,OWNS,1.0
claimant:CLT0055,policy:POL0093,OWNS,1.0
claimant:CLT0117,policy:POL0094,OWNS,1.0
claimant:CLT0008,policy:POL0095,OWNS,1.0
claimant:CLT0118,policy:POL0096,OWNS,1.0
claimant:CLT0089,policy:POL0097,OWNS,1.0
claimant:CLT0065,policy:POL0098,OWNS,1.0
claimant:CLT0077,policy:POL0099,OWNS,1.0
claimant:CLT0078,policy:POL0100,OWNS,1.0
claimant:CLT0087,policy:POL0101,OWNS,1.0
claimant:CLT0098,policy:POL0102,OWNS,1.0
claimant:CLT0098,policy:POL0103,OWNS,1.0
claimant:CLT0084,policy:POL0104,OWNS,1.0
claimant:CLT0075,policy:POL0105,OWNS,1.0
claimant:CLT0061,policy:POL0106,OWNS,1.0
claimant:CLT0086,policy:POL0107,OWNS,1.0
claimant:CLT0053,policy:POL0108,OWNS,1.0
claimant:CLT0105,policy:POL0109,OWNS,1.0
claimant:CLT0012,policy:POL0110,OWNS,1.0
claimant:CLT0099,policy:POL0111,OWNS,1.0
claimant:CLT0085,policy:POL0112,OWNS,1.0
claimant:CLT0007,policy:POL0113,OWNS,1.0
claimant:CLT0081,policy:POL0114,OWNS,1.0
claimant:CLT0035,policy:POL0115,OWNS,1.0
claimant:CLT0113,policy:POL0116,OWNS,1.0
claimant:CLT0081,policy:POL0117,OWNS,1.0
claimant:CLT0040,policy:POL0118,OWNS,1.0
claimant:CLT0012,policy:POL0119,OWNS,1.0
claimant:CLT0016,policy:POL0120,OWNS,1.0
claimant:CLT0120,policy:POL0121,OWNS,1.0
claimant:CLT0054,policy:POL0122,OWNS,1.0
claimant:CLT0059,policy:POL0123,OWNS,1.0
claimant:CLT0118,policy:POL0124,OWNS,1.0
claimant:CLT0111,policy:POL0125,OWNS,1.0
claimant:CLT0120,policy:POL0126,OWNS,1.0
claimant:CLT0037,policy:POL0127,OWNS,1.0
claimant:CLT0111,policy:POL0128,OWNS,1.0
claimant:CLT0045,policy:POL0129,OWNS,1.0
claimant:CLT0059,policy:POL0130,OWNS,1.0
claimant:CLT0074,policy:POL0131,OWNS,1.0
claimant:CLT0041,policy:POL0132,OWNS,1.0
claimant:CLT0050,policy:POL0133,OWNS,1.0
claimant:CLT0064,policy:POL0134,OWNS,1.0
claimant:CLT0076,policy:POL0135,OWNS,1.0
claimant:CLT0013,policy:POL0136,OWNS,1.0
claimant:CLT0093,policy:POL0137,OWNS,1.0
claimant:CLT0010,policy:POL0138,OWNS,1.0
claimant:CLT0080,policy:POL0139,OWNS,1.0
claimant:CLT0110,policy:POL0140,OWNS,1.0
claimant:CLT0049,vehicle:VEH0001,OWNS,1.0
claimant:CLT0031,vehicle:VEH0002,OWNS,1.0
claimant:CLT0013,vehicle:VEH0003,OWNS,1.0
claimant:CLT0006,vehicle:VEH0004,OWNS,1.0
claimant:CLT0056,vehicle:VEH0005,OWNS,1.0
claimant:CLT0022,vehicle:VEH0006,OWNS,1.0
claimant:CLT0064,vehicle:VEH0007,OWNS,1.0
claimant:CLT0059,vehicle:VEH0008,OWNS,1.0
claimant:CLT0087,vehicle:VEH0009,OWNS,1.0
claimant:CLT0076,vehicle:VEH0010,OWNS,1.0
claimant:CLT0109,vehicle:VEH0011,OWNS,1.0
claimant:CLT0031,vehicle:VEH0012,OWNS,1.0
claimant:CLT0003,vehicle:VEH0013,OWNS,1.0
claimant:CLT0107,vehicle:VEH0014,OWNS,1.0
claimant:CLT0082,vehicle:VEH0015,OWNS,1.0
claimant:CLT0116,vehicle:VEH0016,OWNS,1.0
claimant:CLT0075,vehicle:VEH0017,OWNS,1.0
claimant:CLT0096,vehicle:VEH0018,OWNS,1.0
claimant:CLT0068,vehicle:VEH0019,OWNS,1.0
claimant:CLT0117,vehicle:VEH0020,OWNS,1.0
claimant:CLT0060,vehicle:VEH0021,OWNS,1.0
claimant:CLT0109,vehicle:VEH0022,OWNS,1.0
claimant:CLT0034,vehicle:VEH0023,OWNS,1.0
claimant:CLT0075,vehicle:VEH0024,OWNS,1.0
claimant:CLT0004,vehicle:VEH0025,OWNS,1.0
claimant:CLT0082,vehicle:VEH0026,OWNS,1.0
claimant:CLT0018,vehicle:VEH0027,OWNS,1.0
claimant:CLT0013,vehicle:VEH0028,OWNS,1.0
claimant:CLT0086,vehicle:VEH0029,OWNS,1.0
claimant:CLT0084,vehicle:VEH0030,OWNS,1.0
claimant:CLT0005,vehicle:VEH0031,OWNS,1.0
claimant:CLT0110,vehicle:VEH0032,OWNS,1.0
claimant:CLT0008,vehicle:VEH0033,OWNS,1.0
claimant:CLT0012,vehicle:VEH0034,OWNS,1.0
claimant:CLT0017,vehicle:VEH0035,OWNS,1.0
claimant:CLT0105,vehicle:VEH0036,OWNS,1.0
claimant:CLT0036,vehicle:VEH0037,OWNS,1.0
claimant:CLT0015,vehicle:VEH0038,OWNS,1.0
claimant:CLT0076,vehicle:VEH0039,OWNS,1.0
claimant:CLT0017,vehicle:VEH0040,OWNS,1.0
claimant:CLT0058,vehicle:VEH0041,OWNS,1.0
claimant:CLT0079,vehicle:VEH0042,OWNS,1.0
claimant:CLT0062,vehicle:VEH0043,OWNS,1.0
claimant:CLT0092,vehicle:VEH0044,OWNS,1.0
claimant:CLT0009,vehicle:VEH0045,OWNS,1.0
claimant:CLT0049,vehicle:VEH0046,OWNS,1.0
claimant:CLT0013,vehicle:VEH0047,OWNS,1.0
claimant:CLT0053,vehicle:VEH0048,OWNS,1.0
claimant:CLT0041,vehicle:VEH0049,OWNS,1.0
claimant:CLT0020,vehicle:VEH0050,OWNS,1.0
claimant:CLT0056,vehicle:VEH0051,OWNS,1.0
claimant:CLT0076,vehicle:VEH0052,OWNS,1.0
claimant:CLT0046,vehicle:VEH0053,OWNS,1.0
claimant:CLT0014,vehicle:VEH0054,OWNS,1.0
claimant:CLT0109,vehicle:VEH0055,OWNS,1.0
claimant:CLT0098,vehicle:VEH0056,OWNS,1.0
claimant:CLT0078,vehicle:VEH0057,OWNS,1.0
claimant:CLT0118,vehicle:VEH0058,OWNS,1.0
claimant:CLT0073,vehicle:VEH0059,OWNS,1.0
claimant:CLT0096,vehicle:VEH0060,OWNS,1.0
claimant:CLT0044,vehicle:VEH0061,OWNS,1.0
claimant:CLT0114,vehicle:VEH0062,OWNS,1.0
claimant:CLT0035,vehicle:VEH0063,OWNS,1.0
claimant:CLT0035,vehicle:VEH0064,OWNS,1.0
claimant:CLT0037,vehicle:VEH0065,OWNS,1.0
claimant:CLT0029,vehicle:VEH0066,OWNS,1.0
claimant:CLT0028,vehicle:VEH0067,OWNS,1.0
claimant:CLT0001,vehicle:VEH0068,OWNS,1.0
claimant:CLT0069,vehicle:VEH0069,OWNS,1.0
claimant:CLT0056,vehicle:VEH0070,OWNS,1.0
claimant:CLT0074,vehicle:VEH0071,OWNS,1.0
claimant:CLT0003,vehicle:VEH0072,OWNS,1.0
claimant:CLT0012,vehicle:VEH0073,OWNS,1.0
claimant:CLT0068,vehicle:VEH0074,OWNS,1.0
claimant:CLT0043,vehicle:VEH0075,OWNS,1.0
claimant:CLT0116,vehicle:VEH0076,OWNS,1.0
claimant:CLT0014,vehicle:VEH0077,OWNS,1.0
claimant:CLT0098,vehicle:VEH0078,OWNS,1.0
claimant:CLT0097,vehicle:VEH0079,OWNS,1.0
claimant:CLT0020,vehicle:VEH0080,OWNS,1.0
claimant:CLT0102,vehicle:VEH0081,OWNS,1.0
claimant:CLT0040,vehicle:VEH0082,OWNS,1.0
claimant:CLT0107,vehicle:VEH0083,OWNS,1.0
claimant:CLT0060,vehicle:VEH0084,OWNS,1.0
claimant:CLT0078,vehicle:VEH0085,OWNS,1.0
claimant:CLT0104,vehicle:VEH0086,OWNS,1.0
claimant:CLT0032,vehicle:VEH0087,OWNS,1.0
claimant:CLT0047,vehicle:VEH0088,OWNS,1.0
claimant:CLT0087,vehicle:VEH0089,OWNS,1.0
claimant:CLT0043,vehicle:VEH0090,OWNS,1.0
claimant:CLT0043,vehicle:VEH0091,OWNS,1.0
claimant:CLT0017,vehicle:VEH0092,OWNS,1.0
claimant:CLT0105,vehicle:VEH0093,OWNS,1.0
claimant:CLT0003,vehicle:VEH0094,OWNS,1.0
claimant:CLT0099,vehicle:VEH0095,OWNS,1.0
claimant:CLT0010,vehicle:VEH0096,OWNS,1.0
claimant:CLT0085,vehicle:VEH0097,OWNS,1.0
claimant:CLT0021,vehicle:VEH0098,OWNS,1.0
claimant:CLT0053,vehicle:VEH0099,OWNS,1.0
claimant:CLT0030,vehicle:VEH0100,OWNS,1.0
claimant:CLT0048,vehicle:VEH0101,OWNS,1.0
claimant:CLT0065,vehicle:VEH0102,OWNS,1.0
claimant:CLT0112,vehicle:VEH0103,OWNS,1.0
claimant:CLT0071,vehicle:VEH0104,OWNS,1.0
claimant:CLT0035,vehicle:VEH0105,OWNS,1.0
claimant:CLT0117,vehicle:VEH0106,OWNS,1.0
claimant:CLT0007,vehicle:VEH0107,OWNS,1.0
claimant:CLT0048,vehicle:VEH0108,OWNS,1.0
claimant:CLT0102,vehicle:VEH0109,OWNS,1.0
claimant:CLT0090,vehicle:VEH0110,OWNS,1.0
claimant:CLT0003,vehicle:VEH0111,OWNS,1.0
claimant:CLT0015,vehicle:VEH0112,OWNS,1.0
claimant:CLT0031,vehicle:VEH0113,OWNS,1.0
claimant:CLT0077,vehicle:VEH0114,OWNS,1.0
claimant:CLT0092,vehicle:VEH0115,OWNS,1.0
claimant:CLT0031,vehicle:VEH0116,OWNS,1.0
claimant:CLT0009,vehicle:VEH0117,OWNS,1.0
claimant:CLT0082,vehicle:VEH0118,OWNS,1.0
claimant:CLT0101,vehicle:VEH0119,OWNS,1.0
claimant:CLT0018,vehicle:VEH0120,OWNS,1.0
claimant:CLT0107,vehicle:VEH0121,OWNS,1.0
claimant:CLT0009,vehicle:VEH0122,OWNS,1.0
claimant:CLT0102,vehicle:VEH0123,OWNS,1.0
claimant:CLT0105,vehicle:VEH0124,OWNS,1.0
claimant:CLT0037,vehicle:VEH0125,OWNS,1.0
claimant:CLT0016,vehicle:VEH0126,OWNS,1.0
claimant:CLT0044,vehicle:VEH0127,OWNS,1.0
claimant:CLT0119,vehicle:VEH0128,OWNS,1.0
claimant:CLT0011,vehicle:VEH0129,OWNS,1.0
claimant:CLT0014,vehicle:VEH0130,OWNS,1.0
claimant:CLT0001,location:mumbai,LOCATED_AT,1.0
claimant:CLT0002,location:pune,LOCATED_AT,1.0
claimant:CLT0003,location:delhi,LOCATED_AT,1.0
claimant:CLT0004,location:mumbai,LOCATED_AT,1.0
claimant:CLT0005,location:delhi,LOCATED_AT,1.0
claimant:CLT0006,location:delhi,LOCATED_AT,1.0
claimant:CLT0007,location:delhi,LOCATED_AT,1.0
claimant:CLT0008,location:pune,LOCATED_AT,1.0
claimant:CLT0009,location:pune,LOCATED_AT,1.0
claimant:CLT0010,location:mumbai,LOCATED_AT,1.0
claimant:CLT0011,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0012,location:surat,LOCATED_AT,1.0
claimant:CLT0013,location:delhi,LOCATED_AT,1.0
claimant:CLT0014,location:pune,LOCATED_AT,1.0
claimant:CLT0015,location:pune,LOCATED_AT,1.0
claimant:CLT0016,location:mumbai,LOCATED_AT,1.0
claimant:CLT0017,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0018,location:pune,LOCATED_AT,1.0
claimant:CLT0019,location:pune,LOCATED_AT,1.0
claimant:CLT0020,location:surat,LOCATED_AT,1.0
claimant:CLT0021,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0022,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0023,location:pune,LOCATED_AT,1.0
claimant:CLT0024,location:surat,LOCATED_AT,1.0
claimant:CLT0025,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0026,location:delhi,LOCATED_AT,1.0
claimant:CLT0027,location:surat,LOCATED_AT,1.0
claimant:CLT0028,location:delhi,LOCATED_AT,1.0
claimant:CLT0029,location:mumbai,LOCATED_AT,1.0
claimant:CLT0030,location:pune,LOCATED_AT,1.0
claimant:CLT0031,location:surat,LOCATED_AT,1.0
claimant:CLT0032,location:mumbai,LOCATED_AT,1.0
claimant:CLT0033,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0034,location:pune,LOCATED_AT,1.0
claimant:CLT0035,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0036,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0037,location:pune,LOCATED_AT,1.0
claimant:CLT0038,location:mumbai,LOCATED_AT,1.0
claimant:CLT0039,location:pune,LOCATED_AT,1.0
claimant:CLT0040,location:mumbai,LOCATED_AT,1.0
claimant:CLT0041,location:delhi,LOCATED_AT,1.0
claimant:CLT0042,location:surat,LOCATED_AT,1.0
claimant:CLT0043,location:delhi,LOCATED_AT,1.0
claimant:CLT0044,location:pune,LOCATED_AT,1.0
claimant:CLT0045,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0046,location:pune,LOCATED_AT,1.0
claimant:CLT0047,location:mumbai,LOCATED_AT,1.0
claimant:CLT0048,location:mumbai,LOCATED_AT,1.0
claimant:CLT0049,location:mumbai,LOCATED_AT,1.0
claimant:CLT0050,location:pune,LOCATED_AT,1.0
claimant:CLT0051,location:delhi,LOCATED_AT,1.0
claimant:CLT0052,location:surat,LOCATED_AT,1.0
claimant:CLT0053,location:mumbai,LOCATED_AT,1.0
claimant:CLT0054,location:surat,LOCATED_AT,1.0
claimant:CLT0055,location:mumbai,LOCATED_AT,1.0
claimant:CLT0056,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0057,location:pune,LOCATED_AT,1.0
claimant:CLT0058,location:pune,LOCATED_AT,1.0
claimant:CLT0059,location:mumbai,LOCATED_AT,1.0
claimant:CLT0060,location:delhi,LOCATED_AT,1.0
claimant:CLT0061,location:pune,LOCATED_AT,1.0
claimant:CLT0062,location:surat,LOCATED_AT,1.0
claimant:CLT0063,location:pune,LOCATED_AT,1.0
claimant:CLT0064,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0065,location:delhi,LOCATED_AT,1.0
claimant:CLT0066,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0067,location:delhi,LOCATED_AT,1.0
claimant:CLT0068,location:mumbai,LOCATED_AT,1.0
claimant:CLT0069,location:delhi,LOCATED_AT,1.0
claimant:CLT0070,location:delhi,LOCATED_AT,1.0
claimant:CLT0071,location:mumbai,LOCATED_AT,1.0
claimant:CLT0072,location:mumbai,LOCATED_AT,1.0
claimant:CLT0073,location:pune,LOCATED_AT,1.0
claimant:CLT0074,location:surat,LOCATED_AT,1.0
claimant:CLT0075,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0076,location:delhi,LOCATED_AT,1.0
claimant:CLT0077,location:pune,LOCATED_AT,1.0
claimant:CLT0078,location:mumbai,LOCATED_AT,1.0
claimant:CLT0079,location:pune,LOCATED_AT,1.0
claimant:CLT0080,location:delhi,LOCATED_AT,1.0
claimant:CLT0081,location:mumbai,LOCATED_AT,1.0
claimant:CLT0082,location:mumbai,LOCATED_AT,1.0
claimant:CLT0083,location:delhi,LOCATED_AT,1.0
claimant:CLT0084,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0085,location:mumbai,LOCATED_AT,1.0
claimant:CLT0086,location:mumbai,LOCATED_AT,1.0
claimant:CLT0087,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0088,location:surat,LOCATED_AT,1.0
claimant:CLT0089,location:pune,LOCATED_AT,1.0
claimant:CLT0090,location:delhi,LOCATED_AT,1.0
claimant:CLT0091,location:mumbai,LOCATED_AT,1.0
claimant:CLT0092,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0093,location:mumbai,LOCATED_AT,1.0
claimant:CLT0094,location:pune,LOCATED_AT,1.0
claimant:CLT0095,location:surat,LOCATED_AT,1.0
claimant:CLT0096,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0097,location:pune,LOCATED_AT,1.0
claimant:CLT0098,location:surat,LOCATED_AT,1.0
claimant:CLT0099,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0100,location:mumbai,LOCATED_AT,1.0
claimant:CLT0101,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0102,location:delhi,LOCATED_AT,1.0
claimant:CLT0103,location:mumbai,LOCATED_AT,1.0
claimant:CLT0104,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0105,location:surat,LOCATED_AT,1.0
claimant:CLT0106,location:delhi,LOCATED_AT,1.0
claimant:CLT0107,location:pune,LOCATED_AT,1.0
claimant:CLT0108,location:surat,LOCATED_AT,1.0
claimant:CLT0109,location:surat,LOCATED_AT,1.0
claimant:CLT0110,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0111,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0112,location:ahmedabad,LOCATED_AT,1.0
claimant:CLT0113,location:surat,LOCATED_AT,1.0
claimant:CLT0114,location:delhi,LOCATED_AT,1.0
claimant:CLT0115,location:pune,LOCATED_AT,1.0
claimant:CLT0116,location:surat,LOCATED_AT,1.0
claimant:CLT0117,location:surat,LOCATED_AT,1.0
claimant:CLT0118,location:delhi,LOCATED_AT,1.0
claimant:CLT0119,location:pune,LOCATED_AT,1.0
claimant:CLT0120,location:pune,LOCATED_AT,1.0
provider:PRV001,location:surat,LOCATED_AT,1.0
provider:PRV002,location:surat,LOCATED_AT,1.0
provider:PRV003,location:ahmedabad,LOCATED_AT,1.0
provider:PRV004,location:mumbai,LOCATED_AT,1.0
provider:PRV005,location:surat,LOCATED_AT,1.0
provider:PRV006,location:pune,LOCATED_AT,1.0
provider:PRV007,location:delhi,LOCATED_AT,1.0
provider:PRV008,location:mumbai,LOCATED_AT,1.0
provider:PRV009,location:ahmedabad,LOCATED_AT,1.0
provider:PRV010,location:delhi,LOCATED_AT,1.0
provider:PRV011,location:surat,LOCATED_AT,1.0
provider:PRV012,location:mumbai,LOCATED_AT,1.0
provider:PRV013,location:surat,LOCATED_AT,1.0
provider:PRV014,location:pune,LOCATED_AT,1.0
provider:PRV015,location:pune,LOCATED_AT,1.0
provider:PRV016,location:delhi,LOCATED_AT,1.0
provider:PRV017,location:ahmedabad,LOCATED_AT,1.0
provider:PRV018,location:delhi,LOCATED_AT,1.0
provider:PRV019,location:surat,LOCATED_AT,1.0
provider:PRV020,location:mumbai,LOCATED_AT,1.0
provider:PRV021,location:surat,LOCATED_AT,1.0
provider:PRV022,location:ahmedabad,LOCATED_AT,1.0
provider:PRV023,location:delhi,LOCATED_AT,1.0
provider:PRV024,location:pune,LOCATED_AT,1.0
provider:PRV025,location:delhi,LOCATED_AT,1.0
invoice:INV00001,provider:PRV007,ISSUED_BY,1.0
invoice:INV00002,provider:PRV016,ISSUED_BY,1.0
invoice:INV00003,provider:PRV018,ISSUED_BY,1.0
invoice:INV00004,provider:PRV015,ISSUED_BY,1.0
invoice:INV00005,provider:PRV020,ISSUED_BY,1.0
invoice:INV00006,provider:PRV010,ISSUED_BY,1.0
invoice:INV00007,provider:PRV024,ISSUED_BY,1.0
invoice:INV00008,provider:PRV014,ISSUED_BY,1.0
invoice:INV00009,provider:PRV019,ISSUED_BY,1.0
invoice:INV00010,provider:PRV011,ISSUED_BY,1.0
