node_id,node_type,source_id,attributes
claim:CLM00054,Claim,CLM00054,"{""claim_amount"": 124944, ""claim_date"": ""2026-02-20"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 54"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00055,Claim,CLM00055,"{""claim_amount"": 97270, ""claim_date"": ""2026-03-31"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 55"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00056,Claim,CLM00056,"{""claim_amount"": 35896, ""claim_date"": ""2026-03-22"", ""claim_type"": ""Accident"", ""description"": ""Claim description 56"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00057,Claim,CLM00057,"{""claim_amount"": 155681, ""claim_date"": ""2026-02-05"", ""claim_type"": ""Theft"", ""description"": ""Claim description 57"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00058,Claim,CLM00058,"{""claim_amount"": 238227, ""claim_date"": ""2026-05-06"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 58"", ""fraud_label"": 1, ""status"": ""Open""}"
claim:CLM00059,Claim,CLM00059,"{""claim_amount"": 218703, ""claim_date"": ""2026-02-19"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 59"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00060,Claim,CLM00060,"{""claim_amount"": 177810, ""claim_date"": ""2026-04-24"", ""claim_type"": ""Fire"", ""description"": ""Claim description 60"", ""fraud_label"": 1, ""status"": ""Open""}"
claim:CLM00061,Claim,CLM00061,"{""claim_amount"": 153281, ""claim_date"": ""2026-04-28"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 61"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00062,Claim,CLM00062,"{""claim_amount"": 101170, ""claim_date"": ""2026-07-30"", ""claim_type"": ""Accident"", ""description"": ""Claim description 62"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00063,Claim,CLM00063,"{""claim_amount"": 176356, ""claim_date"": ""2026-08-01"", ""claim_type"": ""Fire"", ""description"": ""Claim description 63"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00064,Claim,CLM00064,"{""claim_amount"": 35772, ""claim_date"": ""2026-08-10"", ""claim_type"": ""Theft"", ""description"": ""Claim description 64"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00065,Claim,CLM00065,"{""claim_amount"": 210743, ""claim_date"": ""2026-02-05"", ""claim_type"": ""Theft"", ""description"": ""Claim description 65"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00066,Claim,CLM00066,"{""claim_amount"": 89843, ""claim_date"": ""2026-02-13"", ""claim_type"": ""Fire"", ""description"": ""Claim description 66"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00067,Claim,CLM00067,"{""claim_amount"": 112897, ""claim_date"": ""2026-07-21"", ""claim_type"": ""Fire"", ""description"": ""Claim description 67"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00068,Claim,CLM00068,"{""claim_amount"": 222181, ""claim_date"": ""2026-03-24"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 68"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00069,Claim,CLM00069,"{""claim_amount"": 171101, ""claim_date"": ""2026-01-20"", ""claim_type"": ""Accident"", ""description"": ""Claim description 69"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00070,Claim,CLM00070,"{""claim_amount"": 157556, ""claim_date"": ""2026-03-25"", ""claim_type"": ""Accident"", ""description"": ""Claim description 70"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00071,Claim,CLM00071,"{""claim_amount"": 117628, ""claim_date"": ""2026-02-25"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 71"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00072,Claim,CLM00072,"{""claim_amount"": 153410, ""claim_date"": ""2026-02-03"", ""claim_type"": ""Fire"", ""description"": ""Claim description 72"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00073,Claim,CLM00073,"{""claim_amount"": 232145, ""claim_date"": ""2026-08-26"", ""claim_type"": ""Theft"", ""description"": ""Claim description 73"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00074,Claim,CLM00074,"{""claim_amount"": 99485, ""claim_date"": ""2026-06-17"", ""claim_type"": ""Fire"", ""description"": ""Claim description 74"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00075,Claim,CLM00075,"{""claim_amount"": 66379, ""claim_date"": ""2026-07-13"", ""claim_type"": ""Accident"", ""description"": ""Claim description 75"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00076,Claim,CLM00076,"{""claim_amount"": 64294, ""claim_date"": ""2026-06-01"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 76"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00077,Claim,CLM00077,"{""claim_amount"": 146850, ""claim_date"": ""2026-02-03"", ""claim_type"": ""Accident"", ""description"": ""Claim description 77"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00078,Claim,CLM00078,"{""claim_amount"": 202435, ""claim_date"": ""2026-07-28"", ""claim_type"": ""Theft"", ""description"": ""Claim description 78"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00079,Claim,CLM00079,"{""claim_amount"": 60851, ""claim_date"": ""2026-07-04"", ""claim_type"": ""Theft"", ""description"": ""Claim description 79"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00080,Claim,CLM00080,"{""claim_amount"": 202249, ""claim_date"": ""2026-02-05"", ""claim_type"": ""Fire"", ""description"": ""Claim description 80"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00081,Claim,CLM00081,"{""claim_amount"": 70055, ""claim_date"": ""2026-01-22"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 81"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00082,Claim,CLM00082,"{""claim_amount"": 138568, ""claim_date"": ""2026-06-05"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 82"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00083,Claim,CLM00083,"{""claim_amount"": 68198, ""claim_date"": ""2026-01-29"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 83"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00084,Claim,CLM00084,"{""claim_amount"": 230657, ""claim_date"": ""2026-04-10"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 84"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00085,Claim,CLM00085,"{""claim_amount"": 130440, ""claim_date"": ""2026-01-05"", ""claim_type"": ""Accident"", ""description"": ""Claim description 85"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00086,Claim,CLM00086,"{""claim_amount"": 188975, ""claim_date"": ""2026-04-19"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 86"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00087,Claim,CLM00087,"{""claim_amount"": 58267, ""claim_date"": ""2026-08-24"", ""claim_type"": ""Theft"", ""description"": ""Claim description 87"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00088,Claim,CLM00088,"{""claim_amount"": 226896, ""claim_date"": ""2026-07-06"", ""claim_type"": ""Theft"", ""description"": ""Claim description 88"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00089,Claim,CLM00089,"{""claim_amount"": 19425, ""claim_date"": ""2026-06-05"", ""claim_type"": ""Theft"", ""description"": ""Claim description 89"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00090,Claim,CLM00090,"{""claim_amount"": 95886, ""claim_date"": ""2026-09-01"", ""claim_type"": ""Fire"", ""description"": ""Claim description 90"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00091,Claim,CLM00091,"{""claim_amount"": 240902, ""claim_date"": ""2026-07-17"", ""claim_type"": ""Fire"", ""description"": ""Claim description 91"", ""fraud_label"": 1, ""status"": ""Open""}"
claim:CLM00092,Claim,CLM00092,"{""claim_amount"": 19533, ""claim_date"": ""2026-04-03"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 92"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00093,Claim,CLM00093,"{""claim_amount"": 155447, ""claim_date"": ""2026-08-17"", ""claim_type"": ""Accident"", ""description"": ""Claim description 93"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00094,Claim,CLM00094,"{""claim_amount"": 8221, ""claim_date"": ""2026-08-09"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 94"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00095,Claim,CLM00095,"{""claim_amount"": 244585, ""claim_date"": ""2026-07-25"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 95"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00096,Claim,CLM00096,"{""claim_amount"": 251607, ""claim_date"": ""2026-03-11"", ""claim_type"": ""Accident"", ""description"": ""Claim description 96"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00097,Claim,CLM00097,"{""claim_amount"": 126921, ""claim_date"": ""2026-08-13"", ""claim_type"": ""Fire"", ""description"": ""Claim description 97"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00098,Claim,CLM00098,"{""claim_amount"": 152798, ""claim_date"": ""2026-03-16"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 98"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00099,Claim,CLM00099,"{""claim_amount"": 197010, ""claim_date"": ""2026-02-20"", ""claim_type"": ""Theft"", ""description"": ""Claim description 99"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00100,Claim,CLM00100,"{""claim_amount"": 171708, ""claim_date"": ""2026-03-30"", ""claim_type"": ""Accident"", ""description"": ""Claim description 100"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00101,Claim,CLM00101,"{""claim_amount"": 67434, ""claim_date"": ""2026-05-16"", ""claim_type"": ""Accident"", ""description"": ""Claim description 101"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00102,Claim,CLM00102,"{""claim_amount"": 226643, ""claim_date"": ""2026-08-18"", ""claim_type"": ""Fire"", ""description"": ""Claim description 102"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00103,Claim,CLM00103,"{""claim_amount"": 219948, ""claim_date"": ""2026-06-13"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 103"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00104,Claim,CLM00104,"{""claim_amount"": 87577, ""claim_date"": ""2026-08-06"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 104"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00105,Claim,CLM00105,"{""claim_amount"": 58139, ""claim_date"": ""2026-08-30"", ""claim_type"": ""Accident"", ""description"": ""Claim description 105"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00106,Claim,CLM00106,"{""claim_amount"": 36650, ""claim_date"": ""2026-04-15"", ""claim_type"": ""Theft"", ""description"": ""Claim description 106"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00107,Claim,CLM00107,"{""claim_amount"": 216706, ""claim_date"": ""2026-02-10"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 107"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00108,Claim,CLM00108,"{""claim_amount"": 98255, ""claim_date"": ""2026-03-05"", ""claim_type"": ""Accident"", ""description"": ""Claim description 108"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00109,Claim,CLM00109,"{""claim_amount"": 150739, ""claim_date"": ""2026-04-26"", ""claim_type"": ""Theft"", ""description"": ""Claim description 109"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00110,Claim,CLM00110,"{""claim_amount"": 222677, ""claim_date"": ""2026-01-16"", ""claim_type"": ""Theft"", ""description"": ""Claim description 110"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00111,Claim,CLM00111,"{""claim_amount"": 139657, ""claim_date"": ""2026-08-29"", ""claim_type"": ""Accident"", ""description"": ""Claim description 111"", ""fraud_label"": 1, ""status"": ""Open""}"
claim:CLM00112,Claim,CLM00112,"{""claim_amount"": 217044, ""claim_date"": ""2026-08-01"", ""claim_type"": ""Accident"", ""description"": ""Claim description 112"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00113,Claim,CLM00113,"{""claim_amount"": 12728, ""claim_date"": ""2026-05-08"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 113"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00114,Claim,CLM00114,"{""claim_amount"": 236584, ""claim_date"": ""2026-04-25"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 114"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00115,Claim,CLM00115,"{""claim_amount"": 229899, ""claim_date"": ""2026-05-03"", ""claim_type"": ""Theft"", ""description"": ""Claim description 115"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00116,Claim,CLM00116,"{""claim_amount"": 99139, ""claim_date"": ""2026-07-02"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 116"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00117,Claim,CLM00117,"{""claim_amount"": 11832, ""claim_date"": ""2026-02-16"", ""claim_type"": ""Theft"", ""description"": ""Claim description 117"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00118,Claim,CLM00118,"{""claim_amount"": 206023, ""claim_date"": ""2026-04-02"", ""claim_type"": ""Theft"", ""description"": ""Claim description 118"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00119,Claim,CLM00119,"{""claim_amount"": 212418, ""claim_date"": ""2026-07-28"", ""claim_type"": ""Accident"", ""description"": ""Claim description 119"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00120,Claim,CLM00120,"{""claim_amount"": 160325, ""claim_date"": ""2026-03-02"", ""claim_type"": ""Fire"", ""description"": ""Claim description 120"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00121,Claim,CLM00121,"{""claim_amount"": 217441, ""claim_date"": ""2026-08-03"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 121"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00122,Claim,CLM00122,"{""claim_amount"": 162722, ""claim_date"": ""2026-03-01"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 122"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00123,Claim,CLM00123,"{""claim_amount"": 51520, ""claim_date"": ""2026-07-03"", ""claim_type"": ""Fire"", ""description"": ""Claim description 123"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00124,Claim,CLM00124,"{""claim_amount"": 142965, ""claim_date"": ""2026-08-05"", ""claim_type"": ""Accident"", ""description"": ""Claim description 124"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00125,Claim,CLM00125,"{""claim_amount"": 40769, ""claim_date"": ""2026-03-24"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 125"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00126,Claim,CLM00126,"{""claim_amount"": 238203, ""claim_date"": ""2026-06-27"", ""claim_type"": ""Fire"", ""description"": ""Claim description 126"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00127,Claim,CLM00127,"{""claim_amount"": 82205, ""claim_date"": ""2026-06-26"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 127"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00128,Claim,CLM00128,"{""claim_amount"": 217023, ""claim_date"": ""2026-08-24"", ""claim_type"": ""Theft"", ""description"": ""Claim description 128"", ""fraud_label"": 0, ""status"": ""Open""}"
