claim_id,claim_date,claim_amount,claim_age_days,days_since_policy_start,amount_to_premium_ratio,invoice_to_claim_ratio,claimant_claim_frequency,provider_claim_volume,vehicle_age,claimant_age,provider_rating,duplicate_similarity_score,duplicate_flag,claim_type,policy_type,vehicle_type,vehicle_make,provider_type,claimant_city,fraud_label,dup_similarity_score,dup_type,dup_flag,anomaly_score,anomaly_flag,isolation_forest_score,lof_score,ocsvm_score,claim_degree,claimant_degree,policy_degree,vehicle_degree,provider_degree,invoice_degree,location_degree,claim_pagerank,claimant_pagerank,provider_pagerank,claim_betweenness,claimant_betweenness,provider_betweenness,claim_clustering,claimant_clustering,common_neighbors,provider_claim_count,claimant_claim_count,repeated_claimant_provider,fraud_neighbor_count,fraud_neighbor_ratio,suspicious_neighbor_count
CLM00011,2026-05-22,89309,108,101,1.6673,0.9283,1,11,3.0,39.0,4.3,0.46,1,Natural Disaster,Comprehensive,Hatchback,Honda,Dealer,Delhi,0,0.46,SIMILAR,1,0.3964,0,0.3964,0.2221,0.7826,6,5,4,9,34,2,110,0.0010976,0.00093767,0.00593772,0.00143327,0.00080498,0.03362692,0.06666667,0.1,1,25,1,0,0,0.0,0
CLM00012,2026-05-12,236423,118,361,5.7766,0.2229,1,5,3.0,24.0,3.8,0.4852,1,Accident,Zero Dep,MUV,Mahindra,Dealer,Delhi,0,0.4852,SIMILAR,1,0.2354,0,0.2354,0.1329,0.6055,6,5,7,4,15,5,110,0.0010626,0.00094884,0.00258951,0.00251913,0.00054629,0.01284642,0.06666667,0.2,2,11,2,1,0,0.0,0
CLM00013,2026-04-16,16984,144,410,0.381,5.3874,1,4,3.0,23.0,4.1,0.4295,1,Theft,Third Party,Hatchback,Honda,Hospital,Surat,0,0.4295,SIMILAR,1,0.8477,1,0.8477,0.6999,0.8702,6,8,5,9,19,5,91,0.00108949,0.00168807,0.00339865,0.00290002,0.00386066,0.01025027,0.06666667,0.03571429,1,10,1,0,0,0.0,0
CLM00014,2026-02-20,91472,199,235,1.811,1.4752,1,2,7.0,64.0,4.2,0.423,0,Glass Damage,Third Party,SUV,Honda,Garage,Delhi,0,0.423,NO_MATCH,0,0.5094,0,0.5094,0.1103,0.8007,6,9,3,5,21,2,110,0.00113252,0.00160677,0.00398564,0.00192119,0.00132751,0.0212906,0.13333333,0.13888889,2,10,4,0,1,0.333333,3
CLM00015,2026-05-06,194676,124,449,5.1526,0.7645,2,8,4.0,45.0,3.2,0.3996,0,Natural Disaster,Comprehensive,Hatchback,Honda,Hospital,Ahmedabad,0,0.3996,NO_MATCH,0,0.1398,0,0.1398,0.0503,0.4584,6,7,2,4,20,3,90,0.0011398,0.00130467,0.00353992,0.00255006,0.00109231,0.01600983,0.06666667,0.14285714,1,12,3,0,0,0.0,2
CLM00016,2026-05-20,133009,110,64,2.9172,0.2813,1,7,6.0,23.0,4.0,0.4796,1,Glass Damage,Comprehensive,Hatchback,Honda,Dealer,Ahmedabad,0,0.4796,SIMILAR,1,0.1434,0,0.1434,0.0814,0.5084,6,5,3,4,25,3,90,0.00111901,0.00094222,0.00441865,0.00311642,0.00034508,0.01796617,0.06666667,0.3,1,13,3,0,0,0.0,2
CLM00017,2026-07-15,6673,54,256,0.0822,22.8563,4,12,7.0,24.0,4.4,0.5025,1,Theft,Third Party,SUV,Honda,Dealer,Mumbai,0,0.5025,SIMILAR,1,0.7254,1,0.7254,0.8227,0.8396,6,8,5,4,27,2,123,0.00111611,0.00140925,0.00481519,0.00438534,0.00393846,0.03207056,0.06666667,0.14285714,1,16,4,0,0,0.0,2
CLM00018,2026-04-27,102832,133,0,2.1165,0.6713,2,8,8.0,29.0,3.1,0.5209,1,Glass Damage,Third Party,MUV,Maruti,Surveyor,Mumbai,1,0.5209,SIMILAR,1,0.3279,0,0.3279,0.0794,0.7711,6,6,8,6,21,2,123,0.00109184,0.00108376,0.00368452,0.00238867,0.00014474,0.02344063,0.06666667,0.33333333,1,14,5,0,0,0.0,3
CLM00019,2026-05-22,192021,108,471,3.2246,0.4801,4,5,6.0,24.0,3.3,0.464,1,Glass Damage,Third Party,Sedan,Hyundai,Surveyor,Mumbai,1,0.464,SIMILAR,1,0.5868,1,0.5868,0.4027,0.8395,6,11,5,4,16,3,123,0.001113,0.00216585,0.00294923,0.00169759,0.00490743,0.01383975,0.06666667,0.09090909,1,9,5,0,0,0.0,3
CLM00020,2026-08-24,30248,14,430,0.4694,3.1904,4,15,2.0,64.0,3.3,0.4472,1,Theft,Zero Dep,Sedan,Tata,Garage,Delhi,0,0.4472,SIMILAR,1,0.5643,0,0.5643,0.2868,0.8394,6,9,4,3,25,6,110,0.00107497,0.00160677,0.00402168,0.00233771,0.00132751,0.02103591,0.13333333,0.13888889,1,16,4,0,1,0.333333,2
CLM00021,2026-07-23,109044,46,399,1.4997,1.0022,3,10,8.0,60.0,4.1,0.5448,1,Natural Disaster,Comprehensive,MUV,Mahindra,Hospital,Delhi,1,0.5448,SIMILAR,1,0.1667,0,0.1667,0.0807,0.4914,6,6,3,6,19,3,110,0.00110503,0.00109627,0.00339865,0.0040111,0.00076964,0.01025027,0.06666667,0.2,1,10,3,0,1,0.5,2
CLM00022,2026-08-06,26133,32,401,0.4384,1.5836,5,13,6.0,58.0,4.4,0.4768,1,Accident,Third Party,SUV,Hyundai,Dealer,Delhi,0,0.4768,POSSIBLE_DUPLICATE,1,0.3223,0,0.3223,0.1474,0.6049,6,8,5,8,27,3,110,0.00106095,0.00138458,0.00481519,0.00170714,0.00105367,0.03207056,0.06666667,0.17857143,1,16,5,0,0,0.0,4
CLM00023,2026-01-15,251034,235,103,9.8279,0.1144,1,1,6.0,36.0,4.4,0.4595,0,Natural Disaster,Third Party,Sedan,Tata,Dealer,Surat,1,0.4595,NO_MATCH,0,0.3469,0,0.3469,0.1786,0.6635,6,4,4,5,24,3,91,0.00111333,0.00078061,0.0042378,0.0013567,4.914e-05,0.0263219,0.06666667,0.5,2,14,3,1,0,0.0,0
CLM00024,2026-08-19,232571,19,483,2.9569,0.5606,3,6,7.0,37.0,4.6,0.462,1,Glass Damage,Third Party,Sedan,Tata,Hospital,Pune,0,0.462,SIMILAR,1,0.3251,0,0.3251,0.1557,0.7962,6,7,5,2,17,3,111,0.00114054,0.00133045,0.00308179,0.00301676,0.00148898,0.01695548,0.06666667,0.14285714,1,7,3,0,0,0.0,2
CLM00025,2026-08-19,147352,19,211,2.8697,0.2263,2,14,7.0,67.0,4.4,0.417,1,Accident,Zero Dep,SUV,Honda,Dealer,Ahmedabad,0,0.417,SIMILAR,1,0.4793,0,0.4793,0.1241,0.5926,6,7,4,4,27,6,90,0.00111049,0.00151114,0.00481519,0.00155553,0.00819494,0.03207056,0.13333333,0.0952381,2,16,2,0,0,0.0,1
CLM00026,2026-02-06,202198,213,0,7.7281,0.6463,1,3,6.0,69.0,3.1,0.4334,1,Natural Disaster,Third Party,Sedan,Hyundai,Surveyor,Pune,0,0.4334,SIMILAR,1,0.4383,0,0.4383,0.2288,0.8396,6,5,4,4,21,4,111,0.00108642,0.00092495,0.00368452,0.00197179,0.00073873,0.02344063,0.06666667,0.2,1,14,2,0,0,0.0,1
CLM00027,2026-08-06,107015,32,569,1.6671,0.8056,3,9,7.0,40.0,3.2,0.4258,0,Glass Damage,Third Party,Sedan,Maruti,Hospital,Pune,0,0.4258,NO_MATCH,0,0.3214,0,0.3214,0.1948,0.8099,6,5,3,6,26,2,111,0.00113598,0.00093702,0.00490412,0.00191454,0.00031154,0.01762278,0.06666667,0.3,1,9,3,0,0,0.0,2
CLM00028,2026-09-07,139927,0,124,7.3387,0.973,5,11,2.0,53.0,3.4,0.5418,1,Fire,Comprehensive,Sedan,Maruti,Surveyor,Pune,1,0.5418,SIMILAR,1,0.2625,0,0.2625,0.1295,0.5761,6,7,6,5,26,5,111,0.00105967,0.00124541,0.00486327,0.0048519,0.00085746,0.03336735,0.06666667,0.23809524,1,11,5,0,0,0.0,3
CLM00029,2026-07-20,123109,49,125,2.2373,1.2358,6,9,4.0,35.0,4.6,0.489,1,Fire,Third Party,Hatchback,Tata,Garage,Mumbai,0,0.489,SIMILAR,1,0.4439,0,0.4439,0.1444,0.6518,6,10,3,4,24,3,123,0.00113334,0.0017409,0.00463026,0.00453332,0.00218976,0.03104914,0.06666667,0.13333333,1,9,6,0,0,0.0,3
CLM00030,2026-06-08,82431,91,192,1.1766,0.79,1,8,8.0,67.0,3.5,0.4744,1,Accident,Comprehensive,Sedan,Hyundai,Surveyor,Ahmedabad,0,0.4744,POSSIBLE_DUPLICATE,1,0.3804,0,0.3804,0.1154,0.7219,6,9,2,6,20,3,90,0.00112489,0.0015917,0.00344607,0.00173181,0.00162943,0.01678725,0.13333333,0.11111111,2,14,4,0,0,0.0,0
CLM00031,2026-06-12,45442,87,339,1.5141,0.5742,1,6,8.0,67.0,4.8,0.4744,1,Fire,Zero Dep,Sedan,Hyundai,Dealer,Ahmedabad,0,0.4744,POSSIBLE_DUPLICATE,1,0.6214,1,0.6214,0.2341,0.8396,6,7,5,6,22,3,90,0.00112319,0.00151114,0.00397522,0.00316721,0.00819494,0.02019259,0.06666667,0.0952381,1,13,2,0,0,0.0,1
CLM00032,2026-04-03,204582,157,81,4.6595,0.6657,1,3,2.0,57.0,4.2,0.4755,1,Theft,Zero Dep,Sedan,Tata,Garage,Pune,0,0.4755,SIMILAR,1,0.4161,0,0.4161,0.1811,0.6222,6,11,3,8,21,3,111,0.00108802,0.00185403,0.00398564,0.00303178,0.00395972,0.0212906,0.06666667,0.09090909,1,10,5,0,1,0.25,3
CLM00033,2026-05-12,265285,118,290,17.5106,0.0661,5,7,3.0,62.0,4.4,0.6022,1,Accident,Zero Dep,SUV,Hyundai,Dealer,Surat,1,0.6022,SIMILAR,1,0.6686,1,0.6686,0.7196,0.8858,6,7,4,4,24,5,91,0.00107901,0.00123894,0.0042378,0.00130129,0.00021967,0.0263219,0.06666667,0.28571429,1,14,6,0,0,0.0,4
CLM00034,2026-04-10,209254,150,444,3.6553,0.2552,2,4,3.0,53.0,4.2,0.5496,1,Theft,Third Party,Hatchback,Tata,Garage,Ahmedabad,1,0.5496,POSSIBLE_DUPLICATE,1,0.1288,0,0.1288,0.0663,0.5027,6,6,2,6,21,4,90,0.00112995,0.00109343,0.00398564,0.00202437,0.00046373,0.0212906,0.06666667,0.2,1,10,3,0,0,0.0,2
CLM00035,2026-03-19,75361,172,166,2.9504,1.4501,1,4,6.0,56.0,4.0,0.4063,0,Accident,Third Party,Hatchback,Honda,Dealer,Surat,0,0.4063,NO_MATCH,0,0.2478,0,0.2478,0.0598,0.5321,6,2,4,4,25,3,91,0.00114872,0.00045909,0.00441865,0.00265452,0.0,0.01796617,0.13333333,1.0,2,13,1,0,0,0.0,0
CLM00036,2026-07-20,25164,49,264,0.4831,5.3087,3,8,3.0,67.0,4.2,0.4438,1,Theft,Zero Dep,Hatchback,Hyundai,Garage,Ahmedabad,0,0.4438,SIMILAR,1,0.4884,0,0.4884,0.1234,0.794,6,9,6,3,21,4,90,0.00109435,0.0015917,0.00398564,0.00174893,0.00162943,0.0212906,0.06666667,0.11111111,2,10,4,1,0,0.0,1
CLM00037,2026-03-19,6774,172,352,0.1344,22.2939,2,6,3.0,55.0,4.3,0.405,1,Fire,Zero Dep,SUV,Honda,Garage,Pune,0,0.405,SIMILAR,1,0.6225,1,0.6225,0.7426,0.8042,6,6,3,5,21,5,111,0.00108108,0.00115339,0.00347891,0.00154887,0.00078754,0.01346489,0.06666667,0.2,1,16,3,0,0,0.0,1
CLM00038,2026-07-28,220884,41,256,7.887,0.3673,6,10,1.0,22.0,3.7,0.4724,1,Glass Damage,Zero Dep,MUV,Honda,Dealer,Mumbai,0,0.4724,SIMILAR,1,0.4312,0,0.4312,0.1606,0.5808,6,7,6,3,21,3,123,0.00108888,0.0012312,0.00361305,0.00345365,0.00013471,0.02180532,0.06666667,0.28571429,1,13,6,0,3,0.6,3
CLM00039,2026-02-15,109396,204,143,1.498,0.8364,1,2,2.0,40.0,3.5,0.5183,1,Fire,Third Party,SUV,Mahindra,Garage,Pune,0,0.5183,SIMILAR,1,0.0497,0,0.0497,0.0422,0.4198,6,5,3,4,27,5,111,0.00109473,0.00093702,0.00478573,0.00179911,0.00031154,0.01906371,0.06666667,0.3,1,14,3,0,0,0.0,1
CLM00040,2026-07-29,211010,40,169,3.9393,0.158,5,19,3.0,37.0,4.3,0.5634,1,Accident,Comprehensive,Hatchback,Mahindra,Dealer,Surat,0,0.5634,SIMILAR,1,0.4476,0,0.4476,0.3139,0.7802,6,10,4,3,34,6,91,0.0010812,0.00178976,0.00593772,0.00337301,0.00280799,0.03362692,0.13333333,0.13333333,2,25,6,0,0,0.0,5
CLM00041,2026-05-21,12055,109,337,0.1419,9.2737,1,10,5.0,50.0,4.4,0.446,0,Natural Disaster,Zero Dep,Sedan,Maruti,Dealer,Delhi,0,0.446,NO_MATCH,0,0.6002,1,0.6002,0.3454,0.7395,6,7,3,6,27,4,110,0.00111187,0.00143075,0.00481519,0.00224528,0.0085149,0.03207056,0.06666667,0.04761905,1,16,1,0,0,0.0,0
CLM00042,2026-05-08,41484,122,135,0.5229,2.158,1,11,3.0,33.0,3.1,0.405,1,Theft,Comprehensive,Sedan,Honda,Garage,Pune,0,0.405,SIMILAR,1,0.3296,0,0.3296,0.1684,0.7093,6,2,3,3,22,4,111,0.00115499,0.00045253,0.00389565,0.00280953,0.0,0.02002791,0.13333333,1.0,2,14,1,0,0,0.0,0
CLM00043,2026-04-25,161744,135,291,5.3893,0.4149,3,5,1.0,24.0,4.3,0.4597,1,Natural Disaster,Zero Dep,Sedan,Hyundai,Dealer,Mumbai,0,0.4597,SIMILAR,1,0.6683,1,0.6683,0.5178,0.8398,6,11,5,4,34,3,123,0.00110793,0.00216585,0.00593772,0.00392156,0.00490743,0.03362692,0.06666667,0.09090909,1,25,5,0,1,0.25,2
CLM00044,2026-05-18,160666,112,77,2.1875,0.6627,2,4,3.0,25.0,4.8,0.439,0,Accident,Zero Dep,Hatchback,Hyundai,Dealer,Delhi,0,0.439,NO_MATCH,0,0.2103,0,0.2103,0.0798,0.593,6,4,3,4,22,3,110,0.00111875,0.00075715,0.00397522,0.00107781,9.8e-07,0.02019259,0.13333333,0.5,2,13,3,0,1,0.5,2
CLM00045,2026-06-06,16612,93,314,0.3013,5.2464,3,11,2.0,50.0,3.3,0.5199,1,Natural Disaster,Comprehensive,Sedan,Maruti,Garage,Ahmedabad,0,0.5199,SIMILAR,1,0.3494,0,0.3494,0.222,0.6546,6,9,8,4,25,4,90,0.00105788,0.00167767,0.00402168,0.00297244,0.00258639,0.02103591,0.06666667,0.11111111,1,16,4,0,2,0.666667,3
CLM00046,2026-03-08,63196,183,225,4.1714,2.5352,1,2,3.0,43.0,3.3,0.4951,1,Glass Damage,Zero Dep,Sedan,Hyundai,Surveyor,Delhi,0,0.4951,SIMILAR,1,0.3726,0,0.3726,0.1558,0.6867,6,7,4,2,16,4,110,0.0011523,0.00141313,0.00294923,0.00218949,0.00192196,0.01383975,0.06666667,0.0952381,1,9,2,0,0,0.0,1
CLM00047,2026-06-23,159295,76,391,2.0841,0.4088,2,10,2.0,48.0,4.0,0.4365,1,Theft,Comprehensive,MUV,Mahindra,Surveyor,Pune,0,0.4365,SIMILAR,1,0.0049,0,0.0049,0.0272,0.2217,6,7,4,4,22,3,111,0.00109896,0.00126303,0.0040191,0.00081561,0.00111033,0.01691593,0.13333333,0.14285714,2,12,3,0,0,0.0,2
CLM00048,2026-08-24,27506,14,294,0.8363,3.5533,1,10,7.0,23.0,4.2,0.4092,0,Theft,Zero Dep,Hatchback,Maruti,Garage,Mumbai,1,0.4092,NO_MATCH,0,0.4639,0,0.4639,0.2398,0.8397,6,4,8,4,21,3,123,0.00111088,0.00078147,0.00398564,0.00494608,0.00183917,0.0212906,0.06666667,0.16666667,1,10,1,0,0,0.0,0
CLM00049,2026-05-04,96304,126,450,1.405,0.513,3,9,8.0,57.0,3.1,0.5135,1,Natural Disaster,Comprehensive,Hatchback,Mahindra,Surveyor,Mumbai,0,0.5135,SIMILAR,1,0.2786,0,0.2786,0.1354,0.7156,6,8,4,2,21,2,123,0.00119241,0.00158832,0.00368452,0.00499957,0.00180141,0.02344063,0.06666667,0.14285714,2,14,4,1,0,0.0,2
CLM00050,2026-07-01,148668,68,338,1.9544,0.7162,4,10,6.0,25.0,3.9,0.5373,1,Theft,Zero Dep,SUV,Hyundai,Dealer,Delhi,1,0.5373,POSSIBLE_DUPLICATE,1,0.1339,0,0.1339,0.0419,0.142,6,9,3,8,27,3,110,0.00108466,0.00155271,0.0049563,0.00444569,0.00174495,0.04573758,0.06666667,0.13888889,1,16,5,0,2,0.5,3
CLM00051,2026-04-20,126124,140,118,4.0862,1.0931,1,6,5.0,58.0,3.7,0.4594,1,Natural Disaster,Third Party,Hatchback,Tata,Dealer,Delhi,0,0.4594,SIMILAR,1,0.1643,0,0.1643,0.0393,0.3974,6,2,8,3,21,7,110,0.00108921,0.00044445,0.00361305,0.00157312,0.0,0.02180532,0.06666667,1.0,1,13,1,0,0,0.0,0
CLM00052,2026-06-07,236498,92,316,15.6104,0.5236,6,6,6.0,62.0,3.3,0.6022,1,Glass Damage,Zero Dep,MUV,Mahindra,Surveyor,Surat,0,0.6022,SIMILAR,1,0.7233,1,0.7233,0.6955,0.8395,6,7,4,2,16,4,91,0.00113831,0.00123894,0.00294923,0.00112777,0.00021967,0.01383975,0.13333333,0.28571429,2,9,6,0,1,0.2,5
CLM00053,2026-07-12,189486,57,104,4.6804,0.176,2,13,7.0,53.0,3.1,0.6257,1,Accident,Zero Dep,SUV,Maruti,Surveyor,Pune,0,0.6257,SIMILAR,1,0.2373,0,0.2373,0.0645,0.5606,6,7,4,4,21,6,111,0.00106525,0.00124541,0.00368452,0.00182546,0.00085746,0.02344063,0.06666667,0.23809524,1,14,5,0,1,0.25,3
CLM00054,2026-02-20,124944,199,175,2.1043,1.1335,2,1,7.0,22.0,4.1,0.4623,1,Natural Disaster,Third Party,MUV,Tata,Hospital,Mumbai,1,0.4623,SIMILAR,1,0.2752,0,0.2752,0.1163,0.5181,6,7,7,5,19,2,123,0.00109523,0.0012312,0.00339865,0.00079653,0.00013471,0.01025027,0.13333333,0.28571429,2,10,6,0,2,0.4,4
CLM00055,2026-03-31,97270,160,326,2.1613,0.3011,3,1,2.0,55.0,3.2,0.405,1,Glass Damage,Comprehensive,MUV,Mahindra,Hospital,Pune,0,0.405,SIMILAR,1,0.1595,0,0.1595,0.051,0.6383,6,6,4,4,26,4,111,0.00110263,0.00115339,0.00490412,0.00279217,0.00078754,0.01762278,0.06666667,0.2,1,9,3,0,0,0.0,2
CLM00056,2026-03-22,35896,169,200,0.9166,4.2071,2,5,8.0,59.0,4.4,0.4629,1,Accident,Third Party,SUV,Mahindra,Dealer,Surat,0,0.4629,SIMILAR,1,0.5338,0,0.5338,0.1751,0.7079,6,9,7,3,27,5,91,0.00107332,0.00157895,0.00481519,0.00214431,0.00170683,0.03207056,0.06666667,0.11111111,1,16,4,0,0,0.0,1
CLM00057,2026-02-05,155681,214,298,4.4515,0.8241,2,5,5.0,21.0,3.1,0.4301,1,Theft,Comprehensive,Sedan,Mahindra,Garage,Mumbai,0,0.4301,SIMILAR,1,0.4712,0,0.4712,0.1716,0.657,6,10,4,2,22,3,123,0.00112781,0.00170921,0.00389565,0.00414892,0.00096237,0.02002791,0.06666667,0.15555556,1,14,7,0,1,0.166667,5
CLM00058,2026-05-06,238227,124,250,4.0122,0.385,3,6,3.0,28.0,4.4,0.4761,1,Glass Damage,Third Party,SUV,Hyundai,Dealer,Mumbai,1,0.4761,SIMILAR,1,0.3815,0,0.3815,0.1383,0.6708,6,9,7,7,24,2,123,0.00109776,0.00164446,0.0042378,0.00344963,0.00188059,0.0263219,0.06666667,0.11111111,2,14,4,1,0,0.0,2
CLM00059,2026-02-19,218703,200,279,5.3436,0.6905,1,3,8.0,53.0,3.5,0.5199,1,Glass Damage,Zero Dep,MUV,Maruti,Garage,Ahmedabad,0,0.5199,SIMILAR,1,0.1789,0,0.1789,0.0691,0.436,6,6,7,6,27,5,90,0.00105724,0.00109343,0.00478573,0.00169948,0.00046373,0.01906371,0.06666667,0.2,2,14,3,1,1,0.5,0
CLM00060,2026-04-24,177810,136,75,11.5943,0.6042,1,3,7.0,27.0,4.8,0.5052,1,Fire,Third Party,SUV,Honda,Dealer,Mumbai,1,0.5052,SIMILAR,1,0.6211,1,0.6211,0.3417,0.8394,6,10,3,5,22,4,123,0.00109426,0.00172342,0.00397522,0.00698375,0.00136647,0.02019259,0.06666667,0.15555556,2,13,6,1,0,0.0,2
CLM00061,2026-04-28,153281,132,301,2.5715,0.1612,1,9,5.0,61.0,3.3,0.4373,1,Natural Disaster,Third Party,MUV,Maruti,Garage,Ahmedabad,0,0.4373,SIMILAR,1,0.1693,0,0.1693,0.0209,0.4047,6,6,5,5,25,3,90,0.00106685,0.00110811,0.00402168,0.00179196,0.00186492,0.02103591,0.06666667,0.13333333,1,16,2,0,0,0.0,1
CLM00062,2026-07-30,101170,39,132,4.686,0.6808,6,9,8.0,37.0,3.2,0.5634,1,Accident,Comprehensive,SUV,Hyundai,Hospital,Surat,0,0.5634,SIMILAR,1,0.3223,0,0.3223,0.1863,0.6525,6,10,3,4,20,2,91,0.00114589,0.00178976,0.00353992,0.00369382,0.00280799,0.01600983,0.06666667,0.13333333,2,12,6,1,0,0.0,4
CLM00063,2026-08-01,176356,37,235,9.4001,0.7021,3,15,1.0,25.0,4.3,0.382,1,Fire,Third Party,Sedan,Hyundai,Garage,Delhi,0,0.382,SIMILAR,1,0.2504,0,0.2504,0.1264,0.5,6,4,3,4,21,4,110,0.00110556,0.00075715,0.00347891,0.00162882,9.8e-07,0.01346489,0.06666667,0.5,1,16,3,0,1,0.5,2
CLM00064,2026-08-10,35772,28,458,0.8889,2.3415,3,11,6.0,48.0,3.5,0.4365,1,Theft,Comprehensive,MUV,Maruti,Surveyor,Pune,0,0.4365,SIMILAR,1,0.1307,0,0.1307,0.0704,0.3362,6,7,3,4,20,3,111,0.00111081,0.00126303,0.00344607,0.00289694,0.00111033,0.01678725,0.06666667,0.14285714,1,14,3,0,0,0.0,2
CLM00065,2026-02-05,210743,214,282,4.0484,0.8325,1,3,7.0,58.0,3.3,0.5281,1,Theft,Zero Dep,MUV,Hyundai,Garage,Ahmedabad,0,0.5281,SIMILAR,1,0.1566,0,0.1566,0.0411,0.4144,6,5,3,6,25,3,90,0.001099,0.0009595,0.00402168,0.00156618,0.00234182,0.02103591,0.06666667,0.3,2,16,3,1,0,0.0,1
