claim_id,compared_claim_id,similarity_score,duplicate_type,matching_fields,duplicate_flag,claimant_similarity,policy_similarity,vehicle_similarity,date_similarity,amount_similarity,location_similarity,incident_similarity,invoice_similarity,description_similarity
CLM00030,CLM00031,0.4744,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city",1,0.2513,0.0,1.0,0.9333,0.5513,1.0,0.29,0.0,0.725
CLM00031,CLM00030,0.4744,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city",1,0.2513,0.0,1.0,0.9333,0.5513,1.0,0.29,0.0,0.725
CLM00032,CLM00106,0.4755,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.0,0.0,0.8,0.1791,1.0,0.8756,0.0,0.689
CLM00033,CLM00052,0.6022,SIMILAR,"claimant_id, policy_id, close_date_30d, city",1,1.0,1.0,0.0,0.5667,0.8915,1.0,0.28,0.0,0.7
CLM00034,CLM00290,0.5496,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",1,0.2359,0.2,1.0,0.9667,0.8988,0.0,0.8756,0.0,0.689
CLM00035,CLM00056,0.4063,NO_MATCH,"close_date_7d, city, claim_type",0,0.2359,0.2,0.0,0.95,0.4763,1.0,0.89,0.0,0.725
CLM00036,CLM00104,0.4438,SIMILAR,"claimant_id, provider_id, close_date_30d, city",1,1.0,0.0,0.0,0.7167,0.2873,1.0,0.2756,0.3,0.689
CLM00037,CLM00055,0.405,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.8,0.0696,1.0,0.28,0.0,0.7
CLM00038,CLM00208,0.4724,SIMILAR,"invoice_id, close_date_7d, claim_type",1,0.2359,0.2,0.0,0.9,0.7171,0.0,0.8854,1.0,0.7134
CLM00039,CLM00164,0.5183,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.2,0.0,0.5833,0.6326,1.0,0.8756,0.0,0.689
CLM00040,CLM00062,0.5634,SIMILAR,"claimant_id, close_date_7d, city, claim_type",1,1.0,0.2,0.0,0.9833,0.4795,1.0,0.88,0.0,0.7
CLM00041,CLM00113,0.446,NO_MATCH,"close_date_30d, close_amount_10pct, city, claim_type",0,0.2513,0.2,0.1,0.7833,0.9471,1.0,0.8854,0.0,0.7134
CLM00042,CLM00256,0.405,SIMILAR,"invoice_id, close_date_7d, claim_type",1,0.2359,0.0,0.0,0.9167,0.3177,0.0,0.8854,1.0,0.7134
CLM00043,CLM00019,0.4597,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.1,0.55,0.8423,1.0,0.28,0.0,0.7
CLM00044,CLM00271,0.439,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",0,0.2359,0.0,0.1,0.95,0.9681,1.0,0.8756,0.0,0.689
CLM00045,CLM00304,0.5199,SIMILAR,"claimant_id, close_date_7d, city, claim_type",1,1.0,0.0,0.0,0.9667,0.3635,1.0,0.8854,0.0,0.7134
CLM00046,CLM00254,0.4951,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.2333,0.7661,1.0,0.8854,0.0,0.7134
CLM00047,CLM00064,0.4365,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.2,0.2246,1.0,0.89,0.0,0.725
CLM00048,CLM00020,0.4092,NO_MATCH,"exact_date, close_amount_10pct, claim_type",0,0.2513,0.2,0.0,1.0,0.9093,0.0,0.88,0.0,0.7
CLM00049,CLM00192,0.5135,SIMILAR,"policy_id, close_date_30d, city, claim_type",1,0.2513,1.0,0.0,0.65,0.7724,1.0,0.8854,0.0,0.7134
CLM00050,CLM00179,0.5373,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, exact_amount, city",1,0.2359,0.2,1.0,0.9167,0.951,1.0,0.2756,0.0,0.689
CLM00051,CLM00109,0.4594,SIMILAR,"policy_id, close_date_7d",1,0.2359,1.0,0.1,0.9,0.8367,0.0,0.2854,0.0,0.7134
CLM00052,CLM00033,0.6022,SIMILAR,"claimant_id, policy_id, close_date_30d, city",1,1.0,1.0,0.0,0.5667,0.8915,1.0,0.28,0.0,0.7
CLM00053,CLM00272,0.6257,SIMILAR,"claimant_id, policy_id, city, claim_type",1,1.0,1.0,0.1,0.25,0.8568,1.0,0.8756,0.0,0.689
CLM00054,CLM00190,0.4623,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.5667,0.5476,1.0,0.2756,0.0,0.689
CLM00055,CLM00037,0.405,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.8,0.0696,1.0,0.28,0.0,0.7
CLM00056,CLM00246,0.4629,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.7667,0.2434,1.0,0.2854,0.0,0.7134
CLM00057,CLM00141,0.4301,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.1,0.6,0.4755,1.0,0.2756,0.0,0.689
CLM00058,CLM00298,0.4761,SIMILAR,"policy_id, vehicle_id",1,0.2359,1.0,1.0,0.4167,0.3787,0.0,0.2854,0.0,0.7134
CLM00059,CLM00168,0.5199,SIMILAR,"policy_id, close_date_7d, exact_amount, claim_type",1,0.2513,1.0,0.0,0.9,0.9704,0.0,0.8756,0.0,0.689
CLM00060,CLM00269,0.5052,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.0,0.1,0.5167,0.7413,1.0,0.8854,0.0,0.7134
CLM00061,CLM00160,0.4373,SIMILAR,"policy_id, close_date_30d, close_amount_10pct",1,0.2513,1.0,0.0,0.7833,0.9104,0.0,0.2854,0.0,0.7134
CLM00062,CLM00040,0.5634,SIMILAR,"claimant_id, close_date_7d, city, claim_type",1,1.0,0.2,0.0,0.9833,0.4795,1.0,0.88,0.0,0.7
CLM00063,CLM00085,0.382,SIMILAR,"claimant_id, city",1,1.0,0.2,0.0,0.0,0.7396,1.0,0.28,0.0,0.7
CLM00064,CLM00047,0.4365,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.2,0.2246,1.0,0.89,0.0,0.725
CLM00065,CLM00242,0.5281,SIMILAR,"claimant_id, vehicle_id, provider_id, city",1,1.0,0.0,1.0,0.25,0.3299,1.0,0.2756,0.3,0.689
CLM00066,CLM00039,0.4154,NO_MATCH,"close_date_7d, city, claim_type",0,0.2513,0.0,0.0,0.9667,0.8213,1.0,0.88,0.0,0.7
CLM00067,CLM00142,0.545,POSSIBLE_DUPLICATE,"policy_id, invoice_id, provider_id, close_date_30d, city",1,0.2359,1.0,0.1,0.6167,0.6273,1.0,0.2756,1.0,0.689
CLM00068,CLM00233,0.5177,SIMILAR,"claimant_id, close_date_30d, exact_amount, city",1,1.0,0.0,0.1,0.8667,0.9509,1.0,0.2756,0.0,0.689
CLM00069,CLM00134,0.4515,NO_MATCH,"exact_date, city, claim_type",0,0.2359,0.2,0.0,1.0,0.8673,1.0,0.8756,0.0,0.689
CLM00070,CLM00227,0.5041,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.0,0.8667,0.6552,1.0,0.2854,0.0,0.7134
CLM00071,CLM00130,0.4495,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.8,0.5098,1.0,0.2854,0.0,0.7134
CLM00072,CLM00096,0.429,SIMILAR,"claimant_id, city",1,1.0,0.2,0.0,0.4,0.6097,1.0,0.28,0.0,0.7
CLM00073,CLM00146,0.4119,NO_MATCH,"close_date_7d, exact_amount, city",0,0.2513,0.2,0.1,0.95,0.9656,1.0,0.2756,0.0,0.689
CLM00074,CLM00280,0.4034,SIMILAR,"claimant_id, exact_amount, city",1,1.0,0.2,0.0,0.0,0.958,1.0,0.2756,0.0,0.689
CLM00075,CLM00270,0.4721,SIMILAR,"policy_id, close_date_7d, exact_amount",1,0.2513,1.0,0.0,0.9667,0.9827,0.0,0.2854,0.0,0.7134
CLM00076,CLM00101,0.5129,SIMILAR,"claimant_id, close_date_30d, exact_amount, city",1,1.0,0.2,0.0,0.7333,0.9534,1.0,0.2756,0.0,0.689
CLM00077,CLM00134,0.4137,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",0,0.2359,0.0,0.1,0.7667,0.9895,1.0,0.8756,0.0,0.689
CLM00078,CLM00091,0.5295,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.8167,0.8403,1.0,0.28,0.0,0.7
CLM00079,CLM00193,0.5318,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city, claim_type",1,0.2359,0.2,1.0,0.9,0.3114,1.0,0.8854,0.0,0.7134
CLM00080,CLM00320,0.4035,SIMILAR,"policy_id, close_date_30d",1,0.2513,1.0,0.0,0.75,0.622,0.0,0.2854,0.0,0.7134
CLM00081,CLM00083,0.416,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",0,0.2359,0.0,0.0,0.8833,0.9735,1.0,0.89,0.0,0.725
CLM00082,CLM00213,0.4553,NO_MATCH,"close_date_7d, city, claim_type",0,0.2359,0.2,0.1,0.9,0.8964,1.0,0.8854,0.0,0.7134
CLM00083,CLM00239,0.4436,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.0,0.0,0.4,0.4508,1.0,0.8854,0.0,0.7134
CLM00084,CLM00308,0.464,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.35,0.2798,1.0,0.8854,0.0,0.7134
CLM00085,CLM00044,0.4192,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.0,0.0,0.0,0.8119,1.0,0.88,0.0,0.7
CLM00086,CLM00172,0.4265,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d",1,0.2513,0.0,1.0,0.8167,0.7614,0.0,0.2756,0.0,0.689
CLM00087,CLM00219,0.3798,NO_MATCH,"close_date_30d, exact_amount, claim_type",0,0.2205,0.2,0.0,0.8167,0.9564,0.0,0.8756,0.0,0.689
CLM00088,CLM00312,0.5423,SIMILAR,"claimant_id, provider_id, close_date_30d, city, claim_type",1,1.0,0.2,0.0,0.65,0.4723,1.0,0.8756,0.3,0.689
CLM00089,CLM00256,0.3671,SIMILAR,"vehicle_id, claim_type",1,0.2359,0.0,1.0,0.45,0.1488,0.0,0.8756,0.0,0.689
CLM00090,CLM00028,0.5418,SIMILAR,"policy_id, close_date_7d, city, claim_type",1,0.2513,1.0,0.0,0.9,0.6853,1.0,0.88,0.0,0.7
CLM00091,CLM00078,0.5295,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.8167,0.8403,1.0,0.28,0.0,0.7
CLM00092,CLM00171,0.391,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.0,0.0842,1.0,0.8756,0.0,0.689
CLM00093,CLM00078,0.4848,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.0,0.6667,0.7679,1.0,0.28,0.0,0.7
CLM00094,CLM00263,0.3769,NO_MATCH,"close_date_30d, city, claim_type",0,0.2359,0.0,0.0,0.85,0.6464,1.0,0.8756,0.0,0.689
CLM00095,CLM00053,0.489,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.1,0.7833,0.7747,1.0,0.29,0.0,0.725
CLM00096,CLM00072,0.429,SIMILAR,"claimant_id, city",1,1.0,0.2,0.0,0.4,0.6097,1.0,0.28,0.0,0.7
CLM00097,CLM00273,0.4144,SIMILAR,"claimant_id, city",1,1.0,0.0,0.0,0.35,0.8332,1.0,0.2854,0.0,0.7134
CLM00098,CLM00276,0.5229,SIMILAR,"claimant_id, provider_id, close_date_30d, city, claim_type",1,1.0,0.0,0.0,0.55,0.7283,1.0,0.8756,0.3,0.689
CLM00099,CLM00110,0.5185,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.0,0.4167,0.8847,1.0,0.8756,0.0,0.689
CLM00100,CLM00230,0.4576,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, close_amount_10pct",1,0.2359,0.0,1.0,0.9333,0.923,0.0,0.281,0.0,0.7024
CLM00101,CLM00076,0.5129,SIMILAR,"claimant_id, close_date_30d, exact_amount, city",1,1.0,0.2,0.0,0.7333,0.9534,1.0,0.2756,0.0,0.689
CLM00102,CLM00247,0.4693,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",0,0.2359,0.2,0.1,0.9833,0.9152,1.0,0.881,0.0,0.7024
CLM00103,CLM00230,0.4227,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.0,0.0,0.0,0.8458,1.0,0.881,0.0,0.7024
CLM00104,CLM00036,0.4438,SIMILAR,"claimant_id, provider_id, close_date_30d, city",1,1.0,0.0,0.0,0.7167,0.2873,1.0,0.2756,0.3,0.689
CLM00105,CLM00081,0.3915,SIMILAR,"claimant_id, city",1,1.0,0.2,0.0,0.0,0.8299,1.0,0.2854,0.0,0.7134
CLM00106,CLM00032,0.4755,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.0,0.0,0.8,0.1791,1.0,0.8756,0.0,0.689
CLM00107,CLM00285,0.5036,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, exact_amount, claim_type",1,0.2359,0.0,1.0,0.8167,0.968,0.0,0.8714,0.0,0.6785
CLM00108,CLM00259,0.4838,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.2,0.0,0.8833,0.4413,1.0,0.2714,0.0,0.6785
CLM00109,CLM00220,0.5052,SIMILAR,"policy_id, provider_id, close_date_7d, claim_type",1,0.2513,1.0,0.0,0.9,0.5186,0.0,0.881,0.3,0.7024
CLM00110,CLM00099,0.5185,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.0,0.4167,0.8847,1.0,0.8756,0.0,0.689
CLM00111,CLM00212,0.5376,SIMILAR,"claimant_id, provider_id, close_date_7d, city",1,1.0,0.0,0.1,0.9167,0.7705,1.0,0.281,0.3,0.7024
CLM00112,CLM00212,0.4851,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.0,0.6167,0.8351,1.0,0.2905,0.0,0.7262
CLM00113,CLM00041,0.446,NO_MATCH,"close_date_30d, close_amount_10pct, city, claim_type",0,0.2513,0.2,0.1,0.7833,0.9471,1.0,0.8854,0.0,0.7134
CLM00114,CLM00152,0.4081,NO_MATCH,"provider_id, close_date_30d, exact_amount, city",0,0.2513,0.2,0.0,0.8167,0.9721,1.0,0.281,0.3,0.7024
CLM00115,CLM00160,0.4438,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.7,0.607,1.0,0.281,0.0,0.7024
CLM00116,CLM00273,0.4356,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",0,0.2359,0.0,0.1,0.95,0.9375,1.0,0.8714,0.0,0.6785
CLM00117,CLM00168,0.4558,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.2,0.0,0.95,0.0525,1.0,0.281,0.0,0.7024
CLM00118,CLM00032,0.4315,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",0,0.2359,0.0,0.0,0.9833,0.993,1.0,0.8756,0.0,0.689
CLM00119,CLM00313,0.4856,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d",1,0.2513,0.2,1.0,0.9333,0.8722,0.0,0.281,0.0,0.7024
CLM00120,CLM00231,0.4448,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",1,1.0,0.0,0.0,0.0833,0.9419,1.0,0.881,0.0,0.7024
CLM00121,CLM00213,0.4551,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.1,0.0,0.7109,1.0,0.8905,0.0,0.7262
CLM00122,CLM00279,0.4397,SIMILAR,"claimant_id, city",1,1.0,0.2,0.0,0.3167,0.8413,1.0,0.281,0.0,0.7024
CLM00123,CLM00076,0.4277,SIMILAR,"claimant_id, city",1,1.0,0.0,0.0,0.4667,0.8013,1.0,0.2756,0.0,0.689
CLM00124,CLM00020,0.4472,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.6833,0.2116,1.0,0.2854,0.0,0.7134
CLM00125,CLM00140,0.5186,SIMILAR,"policy_id, close_date_30d, city, claim_type",1,0.2359,1.0,0.0,0.75,0.7086,1.0,0.881,0.0,0.7024
CLM00126,CLM00170,0.5836,SIMILAR,"claimant_id, close_date_30d, exact_amount, city, claim_type",1,1.0,0.2,0.0,0.7833,0.98,1.0,0.881,0.0,0.7024
CLM00127,CLM00182,0.4403,SIMILAR,"vehicle_id, close_date_30d, claim_type",1,0.2359,0.0,1.0,0.65,0.5662,0.0,0.8905,0.0,0.7262
CLM00128,CLM00284,0.5178,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",1,0.2359,0.0,1.0,0.95,0.8911,0.0,0.8905,0.0,0.7262
CLM00129,CLM00066,0.3947,NO_MATCH,"close_date_30d, city, claim_type",0,0.2359,0.2,0.1,0.6,0.7501,1.0,0.8756,0.0,0.689
CLM00130,CLM00071,0.4495,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.8,0.5098,1.0,0.2854,0.0,0.7134
CLM00131,CLM00206,0.4884,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.0,0.0,0.8,0.3122,1.0,0.8714,0.0,0.6785
CLM00132,CLM00162,0.5685,SIMILAR,"policy_id, vehicle_id, close_date_30d, claim_type",1,0.2359,1.0,1.0,0.5,0.5729,0.0,0.8905,0.0,0.7262
CLM00133,CLM00105,0.354,SIMILAR,"policy_id, claim_type",1,0.2513,1.0,0.0,0.0,0.6566,0.0,0.881,0.0,0.7024
CLM00134,CLM00181,0.4933,SIMILAR,"invoice_id, close_date_30d, close_amount_10pct, city, claim_type",1,0.2359,0.0,0.0,0.7667,0.9299,1.0,0.881,1.0,0.7024
CLM00135,CLM00249,0.4534,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",0,0.2513,0.2,0.0,0.95,0.9346,1.0,0.8714,0.0,0.6785
CLM00136,CLM00229,0.4357,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d",1,0.2359,0.0,1.0,0.9833,0.6385,0.0,0.2714,0.0,0.6785
CLM00137,CLM00183,0.4811,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city",1,1.0,0.0,0.0,0.7167,0.9452,1.0,0.2905,0.0,0.7262
CLM00138,CLM00316,0.4759,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.0,0.0,0.95,0.5528,1.0,0.281,0.0,0.7024
CLM00139,CLM00268,0.4066,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",0,0.2359,0.2,0.1,0.8833,0.9477,0.0,0.8714,0.0,0.6785
CLM00140,CLM00125,0.5186,SIMILAR,"policy_id, close_date_30d, city, claim_type",1,0.2359,1.0,0.0,0.75,0.7086,1.0,0.881,0.0,0.7024
CLM00141,CLM00057,0.4301,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.1,0.6,0.4755,1.0,0.2756,0.0,0.689
CLM00142,CLM00067,0.545,POSSIBLE_DUPLICATE,"policy_id, invoice_id, provider_id, close_date_30d, city",1,0.2359,1.0,0.1,0.6167,0.6273,1.0,0.2756,1.0,0.689
CLM00143,CLM00282,0.4538,SIMILAR,"policy_id, close_date_7d",1,0.2513,1.0,0.0,0.9833,0.789,0.0,0.2714,0.0,0.6785
CLM00144,CLM00234,0.4705,SIMILAR,"provider_id, close_date_30d, close_amount_10pct, city, claim_type",1,0.2359,0.2,0.1,0.7833,0.9274,1.0,0.881,0.3,0.7024
CLM00145,CLM00126,0.4124,SIMILAR,"vehicle_id, close_date_30d",1,0.2359,0.2,1.0,0.5167,0.7965,0.0,0.281,0.0,0.7024
CLM00146,CLM00262,0.5672,SIMILAR,"claimant_id, close_date_7d, city, claim_type",1,1.0,0.0,0.1,0.9333,0.7412,1.0,0.881,0.0,0.7024
CLM00147,CLM00036,0.3872,SIMILAR,"policy_id, close_date_30d, city",1,0.2359,1.0,0.0,0.65,0.1495,1.0,0.2756,0.0,0.689
CLM00148,CLM00255,0.4565,SIMILAR,"policy_id, close_date_7d, close_amount_10pct",1,0.2359,1.0,0.0,0.9167,0.9472,0.0,0.2714,0.0,0.6785
CLM00149,CLM00024,0.462,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.0,0.0,0.9,0.4846,1.0,0.2854,0.0,0.7134
CLM00150,CLM00252,0.5,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, claim_type",1,0.2359,0.0,1.0,0.8333,0.8976,0.0,0.881,0.0,0.7024
CLM00151,CLM00256,0.4258,SIMILAR,"policy_id, close_date_7d",1,0.2359,1.0,0.0,0.9833,0.5299,0.0,0.281,0.0,0.7024
CLM00152,CLM00114,0.4081,NO_MATCH,"provider_id, close_date_30d, exact_amount, city",0,0.2513,0.2,0.0,0.8167,0.9721,1.0,0.281,0.3,0.7024
CLM00153,CLM00235,0.4545,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.0,0.0,0.9,0.4143,1.0,0.281,0.0,0.7024
CLM00154,CLM00200,0.4448,SIMILAR,"policy_id, close_date_7d",1,0.2513,1.0,0.1,0.95,0.5987,0.0,0.2714,0.0,0.6785
CLM00155,CLM00070,0.4278,SIMILAR,"claimant_id, city",1,1.0,0.2,0.1,0.2333,0.7029,1.0,0.2756,0.0,0.689
CLM00156,CLM00279,0.5266,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.8333,0.795,1.0,0.2714,0.0,0.6785
CLM00157,CLM00146,0.4548,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.0,0.1,0.9667,0.1672,1.0,0.281,0.0,0.7024
CLM00158,CLM00269,0.5082,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",1,0.2513,0.0,1.0,0.9833,0.7335,0.0,0.8714,0.0,0.6785
CLM00159,CLM00310,0.4444,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.6,0.7635,1.0,0.281,0.0,0.7024
CLM00160,CLM00202,0.5498,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, city, claim_type",1,0.2205,0.2,1.0,0.8,0.6761,1.0,0.881,0.0,0.7024
CLM00161,CLM00219,0.3806,SIMILAR,"claimant_id, city",1,1.0,0.0,0.1,0.0,0.8754,1.0,0.281,0.0,0.7024
CLM00162,CLM00132,0.5685,SIMILAR,"policy_id, vehicle_id, close_date_30d, claim_type",1,0.2359,1.0,1.0,0.5,0.5729,0.0,0.8905,0.0,0.7262
CLM00163,CLM00221,0.5083,SIMILAR,"claimant_id, vehicle_id, city, claim_type",1,1.0,0.0,1.0,0.0,0.2016,1.0,0.881,0.0,0.7024
