claim_id_1,claim_id_2,similarity_score,duplicate_type,matching_fields,days_diff,amount_similarity,invoice_similarity,vehicle_similarity,claimant_similarity,fraud_1,fraud_2
CLM00212,CLM00237,0.5364,SIMILAR,"policy_id, close_date_7d, exact_amount, claim_type",4,0.9618,0.0,0.1,0.2359,1,0
CLM00215,CLM00249,0.5363,SIMILAR,"claimant_id, close_date_30d, city, claim_type",8,0.682,0.0,0.0,1.0,1,0
CLM00293,CLM00296,0.5338,SIMILAR,"claimant_id, close_date_7d, city",5,0.8724,0.0,0.0,1.0,0,0
CLM00079,CLM00193,0.5318,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city, claim_type",6,0.3114,0.0,1.0,0.2359,0,1
CLM00169,CLM00259,0.531,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, claim_type",10,0.8762,0.0,1.0,0.2513,0,0
CLM00078,CLM00091,0.5295,SIMILAR,"claimant_id, close_date_30d, city",11,0.8403,0.0,0.1,1.0,0,1
CLM00065,CLM00242,0.5281,SIMILAR,"claimant_id, vehicle_id, provider_id, city",45,0.3299,0.3,1.0,1.0,0,0
CLM00156,CLM00279,0.5266,SIMILAR,"claimant_id, close_date_30d, city",10,0.795,0.0,0.1,1.0,1,0
CLM00098,CLM00276,0.5229,SIMILAR,"claimant_id, provider_id, close_date_30d, city, claim_type",27,0.7283,0.3,0.0,1.0,0,0
CLM00018,CLM00196,0.5209,SIMILAR,"claimant_id, close_date_30d, city, claim_type",16,0.7235,0.0,0.0,1.0,1,0
CLM00059,CLM00168,0.5199,SIMILAR,"policy_id, close_date_7d, exact_amount, claim_type",6,0.9704,0.0,0.0,0.2513,0,0
CLM00045,CLM00304,0.5199,SIMILAR,"claimant_id, close_date_7d, city, claim_type",2,0.3635,0.0,0.0,1.0,0,1
CLM00125,CLM00140,0.5186,SIMILAR,"policy_id, close_date_30d, city, claim_type",15,0.7086,0.0,0.0,0.2359,0,0
CLM00099,CLM00110,0.5185,SIMILAR,"claimant_id, city, claim_type",35,0.8847,0.0,0.0,1.0,0,0
CLM00039,CLM00164,0.5183,SIMILAR,"claimant_id, close_date_30d, city, claim_type",25,0.6326,0.0,0.0,1.0,0,0
CLM00128,CLM00284,0.5178,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",3,0.8911,0.0,1.0,0.2359,0,0
CLM00068,CLM00233,0.5177,SIMILAR,"claimant_id, close_date_30d, exact_amount, city",8,0.9509,0.0,0.1,1.0,0,0
CLM00049,CLM00192,0.5135,SIMILAR,"policy_id, close_date_30d, city, claim_type",21,0.7724,0.0,0.0,0.2513,0,0
CLM00076,CLM00101,0.5129,SIMILAR,"claimant_id, close_date_30d, exact_amount, city",16,0.9534,0.0,0.0,1.0,0,0
CLM00050,CLM00241,0.5123,SIMILAR,"claimant_id, close_date_30d, city, claim_type",13,0.5726,0.0,0.0,1.0,1,0
CLM00062,CLM00067,0.5111,SIMILAR,"claimant_id, close_date_30d, city",9,0.8961,0.0,0.1,1.0,0,0
CLM00255,CLM00271,0.5091,SIMILAR,"claimant_id, close_date_30d, city",14,0.8598,0.0,0.0,1.0,0,0
CLM00163,CLM00221,0.5083,SIMILAR,"claimant_id, vehicle_id, city, claim_type",66,0.2016,0.0,1.0,1.0,0,1
CLM00158,CLM00269,0.5082,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",1,0.7335,0.0,1.0,0.2513,0,0
CLM00196,CLM00213,0.5075,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city",17,0.9194,0.0,0.0,1.0,0,0
CLM00078,CLM00270,0.5054,SIMILAR,"vehicle_id, close_date_30d, city, claim_type",17,0.3222,0.0,1.0,0.2359,0,0
CLM00109,CLM00220,0.5052,SIMILAR,"policy_id, provider_id, close_date_7d, claim_type",6,0.5186,0.3,0.0,0.2513,0,0
CLM00060,CLM00269,0.5052,SIMILAR,"claimant_id, close_date_30d, city, claim_type",29,0.7413,0.0,0.1,1.0,1,0
CLM00070,CLM00227,0.5041,SIMILAR,"claimant_id, close_date_30d, city",8,0.6552,0.0,0.0,1.0,1,0
CLM00006,CLM00050,0.5039,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, exact_amount, claim_type",12,0.9821,0.0,1.0,0.2359,0,1
CLM00107,CLM00285,0.5036,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, exact_amount, claim_type",11,0.968,0.0,1.0,0.2359,0,0
CLM00017,CLM00079,0.5025,SIMILAR,"claimant_id, close_date_30d, city, claim_type",11,0.1097,0.0,0.0,1.0,0,0
CLM00150,CLM00252,0.5,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, claim_type",10,0.8976,0.0,1.0,0.2359,0,0
CLM00046,CLM00254,0.4951,SIMILAR,"claimant_id, city, claim_type",46,0.7661,0.0,0.1,1.0,0,0
CLM00202,CLM00271,0.4941,SIMILAR,"policy_id, close_date_30d, city, claim_type",24,0.5685,0.0,0.1,0.2205,0,0
CLM00134,CLM00181,0.4933,SIMILAR,"invoice_id, close_date_30d, close_amount_10pct, city, claim_type",14,0.9299,1.0,0.0,0.2359,0,0
CLM00126,CLM00247,0.4927,SIMILAR,"claimant_id, city, claim_type",51,0.8707,0.0,0.1,1.0,0,0
CLM00181,CLM00261,0.492,SIMILAR,"claimant_id, close_date_7d, city",1,0.3637,0.0,0.0,1.0,0,0
CLM00238,CLM00319,0.491,SIMILAR,"claimant_id, vehicle_id, city",43,0.2044,0.0,1.0,1.0,0,0
CLM00233,CLM00239,0.4908,SIMILAR,"policy_id, close_date_30d, city, claim_type",10,0.1455,0.0,0.1,0.2359,0,0
CLM00001,CLM00320,0.4903,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city",25,0.9476,0.0,0.0,1.0,1,0
CLM00220,CLM00223,0.4896,SIMILAR,"claimant_id, close_date_7d, city",3,0.5304,0.0,0.1,1.0,0,0
CLM00247,CLM00314,0.4892,SIMILAR,"claimant_id, close_date_30d, city, claim_type",10,0.1106,0.0,0.1,1.0,0,0
CLM00053,CLM00095,0.489,SIMILAR,"claimant_id, close_date_30d, city",13,0.7747,0.0,0.1,1.0,0,0
CLM00029,CLM00270,0.489,SIMILAR,"claimant_id, close_date_30d, city",9,0.5299,0.0,0.0,1.0,0,0
CLM00039,CLM00156,0.4888,SIMILAR,"vehicle_id, city, claim_type",37,0.6353,0.0,1.0,0.2513,0,1
CLM00131,CLM00206,0.4884,SIMILAR,"claimant_id, close_date_30d, city, claim_type",12,0.3122,0.0,0.0,1.0,0,0
CLM00004,CLM00006,0.4876,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",49,0.912,0.0,0.0,1.0,0,0
CLM00126,CLM00166,0.4861,SIMILAR,"policy_id, close_date_30d, claim_type",10,0.5684,0.0,0.1,0.2513,0,0
CLM00119,CLM00313,0.4856,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d",4,0.8722,0.0,1.0,0.2513,0,0
CLM00009,CLM00012,0.4852,SIMILAR,"claimant_id, provider_id, city, claim_type",41,0.6919,0.3,0.0,1.0,0,0
CLM00112,CLM00212,0.4851,SIMILAR,"claimant_id, close_date_30d, city",23,0.8351,0.0,0.0,1.0,0,1
CLM00078,CLM00093,0.4848,SIMILAR,"claimant_id, close_date_30d, city",20,0.7679,0.0,0.0,1.0,0,0
CLM00028,CLM00272,0.4847,SIMILAR,"claimant_id, close_date_30d, city",12,0.8619,0.0,0.0,1.0,1,0
CLM00251,CLM00272,0.4843,SIMILAR,"invoice_id, close_date_7d, claim_type",3,0.7649,1.0,0.0,0.2359,0,0
CLM00108,CLM00259,0.4838,SIMILAR,"claimant_id, close_date_7d, city",7,0.4413,0.0,0.0,1.0,0,0
CLM00111,CLM00112,0.4834,SIMILAR,"claimant_id, close_date_30d, city, claim_type",28,0.6435,0.0,0.0,1.0,1,0
CLM00033,CLM00223,0.4816,SIMILAR,"claimant_id, close_date_30d, city, claim_type",25,0.5555,0.0,0.0,1.0,1,0
CLM00137,CLM00183,0.4811,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city",17,0.9452,0.0,0.0,1.0,0,0
CLM00010,CLM00190,0.4808,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",53,0.9378,0.0,0.0,1.0,1,0
CLM00004,CLM00078,0.4797,SIMILAR,"policy_id, city, claim_type",34,0.7909,0.0,0.0,0.2359,0,0
CLM00016,CLM00258,0.4796,SIMILAR,"claimant_id, close_date_30d, city",14,0.8708,0.0,0.0,1.0,0,0
CLM00202,CLM00299,0.4784,SIMILAR,"claimant_id, close_date_7d, city",2,0.5531,0.0,0.0,1.0,0,0
CLM00090,CLM00191,0.4783,SIMILAR,"policy_id, close_date_30d, claim_type",15,0.8008,0.0,0.0,0.2359,0,0
CLM00022,CLM00295,0.4768,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",2,0.1605,0.0,1.0,0.2359,0,1
CLM00058,CLM00298,0.4761,SIMILAR,"policy_id, vehicle_id",35,0.3787,0.0,1.0,0.2359,1,0
CLM00138,CLM00316,0.4759,SIMILAR,"claimant_id, close_date_7d, city",3,0.5528,0.0,0.0,1.0,0,1
CLM00032,CLM00106,0.4755,SIMILAR,"claimant_id, close_date_30d, city, claim_type",12,0.1791,0.0,0.0,1.0,0,0
CLM00165,CLM00170,0.4747,SIMILAR,"claimant_id, close_date_7d, city",5,0.2913,0.0,0.0,1.0,0,0
CLM00004,CLM00210,0.4745,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",6,0.5129,0.0,1.0,0.2513,0,0
CLM00030,CLM00031,0.4744,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city",4,0.5513,0.0,1.0,0.2513,0,0
CLM00038,CLM00208,0.4724,SIMILAR,"invoice_id, close_date_7d, claim_type",6,0.7171,1.0,0.0,0.2359,0,0
CLM00099,CLM00289,0.4722,SIMILAR,"invoice_id, close_date_7d, city",6,0.6337,1.0,0.1,0.2513,0,0
CLM00075,CLM00270,0.4721,SIMILAR,"policy_id, close_date_7d, exact_amount",2,0.9827,0.0,0.0,0.2513,0,0
CLM00255,CLM00259,0.4707,SIMILAR,"claimant_id, city, claim_type",98,0.8669,0.0,0.1,1.0,0,0
CLM00144,CLM00234,0.4705,SIMILAR,"provider_id, close_date_30d, close_amount_10pct, city, claim_type",13,0.9274,0.3,0.1,0.2359,0,0
CLM00162,CLM00265,0.4704,SIMILAR,"claimant_id, close_date_7d, city",4,0.5228,0.0,0.0,1.0,0,0
CLM00090,CLM00310,0.4704,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city",1,0.4722,0.0,1.0,0.2359,0,0
CLM00102,CLM00247,0.4693,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",1,0.9152,0.0,0.1,0.2359,0,0
CLM00068,CLM00205,0.4693,SIMILAR,"claimant_id, exact_amount, city, claim_type",47,0.9922,0.0,0.0,1.0,0,0
CLM00185,CLM00260,0.4688,SIMILAR,"claimant_id, close_date_30d, city",9,0.6414,0.0,0.0,1.0,1,0
CLM00028,CLM00191,0.4678,SIMILAR,"policy_id, close_date_30d, claim_type",21,0.8558,0.0,0.0,0.2359,1,0
CLM00030,CLM00197,0.4677,SIMILAR,"claimant_id, close_date_30d, city",15,0.4761,0.0,0.0,1.0,0,0
CLM00140,CLM00169,0.4676,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, city",1,0.1481,0.0,1.0,0.2359,0,0
CLM00235,CLM00307,0.4665,SIMILAR,"claimant_id, close_amount_10pct, city",40,0.9336,0.0,0.1,1.0,0,0
CLM00247,CLM00262,0.4654,SIMILAR,"policy_id, close_date_7d",2,0.8011,0.0,0.1,0.2359,0,0
CLM00002,CLM00167,0.4651,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",47,0.946,0.0,0.0,1.0,0,0
CLM00019,CLM00166,0.464,SIMILAR,"claimant_id, close_date_30d, city",26,0.705,0.0,0.0,1.0,1,0
CLM00084,CLM00308,0.464,SIMILAR,"claimant_id, city, claim_type",39,0.2798,0.0,0.1,1.0,0,0
CLM00056,CLM00246,0.4629,SIMILAR,"claimant_id, close_date_30d, city",14,0.2434,0.0,0.1,1.0,0,0
CLM00054,CLM00190,0.4623,SIMILAR,"claimant_id, close_date_30d, city",26,0.5476,0.0,0.1,1.0,1,0
CLM00024,CLM00149,0.462,SIMILAR,"claimant_id, close_date_7d, city",6,0.4846,0.0,0.0,1.0,0,0
CLM00040,CLM00067,0.4615,SIMILAR,"claimant_id, close_date_30d, city",8,0.535,0.0,0.0,1.0,0,0
CLM00045,CLM00213,0.4611,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",7,0.1075,0.0,1.0,0.2513,0,0
CLM00021,CLM00260,0.4605,SIMILAR,"claimant_id, close_date_30d, city",28,0.8696,0.0,0.1,1.0,1,0
CLM00011,CLM00202,0.46,SIMILAR,"vehicle_id, close_date_30d, close_amount_10pct, city",25,0.9466,0.0,1.0,0.2513,0,0
CLM00019,CLM00043,0.4597,SIMILAR,"claimant_id, close_date_30d, city",27,0.8423,0.0,0.1,1.0,1,0
CLM00023,CLM00217,0.4595,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",2,0.9874,0.0,0.0,0.2359,1,0
CLM00051,CLM00109,0.4594,SIMILAR,"policy_id, close_date_7d",6,0.8367,0.0,0.1,0.2359,0,0
CLM00100,CLM00230,0.4576,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, close_amount_10pct",4,0.923,0.0,1.0,0.2359,0,1
CLM00126,CLM00165,0.4576,SIMILAR,"claimant_id, close_date_30d, city",18,0.2854,0.0,0.1,1.0,0,0
CLM00038,CLM00193,0.457,SIMILAR,"claimant_id, close_date_30d, city",30,0.8847,0.0,0.1,1.0,0,1
CLM00148,CLM00255,0.4565,SIMILAR,"policy_id, close_date_7d, close_amount_10pct",5,0.9472,0.0,0.0,0.2359,0,0
CLM00148,CLM00194,0.4564,SIMILAR,"claimant_id, exact_amount, city, claim_type",52,0.974,0.0,0.0,1.0,0,0
CLM00205,CLM00233,0.4564,SIMILAR,"claimant_id, exact_amount, city",39,0.9584,0.0,0.0,1.0,0,0
CLM00006,CLM00302,0.456,SIMILAR,"claimant_id, close_date_7d, city",7,0.4555,0.0,0.0,1.0,0,0
CLM00117,CLM00168,0.4558,SIMILAR,"claimant_id, close_date_7d, city",3,0.0525,0.0,0.0,1.0,0,0
CLM00082,CLM00213,0.4553,NO_MATCH,"close_date_7d, city, claim_type",6,0.8964,0.0,0.1,0.2359,0,0
CLM00203,CLM00315,0.4553,SIMILAR,"policy_id, close_date_7d",1,0.8256,0.0,0.0,0.2359,0,0
CLM00121,CLM00213,0.4551,SIMILAR,"claimant_id, city, claim_type",65,0.7109,0.0,0.1,1.0,0,0
CLM00008,CLM00297,0.4551,SIMILAR,"policy_id, close_date_30d, city",11,0.3932,0.0,0.1,0.2513,0,0
CLM00146,CLM00157,0.4548,SIMILAR,"claimant_id, close_date_7d, city",2,0.1672,0.0,0.1,1.0,1,0
CLM00006,CLM00179,0.4545,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, exact_amount",7,0.9683,0.0,1.0,0.2359,0,0
CLM00153,CLM00235,0.4545,SIMILAR,"claimant_id, close_date_7d, city",6,0.4143,0.0,0.0,1.0,0,0
CLM00029,CLM00244,0.4542,SIMILAR,"claimant_id, city, claim_type",156,0.7066,0.0,0.1,1.0,0,0
CLM00012,CLM00101,0.4542,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",4,0.2852,0.0,1.0,0.2359,0,0
CLM00099,CLM00259,0.4542,NO_MATCH,"close_date_7d, city, claim_type",6,0.8847,0.0,0.1,0.2359,0,0
CLM00112,CLM00119,0.4541,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",4,0.9787,0.0,0.0,0.2359,0,0
CLM00143,CLM00282,0.4538,SIMILAR,"policy_id, close_date_7d",1,0.789,0.0,0.0,0.2513,0,1
CLM00135,CLM00249,0.4534,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",3,0.9346,0.0,0.0,0.2513,0,0
CLM00084,CLM00317,0.4523,SIMILAR,"policy_id, close_date_30d, claim_type",8,0.3758,0.0,0.0,0.2359,0,0
CLM00069,CLM00134,0.4515,NO_MATCH,"exact_date, city, claim_type",0,0.8673,0.0,0.0,0.2359,0,0
CLM00231,CLM00282,0.4513,SIMILAR,"policy_id, provider_id, close_date_30d",17,0.8544,0.3,0.0,0.2513,0,1
CLM00223,CLM00238,0.4505,SIMILAR,"claimant_id, city, claim_type",60,0.8147,0.0,0.0,1.0,0,0
CLM00245,CLM00284,0.4503,SIMILAR,"claimant_id, close_date_30d, city",12,0.5128,0.0,0.0,1.0,1,0
CLM00231,CLM00296,0.4503,NO_MATCH,"exact_date, city, claim_type",0,0.8502,0.0,0.0,0.2359,0,0
CLM00157,CLM00262,0.4497,SIMILAR,"claimant_id, close_date_7d, city",6,0.2255,0.0,0.1,1.0,0,0
CLM00071,CLM00130,0.4495,SIMILAR,"claimant_id, close_date_30d, city",12,0.5098,0.0,0.0,1.0,0,0
CLM00150,CLM00209,0.449,SIMILAR,"policy_id, close_date_30d, exact_amount",10,0.9871,0.0,0.0,0.2359,0,0
CLM00067,CLM00231,0.4489,SIMILAR,"claimant_id, city, claim_type",86,0.6633,0.0,0.1,1.0,0,0
CLM00153,CLM00307,0.4475,SIMILAR,"claimant_id, city, claim_type",34,0.4437,0.0,0.0,1.0,0,0
CLM00020,CLM00124,0.4472,SIMILAR,"claimant_id, close_date_30d, city",19,0.2116,0.0,0.1,1.0,0,0
CLM00138,CLM00243,0.4468,SIMILAR,"policy_id, close_date_30d, close_amount_10pct",9,0.9398,0.0,0.0,0.2359,0,0
CLM00291,CLM00317,0.4467,SIMILAR,"invoice_id, close_date_30d, city",14,0.6139,1.0,0.1,0.2359,0,0
CLM00002,CLM00023,0.4467,SIMILAR,"claimant_id, provider_id, close_amount_10pct, city",179,0.9219,0.3,0.1,1.0,0,1
CLM00050,CLM00277,0.4465,SIMILAR,"policy_id, close_date_7d",4,0.6681,0.0,0.1,0.2359,1,0
CLM00222,CLM00281,0.446,SIMILAR,"claimant_id, provider_id, city",32,0.6794,0.3,0.0,1.0,0,0
CLM00041,CLM00113,0.446,NO_MATCH,"close_date_30d, close_amount_10pct, city, claim_type",13,0.9471,0.0,0.1,0.2513,0,0
CLM00091,CLM00093,0.446,SIMILAR,"claimant_id, city",31,0.6453,0.0,0.0,1.0,1,0
CLM00065,CLM00256,0.4455,SIMILAR,"claimant_id, city, claim_type",87,0.6196,0.0,0.1,1.0,0,0
CLM00006,CLM00078,0.4453,NO_MATCH,"provider_id, close_date_30d, city, claim_type",15,0.7213,0.3,0.1,0.2359,0,0
CLM00178,CLM00224,0.4451,SIMILAR,"claimant_id, close_date_30d, city",23,0.4547,0.0,0.0,1.0,0,0
CLM00124,CLM00146,0.445,SIMILAR,"policy_id, close_date_30d, city",18,0.6378,0.0,0.0,0.2359,0,1
CLM00120,CLM00231,0.4448,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",55,0.9419,0.0,0.0,1.0,0,0
CLM00154,CLM00200,0.4448,SIMILAR,"policy_id, close_date_7d",3,0.5987,0.0,0.1,0.2513,0,0
CLM00220,CLM00319,0.4444,SIMILAR,"claimant_id, provider_id, city, claim_type",106,0.473,0.3,0.0,1.0,0,0
CLM00159,CLM00310,0.4444,SIMILAR,"claimant_id, close_date_30d, city",24,0.7635,0.0,0.0,1.0,0,0
CLM00115,CLM00160,0.4438,SIMILAR,"claimant_id, close_date_30d, city",18,0.607,0.0,0.0,1.0,1,1
CLM00036,CLM00104,0.4438,SIMILAR,"claimant_id, provider_id, close_date_30d, city",17,0.2873,0.3,0.0,1.0,0,0
CLM00083,CLM00239,0.4436,SIMILAR,"claimant_id, city, claim_type",36,0.4508,0.0,0.0,1.0,0,0
CLM00142,CLM00277,0.4436,NO_MATCH,"close_date_7d, city, claim_type",7,0.8088,0.0,0.1,0.2359,1,0
CLM00059,CLM00098,0.4435,SIMILAR,"vehicle_id, close_date_30d, claim_type",25,0.6987,0.0,1.0,0.2359,0,0
CLM00109,CLM00198,0.4434,SIMILAR,"invoice_id, close_date_30d, city",11,0.6472,1.0,0.0,0.2359,0,1
CLM00065,CLM00190,0.4427,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, close_amount_10pct",11,0.9237,0.0,1.0,0.2513,0,0
CLM00166,CLM00270,0.4425,SIMILAR,"vehicle_id, close_date_30d, city",24,0.4818,0.0,1.0,0.2359,0,0
CLM00010,CLM00054,0.4419,SIMILAR,"claimant_id, close_date_30d, city",27,0.5136,0.0,0.0,1.0,1,1
CLM00079,CLM00270,0.4415,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",7,0.9328,0.0,0.0,0.2359,0,0
CLM00108,CLM00226,0.4413,NO_MATCH,"close_date_7d, city, claim_type",2,0.6701,0.0,0.1,0.2359,0,0
CLM00003,CLM00261,0.4413,SIMILAR,"claimant_id, city, claim_type",220,0.7331,0.0,0.0,1.0,0,0
CLM00162,CLM00218,0.4412,SIMILAR,"invoice_id, close_date_7d, city",4,0.7595,1.0,0.0,0.2359,0,0
CLM00018,CLM00225,0.4409,NO_MATCH,"close_date_7d, city, claim_type",2,0.6613,0.0,0.1,0.2359,1,0
CLM00100,CLM00101,0.4408,SIMILAR,"claimant_id, city, claim_type",47,0.3927,0.0,0.0,1.0,0,0
CLM00127,CLM00182,0.4403,SIMILAR,"vehicle_id, close_date_30d, claim_type",21,0.5662,0.0,1.0,0.2359,1,0
CLM00051,CLM00150,0.4399,SIMILAR,"policy_id, city, claim_type",49,0.7665,0.0,0.0,0.2359,0,0
CLM00122,CLM00279,0.4397,SIMILAR,"claimant_id, city",41,0.8413,0.0,0.0,1.0,0,0
CLM00033,CLM00293,0.4397,SIMILAR,"invoice_id, close_date_30d, city",21,0.865,1.0,0.0,0.2359,1,0
CLM00132,CLM00208,0.4394,SIMILAR,"claimant_id, provider_id, city, claim_type",189,0.7126,0.3,0.0,1.0,0,0
CLM00044,CLM00271,0.439,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",3,0.9681,0.0,0.1,0.2359,0,0
CLM00173,CLM00284,0.439,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",10,0.9964,0.0,0.0,0.2359,0,0
CLM00194,CLM00287,0.4389,SIMILAR,"policy_id, close_date_30d, city",29,0.8703,0.0,0.0,0.2359,0,0
CLM00058,CLM00274,0.4386,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, claim_type",13,0.0328,0.0,1.0,0.2513,1,0
CLM00277,CLM00285,0.4375,SIMILAR,"claimant_id, exact_amount, city, claim_type",134,0.9939,0.0,0.0,1.0,0,0
CLM00061,CLM00160,0.4373,SIMILAR,"policy_id, close_date_30d, close_amount_10pct",13,0.9104,0.0,0.0,0.2513,0,1
CLM00214,CLM00280,0.4371,SIMILAR,"claimant_id, exact_amount, city, claim_type",241,0.9905,0.0,0.0,1.0,1,0
CLM00121,CLM00124,0.437,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d",2,0.6575,0.0,1.0,0.2359,0,0
CLM00051,CLM00220,0.4367,SIMILAR,"policy_id, exact_date",0,0.6198,0.0,0.0,0.2359,0,0
CLM00047,CLM00064,0.4365,SIMILAR,"claimant_id, city, claim_type",48,0.2246,0.0,0.1,1.0,0,0
CLM00136,CLM00229,0.4357,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d",1,0.6385,0.0,1.0,0.2359,0,0
CLM00116,CLM00273,0.4356,NO_MATCH,"close_date_7d, close_amount_10pct, city, claim_type",3,0.9375,0.0,0.1,0.2359,0,0
CLM00215,CLM00217,0.4345,SIMILAR,"vehicle_id, close_date_30d, close_amount_10pct",25,0.9079,0.0,1.0,0.2359,1,0
CLM00192,CLM00264,0.4344,SIMILAR,"claimant_id, close_date_30d, city",21,0.5882,0.0,0.0,1.0,0,0
CLM00082,CLM00281,0.4341,SIMILAR,"claimant_id, city, claim_type",32,0.256,0.0,0.0,1.0,0,0
CLM00246,CLM00300,0.4339,SIMILAR,"policy_id, close_date_30d, city",21,0.4396,0.0,0.1,0.2513,0,0
CLM00231,CLM00298,0.4336,SIMILAR,"claimant_id, close_date_30d, city",25,0.5301,0.0,0.1,1.0,0,0
CLM00049,CLM00200,0.4335,NO_MATCH,"close_date_7d, city, claim_type",4,0.7881,0.0,0.0,0.2359,0,0
CLM00026,CLM00190,0.4334,SIMILAR,"policy_id, close_date_30d",12,0.8863,0.0,0.0,0.2359,0,0
CLM00194,CLM00300,0.4331,SIMILAR,"claimant_id, close_date_30d, city",10,0.3098,0.0,0.0,1.0,0,0
CLM00275,CLM00318,0.4327,SIMILAR,"policy_id, close_date_30d, claim_type",20,0.3338,0.0,0.1,0.2359,0,1
CLM00040,CLM00053,0.4325,SIMILAR,"invoice_id, close_date_30d, claim_type",17,0.898,1.0,0.0,0.2359,0,0
