claim_id,claim_amount,claim_frequency,claim_age_days,amount_anomaly_score,claimant_degree,provider_degree,vehicle_degree,connected_claim_count,shared_entity_count,cluster_size,provider_centrality,fraud_label
CLM00134,148404,5,1,0.5741,20,8,2,11,3,32,0.1957,0
CLM00135,164204,3,0,0.8922,7,1,1,17,6,33,0.4046,0
CLM00136,150257,8,0,0.4707,13,12,6,13,8,21,0.641,0
CLM00137,107996,1,0,0.0861,3,7,1,4,7,38,0.1624,0
CLM00138,220979,7,1,0.8913,14,5,12,12,8,25,0.6965,0
CLM00139,81496,8,4,0.3323,13,15,7,24,4,17,0.4777,0
CLM00140,28890,4,5,0.0785,12,11,12,22,1,11,0.2613,0
CLM00141,74021,8,4,0.8129,5,5,4,20,3,2,0.1167,0
CLM00142,179972,8,0,0.6845,13,7,12,19,2,35,0.9099,1
CLM00143,114741,8,3,0.1437,14,3,7,9,5,34,0.9677,0
CLM00144,14103,5,2,0.6996,13,10,5,24,7,7,0.1093,0
CLM00145,299077,6,6,0.4875,12,14,3,9,4,27,0.699,1
CLM00146,224164,2,3,0.4787,6,14,8,1,2,6,0.7737,1
CLM00147,168330,3,2,0.5747,17,7,11,10,7,12,0.1764,0
CLM00148,203804,2,3,0.3259,5,4,8,6,2,30,0.5671,0
CLM00149,112712,2,6,0.461,6,4,1,24,3,14,0.2594,0
CLM00150,164555,7,1,0.5479,14,8,11,20,2,12,0.0798,0
CLM00151,246391,8,3,0.2082,13,2,5,3,6,3,0.5856,0
CLM00152,229981,7,6,0.7873,16,11,2,1,1,19,0.7518,0
CLM00153,75626,4,1,0.0779,19,13,1,4,4,35,0.7918,0
CLM00154,204096,8,0,0.4629,20,9,5,16,8,23,0.6044,0
CLM00155,110744,2,6,0.308,12,11,6,11,4,25,0.6651,1
CLM00156,172195,7,0,0.6855,20,1,6,11,2,2,0.4569,1
CLM00157,37472,7,2,0.6602,13,12,3,1,2,35,0.2795,0
CLM00158,96687,2,1,0.9033,8,6,8,20,8,34,0.4131,0
CLM00159,155014,1,6,0.1492,1,11,6,1,6,4,0.9696,0
CLM00160,139553,5,3,0.4472,11,11,8,8,8,27,0.7392,1
CLM00161,63659,4,5,0.5703,3,6,7,16,2,26,0.2939,0
CLM00162,127342,5,3,0.5827,5,14,9,19,1,10,0.4979,0
CLM00163,226061,7,6,0.0624,10,14,11,18,8,12,0.8964,0
CLM00164,172928,1,0,0.8208,16,11,9,8,4,15,0.1704,0
CLM00165,67993,6,0,0.2352,3,2,7,23,1,12,0.929,0
CLM00166,135383,7,5,0.3828,13,13,5,8,5,32,0.9515,0
CLM00167,218913,7,3,0.6625,4,11,3,18,8,7,0.7955,0
CLM00168,225368,8,1,0.3846,8,15,10,25,2,23,0.377,0
CLM00169,195103,6,6,0.2885,13,11,11,18,7,16,0.2236,0
CLM00170,233440,3,1,0.6484,10,2,2,3,6,39,0.9372,0
CLM00171,232119,3,5,0.4367,4,10,6,5,6,26,0.5769,0
CLM00172,143893,3,0,0.8059,10,1,10,18,4,26,0.9798,0
CLM00173,242665,8,6,0.9303,12,13,11,5,4,8,0.3953,0
CLM00174,51353,3,3,0.5521,15,6,3,10,4,33,0.68,0
CLM00175,156068,8,3,0.1858,20,5,3,24,1,40,0.3201,0
CLM00176,130147,1,4,0.2367,4,5,12,19,8,15,0.495,0
CLM00177,144207,5,3,0.367,13,1,6,5,4,16,0.7004,0
CLM00178,136946,1,4,0.3686,6,14,8,24,7,21,0.9844,0
CLM00179,141390,8,5,0.7302,6,1,9,13,6,29,0.6779,0
CLM00180,54394,5,3,0.5234,13,7,2,17,5,20,0.6964,1
CLM00181,159584,2,1,0.7417,18,7,2,5,6,39,0.8659,0
CLM00182,145177,2,5,0.7981,10,8,11,6,3,30,0.696,0
CLM00183,114255,5,4,0.535,5,4,4,24,4,2,0.3622,0
CLM00184,7439,1,3,0.9061,19,2,11,5,7,29,0.6794,0
CLM00185,147856,6,3,0.2892,2,2,6,16,3,5,0.1173,1
CLM00186,189401,1,5,0.3041,11,10,7,5,7,17,0.034,0
CLM00187,66474,5,0,0.5781,13,8,5,23,3,26,0.7758,1
CLM00188,242182,1,5,0.6243,3,13,8,21,7,19,0.6323,0
CLM00189,50797,5,3,0.5056,12,1,2,4,2,9,0.4892,0
CLM00190,228149,5,2,0.281,17,4,1,19,8,19,0.6937,0
CLM00191,119744,5,0,0.1746,19,3,7,16,7,21,0.5714,0
CLM00192,124678,3,5,0.8078,11,2,12,18,3,27,0.8129,0
CLM00193,195424,5,6,0.4849,13,9,9,17,8,6,0.5189,1
CLM00194,209253,1,2,0.5955,18,12,11,4,4,9,0.1807,0
CLM00195,21603,3,6,0.7704,6,1,9,15,6,9,0.0391,0
CLM00196,142128,4,5,0.6376,7,11,3,3,5,4,0.0846,0
CLM00197,173140,4,4,0.6423,17,5,6,18,3,29,0.9771,0
CLM00198,232912,2,0,0.3987,1,4,5,2,5,36,0.4449,1
CLM00199,173641,5,3,0.3798,16,12,6,17,6,40,0.5382,0
CLM00200,122196,7,3,0.5304,4,11,1,8,1,14,0.1417,0
CLM00201,5044,7,0,0.382,7,3,10,18,4,39,0.3591,0
CLM00202,94352,6,4,0.0974,20,7,2,18,5,18,0.3818,0
CLM00203,162273,6,6,0.918,6,7,8,3,5,29,0.9402,0
CLM00204,222549,5,2,0.8023,18,4,2,21,5,14,0.7144,0
CLM00205,220440,5,5,0.4611,17,10,3,14,3,22,0.9924,0
CLM00206,61515,4,5,0.7705,13,1,10,8,2,19,0.1246,0
CLM00207,159353,6,5,0.3133,18,7,2,11,2,25,0.9092,1
CLM00208,158385,1,5,0.012,9,3,4,9,1,8,0.3772,0
CLM00209,162429,2,4,0.4459,13,2,2,6,5,39,0.8213,0
CLM00210,82115,4,5,0.1931,4,9,6,23,5,37,0.2711,0
CLM00211,87289,1,4,0.9385,2,3,6,25,7,13,0.3452,0
CLM00212,181258,4,4,0.7081,18,9,10,13,8,39,0.1276,1
CLM00213,154589,2,0,0.376,17,12,3,22,3,11,0.3788,0
CLM00214,104842,3,0,0.2533,9,1,12,21,6,17,0.6782,1
CLM00215,225038,8,5,0.4534,15,3,8,12,8,34,0.2868,1
CLM00216,152294,5,6,0.9034,17,12,4,10,2,21,0.4065,0
CLM00217,247872,6,2,0.2773,3,11,2,3,4,7,0.1651,0
CLM00218,167676,1,3,0.996,3,12,5,18,8,2,0.9622,0
CLM00219,55724,5,6,0.4406,17,15,12,5,8,33,0.515,0
CLM00220,78167,8,1,0.1784,18,12,2,13,1,14,0.9109,0
CLM00221,45581,8,0,0.7687,1,12,7,23,6,17,0.9942,1
CLM00222,24105,4,4,0.9126,17,11,10,2,8,12,0.6745,0
CLM00223,147365,5,0,0.0704,17,15,4,6,2,25,0.8394,0
CLM00224,62264,5,6,0.8965,12,1,7,16,7,12,0.3733,0
CLM00225,68005,3,5,0.9329,11,15,11,8,2,20,0.2992,0
CLM00226,146619,7,2,0.3298,9,4,1,24,7,15,0.9231,0
CLM00227,240479,7,4,0.7076,17,14,1,15,8,5,0.3557,0
CLM00228,180724,8,3,0.844,15,6,5,12,2,2,0.3497,0
CLM00229,235329,2,4,0.3844,6,7,6,1,2,29,0.492,0
CLM00230,186036,8,0,0.935,17,9,3,14,2,33,0.0069,1
CLM00231,170207,6,2,0.4006,9,4,8,13,6,21,0.3645,0
CLM00232,21577,2,2,0.0805,6,9,5,4,8,30,0.1618,0
CLM00233,211278,8,6,0.2031,14,1,6,23,4,9,0.1896,0
CLM00234,13079,1,3,0.2989,5,7,7,24,6,4,0.1603,0
CLM00235,182547,7,0,0.3593,16,11,5,4,7,33,0.5501,0
CLM00236,161409,2,5,0.1895,5,6,7,17,7,10,0.1097,0
CLM00237,174327,1,1,0.9964,1,3,3,12,1,17,0.052,0
CLM00238,180892,4,3,0.7927,11,7,10,24,1,29,0.4802,0
CLM00239,30743,5,3,0.9666,16,2,7,8,3,34,0.1869,0
CLM00240,31226,1,0,0.3377,4,14,5,23,4,29,0.1984,0
CLM00241,85130,1,3,0.8071,4,12,12,17,3,14,0.9926,0
CLM00242,69533,8,5,0.7411,5,4,2,5,7,4,0.2739,0
CLM00243,235132,4,0,0.1416,5,7,1,20,4,7,0.8644,0
CLM00244,174227,1,3,0.2427,14,9,5,23,4,16,0.3362,0
CLM00245,124883,3,0,0.05,2,9,7,21,1,21,0.1101,1
CLM00246,147467,5,6,0.6112,9,6,12,14,4,22,0.8951,0
CLM00247,207413,2,6,0.4971,2,1,1,22,6,15,0.2853,0
CLM00248,7776,4,0,0.3373,20,2,7,6,5,33,0.3636,0
CLM00249,153467,7,2,0.576,4,2,11,1,3,23,0.3606,0
CLM00250,21478,3,2,0.5931,12,12,10,17,6,17,0.6502,0
CLM00251,124182,6,0,0.1412,19,7,2,4,3,40,0.1204,0
CLM00252,147698,7,1,0.5534,7,4,12,15,2,6,0.9418,0
CLM00253,111389,8,1,0.1334,11,5,12,16,4,36,0.7208,0
CLM00254,48412,7,6,0.8796,5,4,7,18,5,37,0.9751,0
CLM00255,193036,2,0,0.9261,12,8,11,23,2,29,0.0677,0
CLM00256,130572,5,3,0.6924,17,15,9,1,3,40,0.2741,0
CLM00257,270016,4,1,0.5231,10,1,10,2,4,27,0.495,1
CLM00258,152745,7,1,0.6917,17,2,3,15,7,37,0.7794,0
CLM00259,222674,3,5,0.9503,20,5,4,6,1,12,0.5719,0
CLM00260,94829,5,2,0.5577,1,15,9,15,5,21,0.8525,0
CLM00261,58044,4,0,0.6189,9,9,2,6,4,4,0.5336,0
CLM00262,166152,4,3,0.2081,2,11,3,9,3,19,0.8734,0
CLM00263,5314,1,1,0.6852,8,14,4,18,2,2,0.6486,0
CLM00264,211977,8,3,0.6701,20,6,6,3,5,10,0.4083,0
CLM00265,243573,1,0,0.2851,10,6,1,21,1,24,0.2193,0
CLM00266,6864,7,2,0.8052,6,5,1,18,2,26,0.9457,0
CLM00267,45574,8,0,0.0525,20,9,4,15,4,22,0.2688,0
CLM00268,77236,3,1,0.5149,13,3,8,8,7,25,0.1483,0
CLM00269,131814,2,1,0.5798,3,8,3,15,3,13,0.1889,0
CLM00270,65233,7,1,0.2301,6,11,5,1,5,12,0.8853,0
CLM00271,165963,2,2,0.2371,13,11,10,7,2,11,0.072,0
CLM00272,162350,7,6,0.8914,15,15,11,13,2,35,0.1373,0
CLM00273,105748,2,3,0.0543,1,10,2,13,7,3,0.11,0
CLM00274,7807,7,1,0.455,2,3,4,25,2,19,0.1426,0
CLM00275,14453,7,2,0.7198,20,1,1,4,6,7,0.2023,0
CLM00276,111286,6,2,0.1272,19,15,8,6,5,23,0.4789,0
CLM00277,222517,1,2,0.8517,2,9,12,9,2,3,0.8249,0
CLM00278,248718,8,3,0.2199,18,5,2,17,7,11,0.0012,0
CLM00279,136902,5,4,0.9528,1,4,7,13,3,24,0.6554,0
CLM00280,103849,3,4,0.0865,13,11,12,4,8,12,0.9908,0
CLM00281,35479,8,6,0.4735,4,5,6,3,6,9,0.3605,0
CLM00282,145417,8,2,0.4281,3,15,1,20,3,13,0.4286,1
CLM00283,51788,4,1,0.5795,20,3,11,14,3,21,0.6248,0
CLM00284,243532,3,4,0.9802,12,15,2,9,8,25,0.9329,0
CLM00285,223874,1,3,0.4257,3,13,1,5,3,22,0.1478,0
CLM00286,178912,7,3,0.4524,16,14,2,4,7,19,0.1447,0
CLM00287,240437,4,0,0.6932,5,3,7,12,6,33,0.4238,0
CLM00288,230933,7,1,0.2958,14,10,11,11,3,17,0.3832,1
CLM00289,124851,2,0,0.3048,16,9,9,16,4,26,0.0836,0
CLM00290,188078,8,6,0.5837,14,9,10,25,4,7,0.2352,1
CLM00291,53211,8,3,0.4054,7,14,1,12,8,10,0.9209,0
CLM00292,52156,6,5,0.6334,12,6,3,10,8,11,0.8353,0
CLM00293,229476,2,3,0.5309,14,4,4,8,1,10,0.1172,0
CLM00294,239165,5,3,0.9461,5,7,12,1,7,25,0.0541,0
CLM00295,162819,4,6,0.6205,19,2,8,20,3,3,0.1469,1
CLM00296,200190,6,5,0.9453,3,4,2,1,7,11,0.7654,0
CLM00297,97036,6,0,0.3656,5,12,9,23,5,32,0.4115,0
CLM00298,90220,1,2,0.6482,15,13,11,23,1,20,0.1113,0
CLM00299,170599,2,4,0.1384,2,10,3,17,3,2,0.3964,0
CLM00300,64825,6,1,0.649,15,9,12,9,5,16,0.4237,0
CLM00301,100201,4,6,0.3527,9,2,9,13,3,15,0.4004,0
CLM00302,66506,5,4,0.2771,8,7,3,24,2,31,0.4774,0
CLM00303,235343,2,2,0.4862,13,14,7,6,1,25,0.6466,0
CLM00304,45704,2,3,0.6783,9,2,2,3,6,40,0.7788,1
CLM00305,39413,5,3,0.7999,1,4,5,6,2,6,0.2119,0
CLM00306,233300,2,1,0.0802,10,4,9,7,1,17,0.2692,0
CLM00307,170425,3,2,0.1648,19,1,10,16,1,5,0.3146,0
CLM00308,64540,2,5,0.1505,1,6,5,13,4,22,0.7518,0
CLM00309,5024,4,4,0.2932,12,3,12,22,2,23,0.4073,0
CLM00310,203042,3,3,0.4439,17,2,9,25,3,3,0.5872,0
CLM00311,54432,1,2,0.022,16,10,1,10,3,11,0.6824,0
CLM00312,107163,4,6,0.3359,3,12,4,7,3,12,0.9934,0
CLM00313,243539,6,5,0.4861,17,12,10,21,6,30,0.7854,0
CLM00314,22947,8,3,0.132,10,6,10,14,1,26,0.2391,0
CLM00315,133973,5,1,0.4842,20,2,3,19,8,8,0.8047,0
CLM00316,122150,5,6,0.3531,10,9,2,16,2,31,0.3137,1
CLM00317,86677,8,1,0.7118,10,3,2,9,6,24,0.0892,0
CLM00318,43296,5,1,0.6929,15,5,8,9,8,10,0.9398,1
CLM00319,36971,3,1,0.0412,16,1,6,10,7,28,0.857,0
CLM00320,125805,6,4,0.2604,5,8,6,17,6,25,0.0835,0
