claim_id,claim_degree,claimant_degree,policy_degree,vehicle_degree,provider_degree,invoice_degree,location_degree,claim_pagerank,claimant_pagerank,provider_pagerank,claim_betweenness,claimant_betweenness,provider_betweenness,claim_clustering,claimant_clustering,common_neighbors,provider_claim_count,claimant_claim_count,repeated_claimant_provider,fraud_neighbor_count,fraud_neighbor_ratio,suspicious_neighbor_count
CLM00033,6,7,4,4,24,5,91,0.00107901,0.00123894,0.0042378,0.00130129,0.00021967,0.0263219,0.06666667,0.28571429,1,14,6,0,0,0.0,4
CLM00034,6,6,2,6,21,4,90,0.00112995,0.00109343,0.00398564,0.00202437,0.00046373,0.0212906,0.06666667,0.2,1,10,3,0,0,0.0,2
CLM00035,6,2,4,4,25,3,91,0.00114872,0.00045909,0.00441865,0.00265452,0.0,0.01796617,0.13333333,1.0,2,13,1,0,0,0.0,0
CLM00036,6,9,6,3,21,4,90,0.00109435,0.0015917,0.00398564,0.00174893,0.00162943,0.0212906,0.06666667,0.11111111,2,10,4,1,0,0.0,1
CLM00037,6,6,3,5,21,5,111,0.00108108,0.00115339,0.00347891,0.00154887,0.00078754,0.01346489,0.06666667,0.2,1,16,3,0,0,0.0,1
CLM00038,6,7,6,3,21,3,123,0.00108888,0.0012312,0.00361305,0.00345365,0.00013471,0.02180532,0.06666667,0.28571429,1,13,6,0,3,0.6,3
CLM00039,6,5,3,4,27,5,111,0.00109473,0.00093702,0.00478573,0.00179911,0.00031154,0.01906371,0.06666667,0.3,1,14,3,0,0,0.0,1
CLM00040,6,10,4,3,34,6,91,0.0010812,0.00178976,0.00593772,0.00337301,0.00280799,0.03362692,0.13333333,0.13333333,2,25,6,0,0,0.0,5
CLM00041,6,7,3,6,27,4,110,0.00111187,0.00143075,0.00481519,0.00224528,0.0085149,0.03207056,0.06666667,0.04761905,1,16,1,0,0,0.0,0
CLM00042,6,2,3,3,22,4,111,0.00115499,0.00045253,0.00389565,0.00280953,0.0,0.02002791,0.13333333,1.0,2,14,1,0,0,0.0,0
CLM00043,6,11,5,4,34,3,123,0.00110793,0.00216585,0.00593772,0.00392156,0.00490743,0.03362692,0.06666667,0.09090909,1,25,5,0,1,0.25,2
CLM00044,6,4,3,4,22,3,110,0.00111875,0.00075715,0.00397522,0.00107781,9.8e-07,0.02019259,0.13333333,0.5,2,13,3,0,1,0.5,2
CLM00045,6,9,8,4,25,4,90,0.00105788,0.00167767,0.00402168,0.00297244,0.00258639,0.02103591,0.06666667,0.11111111,1,16,4,0,2,0.666667,3
CLM00046,6,7,4,2,16,4,110,0.0011523,0.00141313,0.00294923,0.00218949,0.00192196,0.01383975,0.06666667,0.0952381,1,9,2,0,0,0.0,1
CLM00047,6,7,4,4,22,3,111,0.00109896,0.00126303,0.0040191,0.00081561,0.00111033,0.01691593,0.13333333,0.14285714,2,12,3,0,0,0.0,2
CLM00048,6,4,8,4,21,3,123,0.00111088,0.00078147,0.00398564,0.00494608,0.00183917,0.0212906,0.06666667,0.16666667,1,10,1,0,0,0.0,0
CLM00049,6,8,4,2,21,2,123,0.00119241,0.00158832,0.00368452,0.00499957,0.00180141,0.02344063,0.06666667,0.14285714,2,14,4,1,0,0.0,2
CLM00050,6,9,3,8,27,3,110,0.00108466,0.00155271,0.0049563,0.00444569,0.00174495,0.04573758,0.06666667,0.13888889,1,16,5,0,2,0.5,3
CLM00051,6,2,8,3,21,7,110,0.00108921,0.00044445,0.00361305,0.00157312,0.0,0.02180532,0.06666667,1.0,1,13,1,0,0,0.0,0
CLM00052,6,7,4,2,16,4,91,0.00113831,0.00123894,0.00294923,0.00112777,0.00021967,0.01383975,0.13333333,0.28571429,2,9,6,0,1,0.2,5
CLM00053,6,7,4,4,21,6,111,0.00106525,0.00124541,0.00368452,0.00182546,0.00085746,0.02344063,0.06666667,0.23809524,1,14,5,0,1,0.25,3
CLM00054,6,7,7,5,19,2,123,0.00109523,0.0012312,0.00339865,0.00079653,0.00013471,0.01025027,0.13333333,0.28571429,2,10,6,0,2,0.4,4
CLM00055,6,6,4,4,26,4,111,0.00110263,0.00115339,0.00490412,0.00279217,0.00078754,0.01762278,0.06666667,0.2,1,9,3,0,0,0.0,2
CLM00056,6,9,7,3,27,5,91,0.00107332,0.00157895,0.00481519,0.00214431,0.00170683,0.03207056,0.06666667,0.11111111,1,16,4,0,0,0.0,1
CLM00057,6,10,4,2,22,3,123,0.00112781,0.00170921,0.00389565,0.00414892,0.00096237,0.02002791,0.06666667,0.15555556,1,14,7,0,1,0.166667,5
CLM00058,6,9,7,7,24,2,123,0.00109776,0.00164446,0.0042378,0.00344963,0.00188059,0.0263219,0.06666667,0.11111111,2,14,4,1,0,0.0,2
CLM00059,6,6,7,6,27,5,90,0.00105724,0.00109343,0.00478573,0.00169948,0.00046373,0.01906371,0.06666667,0.2,2,14,3,1,1,0.5,0
CLM00060,6,10,3,5,22,4,123,0.00109426,0.00172342,0.00397522,0.00698375,0.00136647,0.02019259,0.06666667,0.15555556,2,13,6,1,0,0.0,2
CLM00061,6,6,5,5,25,3,90,0.00106685,0.00110811,0.00402168,0.00179196,0.00186492,0.02103591,0.06666667,0.13333333,1,16,2,0,0,0.0,1
CLM00062,6,10,3,4,20,2,91,0.00114589,0.00178976,0.00353992,0.00369382,0.00280799,0.01600983,0.06666667,0.13333333,2,12,6,1,0,0.0,4
CLM00063,6,4,3,4,21,4,110,0.00110556,0.00075715,0.00347891,0.00162882,9.8e-07,0.01346489,0.06666667,0.5,1,16,3,0,1,0.5,2
CLM00064,6,7,3,4,20,3,111,0.00111081,0.00126303,0.00344607,0.00289694,0.00111033,0.01678725,0.06666667,0.14285714,1,14,3,0,0,0.0,2
CLM00065,6,5,3,6,25,3,90,0.001099,0.0009595,0.00402168,0.00156618,0.00234182,0.02103591,0.06666667,0.3,2,16,3,1,0,0.0,1
CLM00066,6,7,3,3,22,2,111,0.00117297,0.00133045,0.00424323,0.00301956,0.00148898,0.03031276,0.06666667,0.14285714,1,11,3,0,0,0.0,1
CLM00067,6,10,6,4,25,3,91,0.00109159,0.00178976,0.00441865,0.00265537,0.00280799,0.01796617,0.13333333,0.13333333,2,13,6,0,0,0.0,5
CLM00068,6,8,4,4,25,3,110,0.00109476,0.00138458,0.00441865,0.00494066,0.00105367,0.01796617,0.06666667,0.17857143,1,13,5,0,0,0.0,4
CLM00069,6,2,6,5,34,2,111,0.00113667,0.00045,0.00593772,0.0025431,0.0,0.03362692,0.06666667,1.0,1,25,1,0,0,0.0,0
CLM00070,6,4,5,3,22,3,90,0.00112311,0.00077156,0.0040191,0.0028135,6.572e-05,0.01691593,0.06666667,0.5,1,12,3,0,1,0.5,1
CLM00071,6,9,7,3,24,3,123,0.00109508,0.00164446,0.0042378,0.00276635,0.00188059,0.0263219,0.06666667,0.11111111,2,14,4,1,1,0.333333,2
CLM00072,6,5,3,2,24,2,91,0.00122361,0.00109801,0.0042378,0.00308579,0.00142214,0.0263219,0.06666667,0.2,1,14,2,0,1,1.0,1
CLM00073,6,4,4,5,16,2,110,0.00113429,0.00075989,0.00294923,0.00202437,0.00025968,0.01383975,0.06666667,0.33333333,1,9,2,0,0,0.0,1
CLM00074,6,6,4,3,15,3,91,0.00111135,0.00108941,0.00258951,0.00537711,0.00071532,0.01284642,0.06666667,0.2,1,11,3,0,1,0.5,2
CLM00075,6,9,8,4,21,3,110,0.00107879,0.00158368,0.00386897,0.0040818,0.00328969,0.01812876,0.06666667,0.11111111,2,11,4,1,1,0.333333,2
CLM00076,6,6,4,3,20,4,123,0.00109803,0.00107257,0.00344607,0.00304864,0.00043915,0.01678725,0.06666667,0.26666667,1,14,4,0,0,0.0,2
CLM00077,6,4,4,4,22,2,111,0.00113251,0.00075086,0.00389565,0.00258799,5.078e-05,0.02002791,0.13333333,0.5,2,14,3,0,1,0.5,2
CLM00078,6,10,7,6,34,5,123,0.00103673,0.00170921,0.00593772,0.00183364,0.00096237,0.03362692,0.06666667,0.15555556,1,25,7,0,1,0.166667,5
CLM00079,6,8,5,3,22,2,123,0.00113784,0.00140925,0.0040191,0.00351528,0.00393846,0.01691593,0.06666667,0.14285714,1,12,4,0,0,0.0,2
CLM00080,6,5,6,2,20,4,111,0.00114121,0.00101542,0.00344607,0.00159196,0.0008927,0.01678725,0.06666667,0.1,1,14,1,0,0,0.0,0
CLM00081,6,9,6,4,15,4,110,0.00105966,0.00155271,0.00258951,0.00363144,0.00174495,0.01284642,0.06666667,0.13888889,1,11,5,0,3,0.75,3
CLM00082,6,10,2,2,21,3,123,0.00117227,0.0017409,0.00368452,0.00396204,0.00218976,0.02344063,0.06666667,0.13333333,1,14,6,0,0,0.0,2
CLM00083,6,5,3,6,27,4,110,0.00108624,0.0009108,0.00478573,0.00074599,0.00019569,0.01906371,0.13333333,0.4,2,14,4,0,2,0.666667,3
CLM00084,6,8,3,4,21,4,123,0.00109844,0.00140925,0.00361305,0.00224614,0.00393846,0.02180532,0.06666667,0.14285714,1,13,4,0,0,0.0,2
CLM00085,6,4,8,6,20,3,110,0.00107025,0.00075715,0.00353992,0.00069414,9.8e-07,0.01600983,0.13333333,0.5,2,12,3,0,0,0.0,2
CLM00086,6,6,2,3,20,3,110,0.00119696,0.00118804,0.00353992,0.00210658,0.00121921,0.01600983,0.13333333,0.13333333,2,12,2,0,0,0.0,1
CLM00087,6,6,3,6,20,4,90,0.00109053,0.00110811,0.00344607,0.00096528,0.00186492,0.01678725,0.13333333,0.13333333,2,14,2,0,0,0.0,1
CLM00088,6,5,2,6,22,2,110,0.00116261,0.00093159,0.00397522,0.00149354,0.00024359,0.02019259,0.13333333,0.3,3,13,3,1,0,0.0,1
CLM00089,6,5,3,4,22,3,111,0.00111692,0.00092495,0.0040191,0.00264821,0.00073873,0.01691593,0.13333333,0.2,2,12,2,0,0,0.0,1
CLM00090,6,4,6,6,25,3,111,0.00105941,0.00075086,0.00402168,0.0008622,5.078e-05,0.02103591,0.13333333,0.5,2,16,3,0,2,1.0,2
CLM00091,6,10,2,4,21,3,123,0.00113667,0.00170921,0.00386897,0.00248299,0.00096237,0.01812876,0.06666667,0.15555556,1,11,7,0,0,0.0,5
CLM00092,6,8,3,3,22,4,111,0.00112741,0.00154305,0.0040191,0.00269625,0.00387549,0.01691593,0.13333333,0.14285714,2,12,4,0,0,0.0,2
CLM00093,6,10,4,4,20,4,123,0.00107221,0.00170921,0.00353992,0.00221163,0.00096237,0.01600983,0.06666667,0.15555556,1,12,7,0,1,0.166667,5
CLM00094,6,4,7,4,27,3,91,0.00110762,0.00077911,0.0049563,0.00377612,0.00014747,0.04573758,0.13333333,0.5,2,16,3,0,0,0.0,2
CLM00095,6,7,8,6,27,4,111,0.00105106,0.00124541,0.0049563,0.00211723,0.00085746,0.04573758,0.06666667,0.23809524,1,16,5,0,1,0.25,3
CLM00096,6,5,8,5,21,3,91,0.00111821,0.00109801,0.00386897,0.00339292,0.00142214,0.01812876,0.06666667,0.2,1,11,2,0,0,0.0,1
CLM00097,6,8,2,5,34,4,123,0.00111323,0.00148982,0.00593772,0.0040706,0.00684966,0.03362692,0.06666667,0.14285714,1,25,4,0,0,0.0,3
CLM00098,6,9,4,6,19,3,91,0.00110141,0.00175484,0.00339865,0.00319734,0.00844017,0.01025027,0.06666667,0.13888889,2,10,4,1,0,0.0,2
CLM00099,6,9,4,3,20,5,110,0.00109013,0.00160484,0.00353992,0.00105959,0.00293495,0.01600983,0.13333333,0.11111111,2,12,4,0,1,0.333333,3
CLM00100,6,6,3,4,17,3,123,0.00111102,0.00107257,0.00308179,0.00135829,0.00043915,0.01695548,0.13333333,0.26666667,2,7,4,0,0,0.0,3
CLM00101,6,6,5,4,21,2,123,0.00110551,0.00107257,0.00347891,0.0047963,0.00043915,0.01346489,0.13333333,0.26666667,2,16,4,0,0,0.0,2
CLM00102,6,7,5,5,27,2,90,0.00111559,0.00126065,0.0049563,0.0054481,0.00188893,0.04573758,0.13333333,0.14285714,1,16,3,0,0,0.0,0
CLM00103,6,6,3,4,26,5,90,0.00111469,0.00113434,0.00486327,0.00210539,0.00212233,0.03336735,0.13333333,0.13333333,2,11,2,0,1,1.0,1
CLM00104,6,9,4,3,21,2,90,0.00114767,0.0015917,0.00398564,0.00307296,0.00162943,0.0212906,0.06666667,0.11111111,2,10,4,1,0,0.0,1
CLM00105,6,9,4,4,17,2,110,0.0011159,0.00155271,0.00308179,0.004798,0.00174495,0.01695548,0.06666667,0.13888889,1,7,5,0,2,0.5,4
CLM00106,6,11,4,4,22,5,111,0.00107186,0.00185403,0.0040191,0.00116222,0.00395972,0.01691593,0.13333333,0.09090909,2,12,5,0,1,0.25,2
CLM00107,6,8,3,5,21,3,123,0.00111722,0.00158832,0.00347891,0.00397559,0.00180141,0.01346489,0.13333333,0.14285714,2,16,4,0,0,0.0,3
CLM00108,6,7,3,3,20,3,110,0.00112051,0.00121731,0.00344607,0.00161326,0.00042981,0.01678725,0.13333333,0.19047619,1,14,4,0,0,0.0,3
CLM00109,6,8,8,4,34,5,111,0.00107331,0.00154305,0.00593772,0.0014179,0.00387549,0.03362692,0.06666667,0.14285714,1,25,4,0,0,0.0,2
CLM00110,6,9,4,6,21,2,110,0.00109114,0.00160484,0.00347891,0.00383906,0.00293495,0.01346489,0.06666667,0.11111111,1,16,4,0,1,0.333333,3
CLM00111,6,5,3,3,27,2,110,0.0011614,0.00092228,0.00481519,0.00183102,5.095e-05,0.03207056,0.06666667,0.4,2,16,4,1,1,0.333333,2
CLM00112,6,5,6,4,20,3,110,0.00109016,0.00092228,0.00344607,0.00148386,5.095e-05,0.01678725,0.06666667,0.4,1,14,4,0,2,0.666667,3
CLM00113,6,9,3,3,21,3,110,0.00112119,0.00158368,0.00386897,0.00183735,0.00328969,0.01812876,0.06666667,0.11111111,2,11,4,1,1,0.333333,2
CLM00114,6,5,4,5,15,6,111,0.00105231,0.00089891,0.00258951,0.00195972,0.00023806,0.01284642,0.06666667,0.3,1,11,3,0,0,0.0,2
CLM00115,6,5,3,3,22,5,110,0.0010987,0.0009108,0.00389565,0.00340563,0.00019569,0.02002791,0.06666667,0.4,1,14,4,0,1,0.333333,3
CLM00116,6,4,3,4,34,3,123,0.00112303,0.00077479,0.00593772,0.00216251,0.00043834,0.03362692,0.06666667,0.16666667,1,25,1,0,0,0.0,0
CLM00117,6,8,4,3,34,3,91,0.00113173,0.00156089,0.00593772,0.00127727,0.0017321,0.03362692,0.13333333,0.14285714,2,25,4,0,0,0.0,2
CLM00118,6,6,5,2,27,2,111,0.00116491,0.00116126,0.00478573,0.00343702,0.00085877,0.01906371,0.06666667,0.2,1,14,3,0,1,0.5,2
CLM00119,6,9,8,6,15,3,110,0.001073,0.0016779,0.00258951,0.00177025,0.00320997,0.01284642,0.06666667,0.08333333,1,11,3,0,0,0.0,1
CLM00120,6,10,4,4,25,2,91,0.00110688,0.00178976,0.00402168,0.00170655,0.00280799,0.02103591,0.06666667,0.13333333,1,16,6,0,0,0.0,5
CLM00121,6,6,3,4,26,3,123,0.00111886,0.00108376,0.00490412,0.00387007,0.00014474,0.01762278,0.06666667,0.33333333,1,9,5,0,1,0.25,4
CLM00122,6,4,3,3,20,2,111,0.00115978,0.00076497,0.00344607,0.00327912,3.095e-05,0.01678725,0.06666667,0.5,1,14,3,0,1,0.5,2
CLM00123,6,6,6,4,25,6,123,0.00106601,0.00107257,0.00441865,0.00228293,0.00043915,0.01796617,0.06666667,0.26666667,1,13,4,0,0,0.0,2
CLM00124,6,9,3,4,20,2,110,0.00113544,0.00160677,0.00353992,0.00232476,0.00132751,0.01600983,0.13333333,0.13888889,2,12,4,0,1,0.333333,2
CLM00125,6,6,8,2,21,4,123,0.0010984,0.00108376,0.00361305,0.00201761,0.00014474,0.02180532,0.13333333,0.33333333,1,13,5,0,1,0.25,3
CLM00126,6,8,5,7,22,7,90,0.00105263,0.00137948,0.00397522,0.00306379,0.00061904,0.02019259,0.06666667,0.17857143,1,13,5,0,0,0.0,3
CLM00127,6,5,8,5,21,6,123,0.00108177,0.00101634,0.00398564,0.00336389,0.00303228,0.0212906,0.06666667,0.2,1,10,2,0,0,0.0,1
CLM00128,6,7,5,6,22,3,91,0.00110617,0.0013006,0.00424323,0.00176715,0.00092681,0.03031276,0.06666667,0.14285714,2,11,3,1,0,0.0,1
CLM00129,6,4,3,4,21,5,111,0.00111121,0.00083674,0.00361305,0.00367408,0.00144719,0.02180532,0.06666667,0.16666667,1,13,1,0,0,0.0,0
CLM00130,6,9,3,2,22,2,123,0.00118148,0.00164446,0.0040191,0.00513389,0.00188059,0.01691593,0.06666667,0.11111111,1,12,4,0,1,0.333333,3
CLM00131,6,4,6,4,27,4,90,0.00109022,0.00075684,0.0049563,0.00364216,3.185e-05,0.04573758,0.06666667,0.5,1,16,3,0,0,0.0,2
CLM00132,6,7,5,4,24,3,90,0.00110346,0.00130467,0.0042378,0.00290231,0.00109231,0.0263219,0.06666667,0.14285714,2,14,3,1,0,0.0,1
CLM00133,6,3,4,3,27,2,90,0.00116585,0.00061641,0.0049563,0.0038905,0.00059084,0.04573758,0.06666667,0.33333333,1,16,1,0,0,0.0,0
CLM00134,6,5,3,5,25,6,111,0.00107557,0.00094625,0.00402168,0.00125586,0.00072641,0.02103591,0.2,0.2,2,16,2,0,0,0.0,1
CLM00135,6,6,8,4,22,3,111,0.00109586,0.00115339,0.00389565,0.00092246,0.00078754,0.02002791,0.13333333,0.2,2,14,3,0,0,0.0,1
CLM00136,6,9,6,9,21,2,110,0.00108624,0.0016779,0.00368452,0.00090779,0.00320997,0.02344063,0.13333333,0.08333333,2,14,3,0,0,0.0,1
CLM00137,6,11,3,8,17,3,123,0.00111883,0.00216585,0.00308179,0.00316506,0.00490743,0.01695548,0.13333333,0.09090909,2,7,5,0,1,0.25,3
CLM00138,6,9,3,4,22,2,110,0.00113147,0.00158368,0.00389565,0.00380515,0.00328969,0.02002791,0.06666667,0.11111111,1,14,4,0,1,0.333333,3
CLM00139,6,5,5,4,21,4,110,0.00108287,0.00092228,0.00368452,0.00257955,5.095e-05,0.02344063,0.13333333,0.4,2,14,4,0,2,0.666667,3
CLM00140,6,8,8,6,27,4,123,0.00107334,0.00158832,0.00478573,0.00236265,0.00180141,0.01906371,0.06666667,0.14285714,1,14,4,0,0,0.0,3
CLM00141,6,10,4,3,25,2,123,0.00111359,0.00170921,0.00402168,0.00443519,0.00096237,0.02103591,0.06666667,0.15555556,1,16,7,0,1,0.166667,5
CLM00142,6,3,6,3,25,3,91,0.00113805,0.00062399,0.00441865,0.00130598,4.79e-05,0.01796617,0.13333333,0.66666667,2,13,2,0,0,0.0,1
CLM00143,6,7,4,3,34,2,111,0.00115196,0.0013003,0.00593772,0.00374299,0.00264921,0.03362692,0.06666667,0.14285714,1,25,3,0,1,0.5,2
CLM00144,6,7,7,5,34,5,111,0.00104238,0.00124141,0.00593772,0.00125294,0.0006108,0.03362692,0.13333333,0.23809524,1,25,4,0,0,0.0,3
CLM00145,6,4,4,7,25,3,123,0.00113867,0.00097525,0.00402168,0.00236554,0.00133302,0.02103591,0.06666667,0.16666667,1,16,1,0,0,0.0,0
CLM00146,6,7,3,4,21,2,110,0.00113432,0.00129222,0.00361305,0.00156934,0.00086144,0.02180532,0.06666667,0.19047619,1,13,4,0,0,0.0,2
CLM00147,6,7,6,5,16,2,90,0.00112362,0.00134485,0.00294923,0.002428,0.00117364,0.01383975,0.06666667,0.14285714,1,9,3,0,0,0.0,2
CLM00148,6,9,8,3,26,4,91,0.00111258,0.00169298,0.00490412,0.0013037,0.00218606,0.01762278,0.13333333,0.11111111,2,9,4,0,0,0.0,3
CLM00149,6,7,4,5,24,4,111,0.00108569,0.00133045,0.0042378,0.00260114,0.00148898,0.0263219,0.06666667,0.14285714,1,14,3,0,0,0.0,1
CLM00150,6,5,8,5,34,3,110,0.00107456,0.00094147,0.00593772,0.00296005,0.00203686,0.03362692,0.06666667,0.2,1,25,2,0,0,0.0,1
CLM00151,6,5,6,3,27,5,110,0.00109058,0.00093159,0.0049563,0.00452586,0.00024359,0.04573758,0.06666667,0.3,1,16,3,0,0,0.0,2
CLM00152,6,5,4,6,15,4,111,0.00107446,0.00094625,0.00258951,0.00462856,0.00072641,0.01284642,0.06666667,0.2,1,11,2,0,0,0.0,1
CLM00153,6,8,7,2,20,3,111,0.00112522,0.0015595,0.00353992,0.0025201,0.00805818,0.01600983,0.06666667,0.14285714,1,12,4,0,0,0.0,1
CLM00154,6,4,6,4,22,3,90,0.00113042,0.00090384,0.00389565,0.0021349,0.00101172,0.02002791,0.06666667,0.33333333,1,14,2,0,0,0.0,1
CLM00155,6,4,4,3,21,3,90,0.00113103,0.00077156,0.00398564,0.00199703,6.572e-05,0.0212906,0.06666667,0.5,1,10,3,0,1,0.5,2
CLM00156,6,4,4,4,27,2,111,0.00113358,0.00076497,0.0049563,0.00254865,3.095e-05,0.04573758,0.06666667,0.5,1,16,3,0,0,0.0,2
CLM00157,6,7,3,5,34,2,110,0.0011234,0.00129222,0.00593772,0.00396215,0.00086144,0.03362692,0.06666667,0.19047619,1,25,4,0,1,0.333333,2
CLM00158,6,4,4,6,27,4,111,0.00108745,0.00076538,0.00478573,0.00201116,0.00073807,0.01906371,0.06666667,0.33333333,1,14,2,0,1,1.0,1
CLM00159,6,7,2,3,27,3,111,0.00117815,0.00133265,0.0049563,0.00310342,0.00587197,0.04573758,0.06666667,0.14285714,1,16,3,0,0,0.0,2
CLM00160,6,5,5,9,15,2,110,0.00108324,0.0009108,0.00258951,0.00107147,0.00019569,0.01284642,0.06666667,0.4,1,11,4,0,1,0.333333,3
CLM00161,6,8,4,7,22,4,91,0.00110682,0.00156089,0.00424323,0.0034984,0.0017321,0.03031276,0.06666667,0.14285714,1,11,4,0,0,0.0,2
CLM00162,6,5,5,4,22,4,123,0.0010997,0.00096633,0.0040191,0.00165194,0.00074483,0.01691593,0.06666667,0.2,1,12,2,0,0,0.0,1
CLM00163,6,7,4,8,26,4,90,0.00108029,0.00127851,0.00486327,0.00110133,0.00203615,0.03336735,0.13333333,0.0952381,2,11,2,0,1,1.0,1
