claim_id,anomaly_score,anomaly_flag,anomaly_reason,isolation_forest_score,lof_score,ocsvm_score
CLM00073,0.2466,0,Normal range across operational and financial metrics,0.2466,0.1053,0.7069
CLM00074,0.0735,0,Normal range across operational and financial metrics,0.0735,0.0449,0.2176
CLM00075,0.2174,0,Normal range across operational and financial metrics,0.2174,0.0805,0.4025
CLM00076,0.1052,0,Normal range across operational and financial metrics,0.1052,0.028,0.5431
CLM00077,0.0601,0,Normal range across operational and financial metrics,0.0601,0.0066,0.2208
CLM00078,0.6644,1,Invoice unusually small relative to claim (0.10x ratio); High claimant claim frequency (7 claims); High-volume provider concentration (25 claims),0.6644,0.3748,0.8398
CLM00079,0.3418,0,Normal range across operational and financial metrics,0.3418,0.1285,0.6895
CLM00080,0.2038,0,Normal range across operational and financial metrics,0.2038,0.0621,0.5619
CLM00081,0.276,0,Normal range across operational and financial metrics,0.276,0.0889,0.5529
CLM00082,0.5317,0,Normal range across operational and financial metrics,0.5317,0.2888,0.8396
CLM00083,0.0574,0,Normal range across operational and financial metrics,0.0574,0.0302,0.21
CLM00084,0.5763,1,High amount-to-premium ratio (14.7x vs median 2.9x); Invoice unusually small relative to claim (0.07x ratio),0.5763,0.3628,0.8396
CLM00085,0.1474,0,Normal range across operational and financial metrics,0.1474,0.0379,0.5211
CLM00086,0.0924,0,Normal range across operational and financial metrics,0.0924,0.0308,0.3574
CLM00087,0.3017,0,Normal range across operational and financial metrics,0.3017,0.1217,0.738
CLM00088,0.3981,0,Normal range across operational and financial metrics,0.3981,0.1905,0.7613
CLM00089,0.3556,0,Normal range across operational and financial metrics,0.3556,0.1926,0.8395
CLM00090,0.1571,0,Normal range across operational and financial metrics,0.1571,0.0499,0.4184
CLM00091,0.6122,1,High claimant claim frequency (7 claims),0.6122,0.2688,0.8234
CLM00092,0.2844,0,Normal range across operational and financial metrics,0.2844,0.128,0.5949
CLM00093,0.4755,0,Normal range across operational and financial metrics,0.4755,0.1469,0.6274
CLM00094,0.5051,0,Normal range across operational and financial metrics,0.5051,0.4937,0.8375
CLM00095,0.2752,0,Normal range across operational and financial metrics,0.2752,0.0987,0.5939
CLM00096,0.3299,0,Normal range across operational and financial metrics,0.3299,0.098,0.795
CLM00097,0.3304,0,Normal range across operational and financial metrics,0.3304,0.1721,0.6924
CLM00098,0.3134,0,Normal range across operational and financial metrics,0.3134,0.0863,0.5513
CLM00099,0.1871,0,Normal range across operational and financial metrics,0.1871,0.0872,0.374
CLM00100,0.3431,0,Normal range across operational and financial metrics,0.3431,0.1633,0.6789
CLM00101,0.1082,0,Normal range across operational and financial metrics,0.1082,0.0525,0.4184
CLM00102,0.4422,0,Normal range across operational and financial metrics,0.4422,0.1555,0.7134
CLM00103,0.4372,0,Normal range across operational and financial metrics,0.4372,0.1509,0.8394
CLM00104,0.5339,0,Normal range across operational and financial metrics,0.5339,0.169,0.8319
CLM00105,0.3552,0,Normal range across operational and financial metrics,0.3552,0.1153,0.6655
CLM00106,0.4555,0,Normal range across operational and financial metrics,0.4555,0.2459,0.8016
CLM00107,0.1156,0,Normal range across operational and financial metrics,0.1156,0.0585,0.4348
CLM00108,0.233,0,Normal range across operational and financial metrics,0.233,0.0555,0.5287
CLM00109,0.2381,0,Normal range across operational and financial metrics,0.2381,0.1411,0.4274
CLM00110,0.3264,0,Normal range across operational and financial metrics,0.3264,0.1613,0.3379
CLM00111,0.1936,0,Normal range across operational and financial metrics,0.1936,0.0937,0.4793
CLM00112,0.2303,0,Normal range across operational and financial metrics,0.2303,0.0892,0.5793
CLM00113,0.3053,0,Normal range across operational and financial metrics,0.3053,0.1715,0.7385
CLM00114,0.1279,0,Normal range across operational and financial metrics,0.1279,0.0498,0.3975
CLM00115,0.1882,0,Normal range across operational and financial metrics,0.1882,0.0653,0.5033
CLM00116,0.4807,0,Normal range across operational and financial metrics,0.4807,0.2754,0.8396
CLM00117,0.7259,1,Invoice exceeds claim amount (12.9x ratio); High-volume provider concentration (25 claims),0.7259,0.4612,0.8398
CLM00118,0.1089,0,Normal range across operational and financial metrics,0.1089,0.0407,0.3679
CLM00119,0.3136,0,Normal range across operational and financial metrics,0.3136,0.1757,0.5064
CLM00120,0.299,0,Normal range across operational and financial metrics,0.299,0.1492,0.5599
CLM00121,0.2905,0,Normal range across operational and financial metrics,0.2905,0.0827,0.5287
CLM00122,0.3673,0,Normal range across operational and financial metrics,0.3673,0.1949,0.7587
CLM00123,0.1278,0,Normal range across operational and financial metrics,0.1278,0.0545,0.4737
CLM00124,0.5944,1,Invoice unusually small relative to claim (0.13x ratio); Multiple vehicles on file (4 vehicles); Low provider quality rating (3.2/5.0),0.5944,0.251,0.8396
CLM00125,0.2824,0,Normal range across operational and financial metrics,0.2824,0.1017,0.5172
CLM00126,0.4392,0,Normal range across operational and financial metrics,0.4392,0.2243,0.8396
CLM00127,0.2955,0,Normal range across operational and financial metrics,0.2955,0.1118,0.6415
CLM00128,0.2806,0,Normal range across operational and financial metrics,0.2806,0.1334,0.4841
CLM00129,0.2255,0,Normal range across operational and financial metrics,0.2255,0.0814,0.3981
CLM00130,0.4611,0,Normal range across operational and financial metrics,0.4611,0.1853,0.7742
CLM00131,0.1981,0,Normal range across operational and financial metrics,0.1981,0.0658,0.5028
CLM00132,0.1092,0,Normal range across operational and financial metrics,0.1092,0.0601,0.3162
CLM00133,0.3381,0,Normal range across operational and financial metrics,0.3381,0.1217,0.7675
CLM00134,0.2671,0,Normal range across operational and financial metrics,0.2671,0.0645,0.4245
CLM00135,0.1579,0,Normal range across operational and financial metrics,0.1579,0.0489,0.4446
CLM00136,0.3542,0,Normal range across operational and financial metrics,0.3542,0.166,0.5206
CLM00137,0.6318,1,High claimant claim frequency (5 claims),0.6318,0.3631,0.8397
CLM00138,0.3271,0,Normal range across operational and financial metrics,0.3271,0.2042,0.5285
CLM00139,0.1915,0,Normal range across operational and financial metrics,0.1915,0.0626,0.5645
CLM00140,0.1943,0,Normal range across operational and financial metrics,0.1943,0.0445,0.5682
CLM00141,0.5222,0,Normal range across operational and financial metrics,0.5222,0.1864,0.7566
CLM00142,0.3249,0,Normal range across operational and financial metrics,0.3249,0.0858,0.7492
CLM00143,0.358,0,Normal range across operational and financial metrics,0.358,0.2685,0.6767
CLM00144,0.4534,0,Normal range across operational and financial metrics,0.4534,0.2752,0.8395
CLM00145,0.4255,0,Normal range across operational and financial metrics,0.4255,0.2371,0.8395
CLM00146,0.1896,0,Normal range across operational and financial metrics,0.1896,0.1514,0.5427
CLM00147,0.1551,0,Normal range across operational and financial metrics,0.1551,0.0378,0.4879
CLM00148,0.5197,0,Normal range across operational and financial metrics,0.5197,0.4668,0.8397
CLM00149,0.0514,0,Normal range across operational and financial metrics,0.0514,0.0225,0.0942
CLM00150,0.3851,0,Normal range across operational and financial metrics,0.3851,0.1937,0.7082
CLM00151,0.3747,0,Normal range across operational and financial metrics,0.3747,0.1336,0.4688
CLM00152,0.2659,0,Normal range across operational and financial metrics,0.2659,0.1281,0.3243
CLM00153,0.1437,0,Normal range across operational and financial metrics,0.1437,0.0706,0.3269
CLM00154,0.3185,0,Normal range across operational and financial metrics,0.3185,0.1004,0.7194
CLM00155,0.1447,0,Normal range across operational and financial metrics,0.1447,0.0654,0.4838
CLM00156,0.2029,0,Normal range across operational and financial metrics,0.2029,0.0737,0.4848
CLM00157,0.3528,0,Normal range across operational and financial metrics,0.3528,0.2297,0.6921
CLM00158,0.1405,0,Normal range across operational and financial metrics,0.1405,0.0807,0.5575
CLM00159,0.3685,0,Normal range across operational and financial metrics,0.3685,0.1716,0.5908
CLM00160,0.0,0,Normal range across operational and financial metrics,0.0,0.0,0.0
CLM00161,0.2087,0,Normal range across operational and financial metrics,0.2087,0.1062,0.4993
CLM00162,0.1643,0,Normal range across operational and financial metrics,0.1643,0.0468,0.428
CLM00163,0.4537,0,Normal range across operational and financial metrics,0.4537,0.1496,0.7649
CLM00164,0.0249,0,Normal range across operational and financial metrics,0.0249,0.0232,0.2793
CLM00165,0.1925,0,Normal range across operational and financial metrics,0.1925,0.1065,0.4871
CLM00166,0.6387,1,High claimant claim frequency (5 claims),0.6387,0.4155,0.8398
CLM00167,0.2976,0,Normal range across operational and financial metrics,0.2976,0.1242,0.7551
CLM00168,0.2474,0,Normal range across operational and financial metrics,0.2474,0.0811,0.392
CLM00169,0.2035,0,Normal range across operational and financial metrics,0.2035,0.0599,0.4804
CLM00170,0.3117,0,Normal range across operational and financial metrics,0.3117,0.1187,0.6494
CLM00171,0.1687,0,Normal range across operational and financial metrics,0.1687,0.0568,0.4494
CLM00172,0.1641,0,Normal range across operational and financial metrics,0.1641,0.0717,0.5928
CLM00173,0.2744,0,Normal range across operational and financial metrics,0.2744,0.0819,0.5225
CLM00174,0.0764,0,Normal range across operational and financial metrics,0.0764,0.0435,0.3942
CLM00175,0.0449,0,Normal range across operational and financial metrics,0.0449,0.0038,0.246
CLM00176,0.6674,1,Multiple vehicles on file (3 vehicles); High-volume provider concentration (25 claims),0.6674,0.3788,0.8396
CLM00177,0.2024,0,Normal range across operational and financial metrics,0.2024,0.0687,0.5112
CLM00178,0.1396,0,Normal range across operational and financial metrics,0.1396,0.0388,0.491
CLM00179,0.0498,0,Normal range across operational and financial metrics,0.0498,0.0365,0.1354
CLM00180,0.0716,0,Normal range across operational and financial metrics,0.0716,0.0173,0.3417
CLM00181,0.068,0,Normal range across operational and financial metrics,0.068,0.0343,0.3049
CLM00182,0.434,0,Normal range across operational and financial metrics,0.434,0.1745,0.7526
CLM00183,0.5582,0,High claimant claim frequency (5 claims),0.5582,0.2671,0.703
CLM00184,0.4113,0,Normal range across operational and financial metrics,0.4113,0.2601,0.8183
CLM00185,0.1788,0,Normal range across operational and financial metrics,0.1788,0.0715,0.4499
CLM00186,0.3575,0,Normal range across operational and financial metrics,0.3575,0.132,0.7565
CLM00187,0.2901,0,Normal range across operational and financial metrics,0.2901,0.1032,0.616
CLM00188,0.4615,0,Normal range across operational and financial metrics,0.4615,0.1398,0.7964
CLM00189,0.2743,0,Normal range across operational and financial metrics,0.2743,0.0942,0.5883
CLM00190,0.5392,0,Normal range across operational and financial metrics,0.5392,0.2757,0.8194
CLM00191,0.1623,0,Normal range across operational and financial metrics,0.1623,0.0537,0.382
CLM00192,0.4474,0,Normal range across operational and financial metrics,0.4474,0.1429,0.6652
CLM00193,0.3525,0,Normal range across operational and financial metrics,0.3525,0.1111,0.6462
CLM00194,0.5493,0,Normal range across operational and financial metrics,0.5493,0.4607,0.8395
CLM00195,0.4735,0,Normal range across operational and financial metrics,0.4735,0.2635,0.8395
CLM00196,0.1951,0,Normal range across operational and financial metrics,0.1951,0.0758,0.2755
CLM00197,0.4109,0,Normal range across operational and financial metrics,0.4109,0.0817,0.5485
CLM00198,0.1202,0,Normal range across operational and financial metrics,0.1202,0.0846,0.3082
CLM00199,0.446,0,Normal range across operational and financial metrics,0.446,0.1794,0.8307
CLM00200,0.3106,0,Normal range across operational and financial metrics,0.3106,0.1542,0.5136
CLM00201,0.4387,0,Normal range across operational and financial metrics,0.4387,0.2241,0.6325
CLM00202,0.0981,0,Normal range across operational and financial metrics,0.0981,0.0447,0.3414
CLM00203,0.3171,0,Normal range across operational and financial metrics,0.3171,0.0993,0.3448
CLM00204,0.3492,0,Normal range across operational and financial metrics,0.3492,0.1959,0.6505
CLM00205,0.2074,0,Normal range across operational and financial metrics,0.2074,0.071,0.5748
CLM00206,0.1858,0,Normal range across operational and financial metrics,0.1858,0.0937,0.547
CLM00207,0.4322,0,Normal range across operational and financial metrics,0.4322,0.2042,0.6661
CLM00208,0.2027,0,Normal range across operational and financial metrics,0.2027,0.0602,0.502
CLM00209,0.2855,0,Normal range across operational and financial metrics,0.2855,0.1305,0.6512
CLM00210,0.6296,1,High-volume provider concentration (25 claims),0.6296,0.4431,0.8397
CLM00211,0.4636,0,Normal range across operational and financial metrics,0.4636,0.1288,0.7571
CLM00212,0.1194,0,Normal range across operational and financial metrics,0.1194,0.056,0.3286
CLM00213,0.2861,0,Normal range across operational and financial metrics,0.2861,0.0918,0.4776
CLM00214,0.217,0,Normal range across operational and financial metrics,0.217,0.0671,0.6151
CLM00215,0.0778,0,Normal range across operational and financial metrics,0.0778,0.0606,0.2065
CLM00216,0.1696,0,Normal range across operational and financial metrics,0.1696,0.1,0.4582
CLM00217,1.0,1,High amount-to-premium ratio (12.0x vs median 2.9x); Multiple vehicles on file (4 vehicles),1.0,0.6374,1.0
CLM00218,0.1902,0,Normal range across operational and financial metrics,0.1902,0.0658,0.5592
CLM00219,0.4608,0,Normal range across operational and financial metrics,0.4608,0.2246,0.7435
CLM00220,0.5094,0,Normal range across operational and financial metrics,0.5094,0.3006,0.7057
CLM00221,0.2337,0,Normal range across operational and financial metrics,0.2337,0.1198,0.3796
CLM00222,0.4861,0,Normal range across operational and financial metrics,0.4861,0.2767,0.8397
CLM00223,0.3546,0,Normal range across operational and financial metrics,0.3546,0.1855,0.8082
CLM00224,0.2259,0,Normal range across operational and financial metrics,0.2259,0.0474,0.634
CLM00225,0.192,0,Normal range across operational and financial metrics,0.192,0.0621,0.4965
CLM00226,0.226,0,Normal range across operational and financial metrics,0.226,0.0853,0.5386
CLM00227,0.2956,0,Normal range across operational and financial metrics,0.2956,0.2118,0.6203
CLM00228,0.6273,1,High amount-to-premium ratio (7.2x vs median 2.9x); Early claim immediately post-inception (0 days); Multiple vehicles on file (3 vehicles),0.6273,0.2571,0.8396
CLM00229,0.643,1,High amount-to-premium ratio (7.4x vs median 2.9x); Invoice unusually small relative to claim (0.04x ratio); Multiple vehicles on file (3 vehicles),0.643,0.2673,0.8397
CLM00230,0.306,0,Normal range across operational and financial metrics,0.306,0.099,0.4812
CLM00231,0.3374,0,Normal range across operational and financial metrics,0.3374,0.1519,0.6841
CLM00232,0.274,0,Normal range across operational and financial metrics,0.274,0.1397,0.828
CLM00233,0.1857,0,Normal range across operational and financial metrics,0.1857,0.1103,0.63
CLM00234,0.7286,1,Invoice exceeds claim amount (11.4x ratio); High-volume provider concentration (25 claims),0.7286,0.5051,0.8396
CLM00235,0.4741,0,Normal range across operational and financial metrics,0.4741,0.2392,0.7112
CLM00236,0.1877,0,Normal range across operational and financial metrics,0.1877,0.0561,0.3744
CLM00237,0.1644,0,Normal range across operational and financial metrics,0.1644,0.0482,0.4768
CLM00238,0.4212,0,Normal range across operational and financial metrics,0.4212,0.2367,0.8396
CLM00239,0.1371,0,Normal range across operational and financial metrics,0.1371,0.0828,0.2415
CLM00240,0.5659,0,Invoice exceeds claim amount (5.7x ratio); Multiple vehicles on file (3 vehicles),0.5659,0.2754,0.7597
CLM00241,0.1951,0,Normal range across operational and financial metrics,0.1951,0.0833,0.4236
CLM00242,0.2445,0,Normal range across operational and financial metrics,0.2445,0.0815,0.5902
CLM00243,0.3441,0,Normal range across operational and financial metrics,0.3441,0.1061,0.6805
CLM00244,0.3822,0,Normal range across operational and financial metrics,0.3822,0.1892,0.4513
CLM00245,0.0783,0,Normal range across operational and financial metrics,0.0783,0.0412,0.2669
CLM00246,0.3972,0,Normal range across operational and financial metrics,0.3972,0.1024,0.4559
CLM00247,0.4473,0,Normal range across operational and financial metrics,0.4473,0.301,0.8395
CLM00248,0.881,1,Invoice exceeds claim amount (21.9x ratio); High-volume provider concentration (25 claims),0.881,0.8178,0.9447
CLM00249,0.1058,0,Normal range across operational and financial metrics,0.1058,0.0323,0.4674
CLM00250,0.3076,0,Normal range across operational and financial metrics,0.3076,0.1611,0.5422
CLM00251,0.3921,0,Normal range across operational and financial metrics,0.3921,0.2395,0.8397
CLM00252,0.4374,0,Normal range across operational and financial metrics,0.4374,0.2067,0.8218
CLM00253,0.5458,0,Normal range across operational and financial metrics,0.5458,0.3253,0.8397
CLM00254,0.3543,0,Normal range across operational and financial metrics,0.3543,0.1414,0.7232
CLM00255,0.233,0,Normal range across operational and financial metrics,0.233,0.0652,0.5759
CLM00256,0.042,0,Normal range across operational and financial metrics,0.042,0.0285,0.2227
CLM00257,0.6173,1,"High claim amount (INR 270,016, Top 5%); Multiple vehicles on file (4 vehicles)",0.6173,0.1751,0.8396
CLM00258,0.1465,0,Normal range across operational and financial metrics,0.1465,0.0581,0.4164
CLM00259,0.1536,0,Normal range across operational and financial metrics,0.1536,0.0546,0.4146
CLM00260,0.1206,0,Normal range across operational and financial metrics,0.1206,0.0205,0.3589
CLM00261,0.1141,0,Normal range across operational and financial metrics,0.1141,0.0425,0.4771
CLM00262,0.0871,0,Normal range across operational and financial metrics,0.0871,0.0303,0.2242
CLM00263,0.4331,0,Normal range across operational and financial metrics,0.4331,0.2313,0.6772
CLM00264,0.6146,1,High claimant claim frequency (7 claims),0.6146,0.2729,0.8396
CLM00265,0.4799,0,Normal range across operational and financial metrics,0.4799,0.3105,0.8397
CLM00266,0.702,1,Invoice exceeds claim amount (19.8x ratio),0.702,0.6606,0.92
CLM00267,0.4486,0,Normal range across operational and financial metrics,0.4486,0.2617,0.8395
CLM00268,0.1729,0,Normal range across operational and financial metrics,0.1729,0.0474,0.5221
CLM00269,0.3969,0,Normal range across operational and financial metrics,0.3969,0.1103,0.6137
CLM00270,0.462,0,Normal range across operational and financial metrics,0.462,0.18,0.628
CLM00271,0.1386,0,Normal range across operational and financial metrics,0.1386,0.0895,0.3042
CLM00272,0.179,0,Normal range across operational and financial metrics,0.179,0.0744,0.5449
CLM00273,0.2504,0,Normal range across operational and financial metrics,0.2504,0.078,0.7909
CLM00274,0.7912,1,Invoice exceeds claim amount (21.7x ratio),0.7912,0.761,0.8636
CLM00275,0.5596,0,Invoice exceeds claim amount (7.8x ratio),0.5596,0.3761,0.8395
CLM00276,0.2188,0,Normal range across operational and financial metrics,0.2188,0.0787,0.4403
CLM00277,0.2072,0,Normal range across operational and financial metrics,0.2072,0.104,0.6181
CLM00278,0.3858,0,Normal range across operational and financial metrics,0.3858,0.1373,0.8396
CLM00279,0.066,0,Normal range across operational and financial metrics,0.066,0.0452,0.1448
CLM00280,0.3004,0,Normal range across operational and financial metrics,0.3004,0.0983,0.609
CLM00281,0.5171,0,Normal range across operational and financial metrics,0.5171,0.233,0.7918
CLM00282,0.5224,0,Normal range across operational and financial metrics,0.5224,0.1631,0.8297
CLM00283,0.239,0,Normal range across operational and financial metrics,0.239,0.1014,0.4454
CLM00284,0.276,0,Normal range across operational and financial metrics,0.276,0.142,0.6628
CLM00285,0.1544,0,Normal range across operational and financial metrics,0.1544,0.102,0.6135
CLM00286,0.1961,0,Normal range across operational and financial metrics,0.1961,0.0668,0.2802
CLM00287,0.4583,0,Normal range across operational and financial metrics,0.4583,0.2094,0.7497
CLM00288,0.5137,0,Normal range across operational and financial metrics,0.5137,0.2869,0.8396
CLM00289,0.2062,0,Normal range across operational and financial metrics,0.2062,0.0623,0.5006
CLM00290,0.1829,0,Normal range across operational and financial metrics,0.1829,0.0765,0.3611
CLM00291,0.6942,1,Invoice exceeds claim amount (3.0x ratio); Multiple vehicles on file (4 vehicles),0.6942,0.3358,0.8395
CLM00292,0.4089,0,Normal range across operational and financial metrics,0.4089,0.2723,0.8086
CLM00293,0.5594,0,Invoice unusually small relative to claim (0.08x ratio); Multiple vehicles on file (3 vehicles),0.5594,0.1638,0.8395
CLM00294,0.2594,0,Normal range across operational and financial metrics,0.2594,0.1202,0.7706
CLM00295,0.2712,0,Normal range across operational and financial metrics,0.2712,0.1169,0.7232
CLM00296,0.5025,0,Normal range across operational and financial metrics,0.5025,0.1093,0.8176
CLM00297,0.2166,0,Normal range across operational and financial metrics,0.2166,0.0463,0.6426
CLM00298,0.2551,0,Normal range across operational and financial metrics,0.2551,0.1334,0.5679
CLM00299,0.1499,0,Normal range across operational and financial metrics,0.1499,0.0326,0.5433
CLM00300,0.3569,0,Normal range across operational and financial metrics,0.3569,0.2717,0.6424
CLM00301,0.2471,0,Normal range across operational and financial metrics,0.2471,0.1006,0.4755
CLM00302,0.5285,0,Normal range across operational and financial metrics,0.5285,0.1659,0.8394
CLM00303,0.4158,0,Normal range across operational and financial metrics,0.4158,0.3016,0.8094
CLM00304,0.4274,0,Normal range across operational and financial metrics,0.4274,0.2078,0.575
CLM00305,0.0872,0,Normal range across operational and financial metrics,0.0872,0.0591,0.4884
CLM00306,0.2342,0,Normal range across operational and financial metrics,0.2342,0.0966,0.6063
CLM00307,0.3091,0,Normal range across operational and financial metrics,0.3091,0.1024,0.5584
CLM00308,0.3163,0,Normal range across operational and financial metrics,0.3163,0.105,0.5786
CLM00309,0.7945,1,Invoice exceeds claim amount (26.3x ratio),0.7945,1.0,0.9497
CLM00310,0.3236,0,Normal range across operational and financial metrics,0.3236,0.1432,0.5256
CLM00311,0.4619,0,Normal range across operational and financial metrics,0.4619,0.2202,0.8395
CLM00312,0.2892,0,Normal range across operational and financial metrics,0.2892,0.1021,0.5889
CLM00313,0.314,0,Normal range across operational and financial metrics,0.314,0.1595,0.8309
CLM00314,0.5198,0,Normal range across operational and financial metrics,0.5198,0.3337,0.8396
CLM00315,0.3491,0,Normal range across operational and financial metrics,0.3491,0.0887,0.5784
CLM00316,0.1726,0,Normal range across operational and financial metrics,0.1726,0.0828,0.1914
