claimant_id,name,age,city,gender,marital_status
CLT0054,Customer 0054,48.0,Surat,F,Single
CLT0055,Customer 0055,64.0,Mumbai,M,Married
CLT0056,Customer 0056,67.0,Ahmedabad,M,Single
CLT0057,Customer 0057,33.0,Pune,F,Single
CLT0058,Customer 0058,48.0,Pune,F,Married
CLT0059,Customer 0059,36.0,Mumbai,F,Single
CLT0060,Customer 0060,24.0,Delhi,M,Single
CLT0061,Customer 0061,69.0,Pune,M,Married
CLT0062,Customer 0062,52.0,Surat,M,Married
CLT0063,Customer 0063,24.0,Pune,F,Single
CLT0064,Customer 0064,45.0,Ahmedabad,F,Married
CLT0065,Customer 0065,48.0,Delhi,F,Single
CLT0066,Customer 0066,33.0,Ahmedabad,M,Single
CLT0067,Customer 0067,58.0,Delhi,M,Married
CLT0068,Customer 0068,24.0,Mumbai,F,Single
CLT0069,Customer 0069,24.0,Delhi,M,Single
CLT0070,Customer 0070,25.0,Delhi,M,Single
CLT0071,Customer 0071,46.0,Mumbai,M,Single
CLT0072,Customer 0072,60.0,Mumbai,F,Married
CLT0073,Customer 0073,37.0,Pune,F,Single
CLT0074,Customer 0074,37.0,Surat,M,Married
CLT0075,Customer 0075,50.0,Ahmedabad,M,Single
CLT0076,Customer 0076,50.0,Delhi,M,Single
CLT0077,Customer 0077,55.0,Pune,F,Single
CLT0078,Customer 0078,43.0,Mumbai,M,Married
CLT0079,Customer 0079,39.0,Pune,F,Married
CLT0080,Customer 0080,60.0,Delhi,M,Married
CLT0081,Customer 0081,63.0,Mumbai,M,Married
CLT0082,Customer 0082,28.0,Mumbai,M,Married
CLT0083,Customer 0083,39.0,Delhi,M,Married
CLT0084,Customer 0084,34.0,Ahmedabad,F,Married
CLT0085,Customer 0085,24.0,Mumbai,F,Married
CLT0086,Customer 0086,23.0,Mumbai,F,Single
CLT0087,Customer 0087,61.0,Ahmedabad,M,Married
CLT0088,Customer 0088,56.0,Surat,M,Single
CLT0089,Customer 0089,25.0,Pune,M,Married
CLT0090,Customer 0090,58.0,Delhi,M,Married
CLT0091,Customer 0091,29.0,Mumbai,F,Married
CLT0092,Customer 0092,23.0,Ahmedabad,M,Single
CLT0093,Customer 0093,63.0,Mumbai,F,Married
CLT0094,Customer 0094,60.0,Pune,M,Single
CLT0095,Customer 0095,32.0,Surat,M,Single
CLT0096,Customer 0096,68.0,Ahmedabad,F,Single
CLT0097,Customer 0097,38.0,Pune,M,Married
CLT0098,Customer 0098,23.0,Surat,M,Single
CLT0099,Customer 0099,50.0,Ahmedabad,F,Single
CLT0100,Customer 0100,35.0,Mumbai,M,Married
CLT0101,Customer 0101,42.0,Ahmedabad,M,Married
CLT0102,Customer 0102,43.0,Delhi,F,Married
CLT0103,Customer 0103,22.0,Mumbai,F,Single
CLT0104,Customer 0104,58.0,Ahmedabad,M,Single
CLT0105,Customer 0105,59.0,Surat,F,Married
CLT0106,Customer 0106,48.0,Delhi,M,Married
CLT0107,Customer 0107,57.0,Pune,F,Single
CLT0108,Customer 0108,66.0,Surat,M,Single
CLT0109,Customer 0109,44.0,Surat,M,Married
CLT0110,Customer 0110,60.0,Ahmedabad,M,Married
CLT0111,Customer 0111,53.0,Ahmedabad,F,Married
CLT0112,Customer 0112,46.0,Ahmedabad,M,Single
CLT0113,Customer 0113,47.0,Surat,M,Married
CLT0114,Customer 0114,46.0,Delhi,M,Married
CLT0115,Customer 0115,39.0,Pune,F,Married
CLT0116,Customer 0116,50.0,Surat,F,Single
CLT0117,Customer 0117,53.0,Surat,M,Single
CLT0118,Customer 0118,39.0,Delhi,F,Single
CLT0119,Customer 0119,69.0,Pune,F,Single
CLT0120,Customer 0120,33.0,Pune,M,Single
