claim_id,claimant_id,policy_id,vehicle_id,provider_id,invoice_id,claim_date,claim_amount,claim_type,status,fraud_label,description
CLM00036,CLT0056,POL0071,VEH0108,PRV010,INV00124,2026-07-20,25164,Theft,Rejected,0,Claim description 36
CLM00037,CLT0077,POL0051,VEH0118,PRV004,INV00035,2026-03-19,6774,Fire,Rejected,0,Claim description 37
CLM00038,CLT0103,POL0085,VEH0113,PRV011,INV00111,2026-07-28,220884,Glass Damage,Under Review,0,Claim description 38
CLM00039,CLT0039,POL0083,VEH0052,PRV016,INV00081,2026-02-15,109396,Fire,Rejected,0,Claim description 39
CLM00040,CLT0074,POL0063,VEH0084,PRV013,INV00072,2026-07-29,211010,Accident,Under Review,0,Claim description 40
CLM00041,CLT0076,POL0140,VEH0047,PRV022,INV00197,2026-05-21,12055,Natural Disaster,Under Review,0,Claim description 41
CLM00042,CLT0057,POL0075,VEH0018,PRV014,INV00173,2026-05-08,41484,Theft,Approved,0,Claim description 42
CLM00043,CLT0085,POL0040,VEH0109,PRV013,INV00019,2026-04-25,161744,Natural Disaster,Rejected,0,Claim description 43
CLM00044,CLT0070,POL0010,VEH0093,PRV023,INV00208,2026-05-18,160666,Accident,Open,0,Claim description 44
CLM00045,CLT0099,POL0064,VEH0091,PRV006,INV00166,2026-06-06,16612,Natural Disaster,Approved,0,Claim description 45
CLM00046,CLT0102,POL0111,VEH0028,PRV001,INV00026,2026-03-08,63196,Glass Damage,Under Review,0,Claim description 46
CLM00047,CLT0058,POL0096,VEH0101,PRV015,INV00198,2026-06-23,159295,Theft,Approved,0,Claim description 47
CLM00048,CLT0004,POL0124,VEH0027,PRV010,INV00107,2026-08-24,27506,Theft,Approved,1,Claim description 48
CLM00049,CLT0040,POL0088,VEH0117,PRV007,INV00134,2026-05-04,96304,Natural Disaster,Rejected,0,Claim description 49
CLM00050,CLT0041,POL0018,VEH0077,PRV002,INV00208,2026-07-01,148668,Theft,Under Review,1,Claim description 50
CLM00051,CLT0067,POL0045,VEH0041,PRV011,INV00144,2026-04-20,126124,Natural Disaster,Under Review,0,Claim description 51
CLM00052,CLT0024,POL0111,VEH0102,PRV001,INV00189,2026-06-07,236498,Glass Damage,Rejected,0,Claim description 52
CLM00053,CLT0050,POL0002,VEH0055,PRV007,INV00072,2026-07-12,189486,Accident,Open,0,Claim description 53
CLM00054,CLT0103,POL0138,VEH0048,PRV012,INV00084,2026-02-20,124944,Natural Disaster,Approved,1,Claim description 54
CLM00055,CLT0077,POL0100,VEH0101,PRV019,INV00030,2026-03-31,97270,Glass Damage,Under Review,0,Claim description 55
CLM00056,CLT0105,POL0077,VEH0022,PRV022,INV00035,2026-03-22,35896,Accident,Under Review,0,Claim description 56
CLM00057,CLT0048,POL0037,VEH0100,PRV014,INV00153,2026-02-05,155681,Theft,Rejected,0,Claim description 57
CLM00058,CLT0082,POL0138,VEH0045,PRV018,INV00043,2026-05-06,238227,Glass Damage,Open,1,Claim description 58
CLM00059,CLT0111,POL0092,VEH0003,PRV016,INV00035,2026-02-19,218703,Glass Damage,Rejected,0,Claim description 59
CLM00060,CLT0053,POL0126,VEH0107,PRV023,INV00216,2026-04-24,177810,Fire,Open,1,Claim description 60
CLM00061,CLT0036,POL0058,VEH0074,PRV006,INV00200,2026-04-28,153281,Natural Disaster,Open,0,Claim description 61
CLM00062,CLT0074,POL0030,VEH0069,PRV025,INV00140,2026-07-30,101170,Accident,Rejected,0,Claim description 62
CLM00063,CLT0070,POL0056,VEH0109,PRV004,INV00189,2026-08-01,176356,Fire,Open,0,Claim description 63
CLM00064,CLT0058,POL0068,VEH0090,PRV003,INV00113,2026-08-10,35772,Theft,Under Review,0,Claim description 64
CLM00065,CLT0104,POL0090,VEH0110,PRV006,INV00158,2026-02-05,210743,Theft,Open,0,Claim description 65
CLM00066,CLT0073,POL0090,VEH0072,PRV020,INV00138,2026-02-13,89843,Fire,Approved,0,Claim description 66
CLM00067,CLT0074,POL0069,VEH0025,PRV005,INV00193,2026-07-21,112897,Fire,Under Review,0,Claim description 67
CLM00068,CLT0090,POL0034,VEH0064,PRV005,INV00183,2026-03-24,222181,Natural Disaster,Rejected,0,Claim description 68
CLM00069,CLT0019,POL0069,VEH0107,PRV013,INV00116,2026-01-20,171101,Accident,Rejected,0,Claim description 69
CLM00070,CLT0066,POL0072,VEH0095,PRV015,INV00125,2026-03-25,157556,Accident,Rejected,1,Claim description 70
CLM00071,CLT0082,POL0092,VEH0017,PRV018,INV00102,2026-02-25,117628,Natural Disaster,Approved,0,Claim description 71
CLM00072,CLT0042,POL0073,VEH0087,PRV018,INV00148,2026-02-03,153410,Fire,Open,0,Claim description 72
CLM00073,CLT0006,POL0026,VEH0118,PRV001,INV00032,2026-08-26,232145,Theft,Under Review,1,Claim description 73
CLM00074,CLT0113,POL0078,VEH0041,PRV009,INV00024,2026-06-17,99485,Fire,Under Review,0,Claim description 74
CLM00075,CLT0007,POL0102,VEH0079,PRV024,INV00180,2026-07-13,66379,Accident,Open,0,Claim description 75
CLM00076,CLT0001,POL0055,VEH0123,PRV003,INV00034,2026-06-01,64294,Natural Disaster,Open,0,Claim description 76
CLM00077,CLT0002,POL0088,VEH0031,PRV014,INV00178,2026-02-03,146850,Accident,Approved,1,Claim description 77
CLM00078,CLT0048,POL0077,VEH0036,PRV013,INV00199,2026-07-28,202435,Theft,Open,0,Claim description 78
CLM00079,CLT0068,POL0003,VEH0043,PRV015,INV00090,2026-07-04,60851,Theft,Rejected,0,Claim description 79
CLM00080,CLT0079,POL0114,VEH0056,PRV003,INV00026,2026-02-05,202249,Fire,Rejected,1,Claim description 80
CLM00081,CLT0041,POL0036,VEH0064,PRV009,INV00166,2026-01-22,70055,Glass Damage,Approved,0,Claim description 81
CLM00082,CLT0100,POL0007,VEH0078,PRV007,INV00133,2026-06-05,138568,Natural Disaster,Approved,0,Claim description 82
CLM00083,CLT0083,POL0014,VEH0062,PRV016,INV00099,2026-01-29,68198,Glass Damage,Open,0,Claim description 83
CLM00084,CLT0068,POL0004,VEH0093,PRV011,INV00034,2026-04-10,230657,Natural Disaster,Approved,0,Claim description 84
CLM00085,CLT0070,POL0045,VEH0121,PRV025,INV00019,2026-01-05,130440,Accident,Rejected,1,Claim description 85
CLM00086,CLT0065,POL0074,VEH0129,PRV025,INV00107,2026-04-19,188975,Glass Damage,Under Review,0,Claim description 86
CLM00087,CLT0036,POL0022,VEH0080,PRV003,INV00131,2026-08-24,58267,Theft,Approved,0,Claim description 87
CLM00088,CLT0051,POL0017,VEH0080,PRV023,INV00112,2026-07-06,226896,Theft,Open,0,Claim description 88
CLM00089,CLT0119,POL0112,VEH0030,PRV015,INV00157,2026-06-05,19425,Theft,Open,0,Claim description 89
CLM00090,CLT0002,POL0036,VEH0003,PRV006,INV00128,2026-09-01,95886,Fire,Under Review,0,Claim description 90
CLM00091,CLT0048,POL0033,VEH0069,PRV024,INV00031,2026-07-17,240902,Fire,Open,1,Claim description 91
CLM00092,CLT0034,POL0020,VEH0128,PRV015,INV00131,2026-04-03,19533,Glass Damage,Under Review,0,Claim description 92
CLM00093,CLT0048,POL0041,VEH0066,PRV025,INV00027,2026-08-17,155447,Accident,Under Review,0,Claim description 93
CLM00094,CLT0095,POL0131,VEH0001,PRV002,INV00220,2026-08-09,8221,Natural Disaster,Approved,0,Claim description 94
CLM00095,CLT0050,POL0039,VEH0046,PRV002,INV00142,2026-07-25,244585,Natural Disaster,Under Review,0,Claim description 95
CLM00096,CLT0042,POL0064,VEH0107,PRV024,INV00082,2026-03-11,251607,Accident,Under Review,1,Claim description 96
CLM00097,CLT0029,POL0133,VEH0012,PRV013,INV00018,2026-08-13,126921,Fire,Approved,0,Claim description 97
CLM00098,CLT0012,POL0117,VEH0003,PRV012,INV00052,2026-03-16,152798,Glass Damage,Under Review,0,Claim description 98
CLM00099,CLT0060,POL0095,VEH0127,PRV025,INV00199,2026-02-20,197010,Theft,Under Review,0,Claim description 99
CLM00100,CLT0001,POL0105,VEH0007,PRV008,INV00139,2026-03-30,171708,Accident,Approved,0,Claim description 100
CLM00101,CLT0001,POL0097,VEH0079,PRV004,INV00053,2026-05-16,67434,Accident,Under Review,0,Claim description 101
CLM00102,CLT0092,POL0072,VEH0024,PRV002,INV00060,2026-08-18,226643,Fire,Rejected,0,Claim description 102
CLM00103,CLT0096,POL0022,VEH0025,PRV017,INV00035,2026-06-13,219948,Glass Damage,Open,0,Claim description 103
CLM00104,CLT0056,POL0034,VEH0061,PRV010,INV00067,2026-08-06,87577,Natural Disaster,Approved,0,Claim description 104
CLM00105,CLT0041,POL0116,VEH0070,PRV008,INV00020,2026-08-30,58139,Accident,Under Review,1,Claim description 105
CLM00106,CLT0014,POL0043,VEH0116,PRV015,INV00081,2026-04-15,36650,Theft,Rejected,0,Claim description 106
CLM00107,CLT0040,POL0119,VEH0068,PRV004,INV00024,2026-02-10,216706,Glass Damage,Open,0,Claim description 107
CLM00108,CLT0028,POL0084,VEH0038,PRV003,INV00183,2026-03-05,98255,Accident,Approved,0,Claim description 108
CLM00109,CLT0034,POL0045,VEH0008,PRV013,INV00219,2026-04-26,150739,Theft,Open,0,Claim description 109
CLM00110,CLT0060,POL0027,VEH0036,PRV004,INV00004,2026-01-16,222677,Theft,Under Review,0,Claim description 110
CLM00111,CLT0026,POL0103,VEH0096,PRV022,INV00162,2026-08-29,139657,Accident,Open,1,Claim description 111
CLM00112,CLT0026,POL0114,VEH0033,PRV003,INV00217,2026-08-01,217044,Accident,Rejected,0,Claim description 112
CLM00113,CLT0007,POL0044,VEH0111,PRV024,INV00102,2026-05-08,12728,Natural Disaster,Under Review,0,Claim description 113
CLM00114,CLT0046,POL0055,VEH0048,PRV009,INV00072,2026-04-25,236584,Glass Damage,Under Review,1,Claim description 114
CLM00115,CLT0083,POL0076,VEH0128,PRV014,INV00141,2026-05-03,229899,Theft,Under Review,1,Claim description 115
CLM00116,CLT0081,POL0140,VEH0005,PRV013,INV00201,2026-07-02,99139,Natural Disaster,Approved,0,Claim description 116
CLM00117,CLT0117,POL0129,VEH0083,PRV013,INV00070,2026-02-16,11832,Theft,Open,0,Claim description 117
CLM00118,CLT0115,POL0072,VEH0015,PRV016,INV00136,2026-04-02,206023,Theft,Under Review,0,Claim description 118
CLM00119,CLT0013,POL0064,VEH0062,PRV009,INV00137,2026-07-28,212418,Accident,Under Review,0,Claim description 119
CLM00120,CLT0074,POL0100,VEH0091,PRV006,INV00046,2026-03-02,160325,Fire,Open,0,Claim description 120
CLM00121,CLT0091,POL0091,VEH0037,PRV019,INV00049,2026-08-03,217441,Natural Disaster,Approved,0,Claim description 121
CLM00122,CLT0023,POL0126,VEH0010,PRV003,INV00015,2026-03-01,162722,Glass Damage,Rejected,0,Claim description 122
CLM00123,CLT0001,POL0085,VEH0052,PRV005,INV00088,2026-07-03,51520,Fire,Open,0,Claim description 123
CLM00124,CLT0003,POL0038,VEH0037,PRV025,INV00029,2026-08-05,142965,Accident,Approved,0,Claim description 124
CLM00125,CLT0091,POL0102,VEH0026,PRV011,INV00078,2026-03-24,40769,Natural Disaster,Rejected,0,Claim description 125
CLM00126,CLT0084,POL0082,VEH0045,PRV023,INV00144,2026-06-27,238203,Fire,Under Review,0,Claim description 126
CLM00127,CLT0086,POL0045,VEH0097,PRV010,INV00188,2026-06-26,82205,Glass Damage,Rejected,1,Claim description 127
CLM00128,CLT0109,POL0009,VEH0047,PRV020,INV00082,2026-08-24,217023,Theft,Open,0,Claim description 128
CLM00129,CLT0120,POL0128,VEH0037,PRV011,INV00191,2026-01-20,67389,Fire,Under Review,0,Claim description 129
CLM00130,CLT0082,POL0023,VEH0086,PRV015,INV00003,2026-03-09,59967,Accident,Approved,0,Claim description 130
CLM00131,CLT0033,POL0028,VEH0001,PRV002,INV00099,2026-04-23,197042,Theft,Rejected,0,Claim description 131
CLM00132,CLT0064,POL0097,VEH0090,PRV018,INV00097,2026-01-26,222266,Glass Damage,Under Review,0,Claim description 132
CLM00133,CLT0021,POL0116,VEH0019,PRV002,INV00076,2026-01-06,88549,Accident,Open,0,Claim description 133
CLM00134,CLT0044,POL0044,VEH0097,PRV006,INV00188,2026-01-20,148404,Accident,Approved,0,Claim description 134
CLM00135,CLT0077,POL0124,VEH0008,PRV014,INV00168,2026-02-12,164204,Theft,Open,0,Claim description 135
CLM00136,CLT0013,POL0085,VEH0053,PRV007,INV00105,2026-06-28,150257,Glass Damage,Approved,0,Claim description 136
CLM00137,CLT0085,POL0073,VEH0077,PRV008,INV00025,2026-01-13,107996,Natural Disaster,Under Review,0,Claim description 137
CLM00138,CLT0007,POL0093,VEH0001,PRV014,INV00023,2026-03-17,220979,Glass Damage,Rejected,0,Claim description 138
CLM00139,CLT0026,POL0025,VEH0007,PRV007,INV00044,2026-06-13,81496,Natural Disaster,Open,0,Claim description 139
CLM00140,CLT0040,POL0102,VEH0121,PRV016,INV00170,2026-03-09,28890,Natural Disaster,Under Review,0,Claim description 140
CLM00141,CLT0048,POL0098,VEH0095,PRV006,INV00115,2026-01-12,74021,Fire,Under Review,0,Claim description 141
CLM00142,CLT0108,POL0069,VEH0016,PRV005,INV00193,2026-06-28,179972,Glass Damage,Rejected,1,Claim description 142
CLM00143,CLT0097,POL0059,VEH0016,PRV013,INV00210,2026-05-14,114741,Natural Disaster,Under Review,0,Claim description 143
CLM00144,CLT0061,POL0077,VEH0021,PRV013,INV00219,2026-07-02,14103,Glass Damage,Under Review,0,Claim description 144
CLM00145,CLT0016,POL0115,VEH0045,PRV006,INV00055,2026-07-26,299077,Natural Disaster,Under Review,1,Claim description 145
CLM00146,CLT0106,POL0038,VEH0067,PRV011,INV00187,2026-08-23,224164,Glass Damage,Approved,1,Claim description 146
CLM00147,CLT0110,POL0071,VEH0118,PRV001,INV00202,2026-06-29,168330,Natural Disaster,Open,0,Claim description 147
CLM00148,CLT0054,POL0039,VEH0038,PRV019,INV00151,2026-05-30,203804,Accident,Open,0,Claim description 148
CLM00149,CLT0073,POL0026,VEH0074,PRV018,INV00089,2026-08-13,112712,Natural Disaster,Rejected,0,Claim description 149
CLM00150,CLT0005,POL0045,VEH0071,PRV013,INV00037,2026-06-08,164555,Natural Disaster,Open,0,Claim description 150
CLM00151,CLT0051,POL0085,VEH0061,PRV002,INV00191,2026-05-02,246391,Fire,Open,0,Claim description 151
CLM00152,CLT0044,POL0078,VEH0080,PRV009,INV00216,2026-05-06,229981,Accident,Under Review,0,Claim description 152
CLM00153,CLT0018,POL0077,VEH0114,PRV025,INV00212,2026-03-24,75626,Glass Damage,Open,0,Claim description 153
CLM00154,CLT0025,POL0114,VEH0055,PRV014,INV00190,2026-05-05,204096,Fire,Open,0,Claim description 154
CLM00155,CLT0066,POL0041,VEH0017,PRV010,INV00182,2026-05-10,110744,Glass Damage,Open,1,Claim description 155
CLM00156,CLT0023,POL0050,VEH0052,PRV002,INV00064,2026-01-09,172195,Fire,Approved,1,Claim description 156
CLM00157,CLT0106,POL0119,VEH0130,PRV013,INV00163,2026-08-25,37472,Theft,Approved,0,Claim description 157
CLM00158,CLT0063,POL0115,VEH0046,PRV016,INV00151,2026-05-22,96687,Fire,Open,0,Claim description 158
CLM00159,CLT0037,POL0008,VEH0099,PRV002,INV00042,2026-08-07,155014,Theft,Under Review,0,Claim description 159
CLM00160,CLT0083,POL0058,VEH0053,PRV009,INV00167,2026-04-15,139553,Accident,Rejected,1,Claim description 160
CLM00161,CLT0117,POL0034,VEH0045,PRV020,INV00206,2026-01-03,63659,Fire,Approved,0,Claim description 161
CLM00162,CLT0055,POL0097,VEH0090,PRV015,INV00065,2026-02-25,127342,Glass Damage,Rejected,0,Claim description 162
CLM00163,CLT0075,POL0027,VEH0002,PRV017,INV00170,2026-09-05,226061,Glass Damage,Approved,0,Claim description 163
CLM00164,CLT0039,POL0028,VEH0124,PRV003,INV00087,2026-03-12,172928,Fire,Approved,0,Claim description 164
CLM00165,CLT0084,POL0077,VEH0049,PRV005,INV00133,2026-07-15,67993,Glass Damage,Rejected,0,Claim description 165
CLM00166,CLT0085,POL0082,VEH0036,PRV024,INV00007,2026-06-17,135383,Fire,Rejected,0,Claim description 166
CLM00167,CLT0052,POL0100,VEH0010,PRV019,INV00182,2026-05-27,218913,Theft,Rejected,0,Claim description 167
CLM00168,CLT0117,POL0092,VEH0130,PRV010,INV00217,2026-02-13,225368,Glass Damage,Under Review,0,Claim description 168
CLM00169,CLT0038,POL0025,VEH0121,PRV005,INV00190,2026-03-08,195103,Theft,Approved,0,Claim description 169
CLM00170,CLT0084,POL0023,VEH0057,PRV012,INV00058,2026-07-10,233440,Fire,Approved,0,Claim description 170
CLM00171,CLT0034,POL0076,VEH0119,PRV004,INV00121,2026-01-14,232119,Glass Damage,Open,0,Claim description 171
CLM00172,CLT0061,POL0050,VEH0129,PRV004,INV00175,2026-04-08,143893,Accident,Under Review,0,Claim description 172
CLM00173,CLT0018,POL0052,VEH0088,PRV014,INV00146,2026-08-17,242665,Theft,Approved,0,Claim description 173
CLM00174,CLT0111,POL0047,VEH0021,PRV016,INV00086,2026-06-11,51353,Accident,Open,0,Claim description 174
CLM00175,CLT0058,POL0071,VEH0054,PRV025,INV00199,2026-02-13,156068,Natural Disaster,Open,0,Claim description 175
CLM00176,CLT0017,POL0112,VEH0110,PRV013,INV00110,2026-09-05,130147,Accident,Under Review,0,Claim description 176
CLM00177,CLT0094,POL0096,VEH0004,PRV011,INV00194,2026-08-02,144207,Accident,Under Review,0,Claim description 177
CLM00178,CLT0029,POL0089,VEH0080,PRV005,INV00027,2026-04-09,136946,Theft,Open,0,Claim description 178
CLM00179,CLT0106,POL0012,VEH0077,PRV010,INV00117,2026-07-06,141390,Fire,Rejected,0,Claim description 179
CLM00180,CLT0114,POL0035,VEH0088,PRV016,INV00092,2026-07-12,54394,Natural Disaster,Open,1,Claim description 180
CLM00181,CLT0030,POL0058,VEH0034,PRV007,INV00188,2026-01-06,159584,Accident,Approved,0,Claim description 181
CLM00182,CLT0092,POL0010,VEH0097,PRV021,INV00066,2026-07-17,145177,Glass Damage,Open,0,Claim description 182
CLM00183,CLT0085,POL0028,VEH0006,PRV002,INV00177,2026-01-30,114255,Accident,Approved,0,Claim description 183
CLM00184,CLT0061,POL0040,VEH0053,PRV023,INV00176,2026-06-11,7439,Accident,Approved,0,Claim description 184
CLM00185,CLT0080,POL0036,VEH0108,PRV004,INV00131,2026-07-04,147856,Natural Disaster,Under Review,1,Claim description 185
CLM00186,CLT0078,POL0052,VEH0068,PRV017,INV00052,2026-04-02,189401,Theft,Open,0,Claim description 186
CLM00187,CLT0071,POL0128,VEH0054,PRV023,INV00124,2026-03-26,66474,Accident,Rejected,1,Claim description 187
CLM00188,CLT0020,POL0024,VEH0020,PRV024,INV00186,2026-01-26,242182,Theft,Rejected,0,Claim description 188
CLM00189,CLT0038,POL0068,VEH0119,PRV002,INV00026,2026-07-28,50797,Fire,Approved,0,Claim description 189
CLM00190,CLT0103,POL0081,VEH0110,PRV024,INV00030,2026-01-25,228149,Accident,Open,0,Claim description 190
CLM00191,CLT0110,POL0036,VEH0044,PRV011,INV00092,2026-08-17,119744,Fire,Open,0,Claim description 191
CLM00192,CLT0048,POL0088,VEH0047,PRV004,INV00103,2026-04-13,124678,Natural Disaster,Rejected,0,Claim description 192
CLM00193,CLT0103,POL0108,VEH0043,PRV004,INV00034,2026-06-28,195424,Theft,Open,1,Claim description 193
CLM00194,CLT0054,POL0124,VEH0113,PRV006,INV00157,2026-04-08,209253,Accident,Under Review,0,Claim description 194
CLM00195,CLT0062,POL0125,VEH0029,PRV014,INV00113,2026-01-12,21603,Fire,Open,0,Claim description 195
CLM00196,CLT0091,POL0135,VEH0058,PRV022,INV00087,2026-05-13,142128,Glass Damage,Open,0,Claim description 196
CLM00197,CLT0056,POL0064,VEH0124,PRV012,INV00170,2026-06-23,173140,Glass Damage,Open,0,Claim description 197
CLM00198,CLT0002,POL0041,VEH0130,PRV016,INV00219,2026-05-07,232912,Fire,Under Review,1,Claim description 198
CLM00199,CLT0043,POL0072,VEH0013,PRV017,INV00058,2026-05-21,173641,Theft,Open,0,Claim description 199
CLM00200,CLT0059,POL0114,VEH0115,PRV003,INV00220,2026-05-08,122196,Natural Disaster,Open,0,Claim description 200
CLM00201,CLT0014,POL0104,VEH0106,PRV002,INV00143,2026-05-21,5044,Glass Damage,Approved,0,Claim description 201
CLM00202,CLT0114,POL0131,VEH0053,PRV021,INV00172,2026-04-27,94352,Accident,Under Review,0,Claim description 202
CLM00203,CLT0109,POL0117,VEH0085,PRV018,INV00197,2026-06-08,162273,Fire,Rejected,0,Claim description 203
CLM00204,CLT0015,POL0025,VEH0057,PRV001,INV00088,2026-04-01,222549,Fire,Approved,0,Claim description 204
CLM00205,CLT0090,POL0028,VEH0012,PRV006,INV00127,2026-02-05,220440,Natural Disaster,Open,0,Claim description 205
CLM00206,CLT0033,POL0051,VEH0049,PRV004,INV00219,2026-04-11,61515,Theft,Approved,0,Claim description 206
CLM00207,CLT0014,POL0107,VEH0012,PRV021,INV00215,2026-06-22,159353,Natural Disaster,Under Review,1,Claim description 207
CLM00208,CLT0064,POL0002,VEH0013,PRV018,INV00111,2026-08-03,158385,Glass Damage,Under Review,0,Claim description 208
CLM00209,CLT0089,POL0045,VEH0033,PRV004,INV00100,2026-06-18,162429,Fire,Rejected,0,Claim description 209
CLM00210,CLT0054,POL0064,VEH0071,PRV013,INV00088,2026-09-06,82115,Theft,Under Review,0,Claim description 210
CLM00211,CLT0053,POL0132,VEH0077,PRV023,INV00141,2026-08-09,87289,Glass Damage,Under Review,0,Claim description 211
CLM00212,CLT0026,POL0054,VEH0075,PRV022,INV00089,2026-08-24,181258,Theft,Approved,1,Claim description 212
CLM00213,CLT0091,POL0030,VEH0091,PRV018,INV00123,2026-05-30,154589,Natural Disaster,Approved,0,Claim description 213
CLM00214,CLT0113,POL0109,VEH0004,PRV017,INV00028,2026-01-07,104842,Theft,Approved,1,Claim description 214
CLM00215,CLT0097,POL0042,VEH0074,PRV022,INV00065,2026-02-07,225038,Theft,Open,1,Claim description 215
CLM00216,CLT0046,POL0116,VEH0027,PRV020,INV00173,2026-07-09,152294,Glass Damage,Rejected,0,Claim description 216
CLM00217,CLT0031,POL0131,VEH0074,PRV023,INV00171,2026-01-13,247872,Natural Disaster,Approved,0,Claim description 217
CLM00218,CLT0071,POL0014,VEH0004,PRV024,INV00065,2026-02-21,167676,Natural Disaster,Under Review,0,Claim description 218
CLM00219,CLT0117,POL0095,VEH0051,PRV025,INV00186,2026-09-04,55724,Theft,Open,0,Claim description 219
CLM00220,CLT0024,POL0045,VEH0031,PRV013,INV00011,2026-04-20,78167,Theft,Under Review,0,Claim description 220
CLM00221,CLT0075,POL0066,VEH0002,PRV011,INV00120,2026-07-01,45581,Glass Damage,Open,1,Claim description 221
CLM00222,CLT0100,POL0078,VEH0126,PRV019,INV00141,2026-04-02,24105,Fire,Under Review,0,Claim description 222
CLM00223,CLT0024,POL0134,VEH0018,PRV017,INV00041,2026-04-17,147365,Accident,Approved,0,Claim description 223
CLM00224,CLT0029,POL0055,VEH0085,PRV011,INV00093,2026-03-17,62264,Glass Damage,Rejected,0,Claim description 224
CLM00225,CLT0072,POL0003,VEH0030,PRV022,INV00089,2026-04-25,68005,Glass Damage,Under Review,0,Claim description 225
