policy_id,claimant_id,start_date,end_date,policy_type,premium,date_order_invalid
POL0069,CLT0041,2025-03-03,2027-01-16,Zero Dep,39267,False
POL0070,CLT0025,2025-04-21,2027-01-14,Third Party,51241,False
POL0071,CLT0093,2025-10-29,2027-05-16,Zero Dep,52093,False
POL0072,CLT0013,2026-03-03,2026-04-10,Third Party,44816,False
POL0073,CLT0047,2025-04-02,2026-06-04,Comprehensive,85010,False
POL0074,CLT0017,2025-05-21,2026-01-24,Comprehensive,87529,False
POL0075,CLT0038,2025-12-24,2027-04-29,Comprehensive,79340,False
POL0076,CLT0014,2026-03-23,2026-01-07,Zero Dep,52268,True
POL0077,CLT0061,2025-09-03,2026-08-14,Third Party,39164,False
POL0078,CLT0007,2025-05-10,2027-04-27,Third Party,29953,False
POL0079,CLT0106,2025-02-03,2026-07-25,Third Party,24710,False
POL0080,CLT0074,2025-11-19,2026-12-18,Comprehensive,34887,False
POL0081,CLT0020,2026-02-20,2026-10-16,Third Party,26164,False
POL0082,CLT0032,2025-03-02,2026-10-13,Third Party,44581,False
POL0083,CLT0100,2025-09-25,2026-07-14,Third Party,73028,False
POL0084,CLT0039,2026-03-17,2026-10-29,Third Party,55026,False
POL0085,CLT0073,2025-11-14,2026-01-31,Zero Dep,28006,False
POL0086,CLT0098,2025-04-17,2026-11-17,Comprehensive,49687,False
POL0087,CLT0085,2025-02-11,2026-03-22,Comprehensive,37782,False
POL0088,CLT0071,2025-02-08,2026-03-22,Comprehensive,68545,False
POL0089,CLT0058,2025-12-19,2026-11-01,Third Party,53175,False
POL0090,CLT0005,2025-04-29,2026-05-28,Zero Dep,52056,False
POL0091,CLT0090,2026-03-17,2026-08-21,Comprehensive,45595,False
POL0092,CLT0119,2025-05-16,2027-02-08,Zero Dep,40928,False
POL0093,CLT0055,2025-02-28,2026-10-06,Comprehensive,34528,False
POL0094,CLT0117,2025-05-17,2027-02-28,Comprehensive,24359,False
POL0095,CLT0008,2025-03-26,2027-02-10,Third Party,89607,False
POL0096,CLT0118,2025-05-28,2026-08-13,Comprehensive,76433,False
POL0097,CLT0089,2025-06-05,2026-12-25,Third Party,50683,False
POL0098,CLT0065,2025-10-04,2026-09-10,Third Party,25543,False
POL0099,CLT0077,2025-01-21,2027-04-01,Third Party,57247,False
POL0100,CLT0078,2025-05-09,2026-01-14,Comprehensive,45005,False
POL0101,CLT0087,2026-03-05,2027-03-17,Zero Dep,17719,False
POL0102,CLT0098,2025-12-11,2027-02-25,Third Party,20273,False
POL0103,CLT0098,2026-01-23,2026-03-31,Third Party,83021,False
POL0104,CLT0084,2025-08-15,2027-04-15,Third Party,38788,False
POL0105,CLT0075,2025-08-12,2026-11-22,Third Party,26959,False
POL0106,CLT0061,2025-06-28,2026-07-29,Third Party,57081,False
POL0107,CLT0086,2025-02-23,2027-03-16,Comprehensive,58228,False
POL0108,CLT0053,2025-12-22,2026-09-11,Third Party,67488,False
POL0109,CLT0105,2026-01-25,2026-10-09,Comprehensive,74614,False
POL0110,CLT0012,2025-06-11,2026-05-10,Third Party,30194,False
POL0111,CLT0099,2025-07-26,2027-03-19,Zero Dep,15150,False
POL0112,CLT0085,2026-03-22,2026-10-05,Third Party,69165,False
POL0113,CLT0007,2025-04-07,2026-09-23,Third Party,80338,False
POL0114,CLT0081,2025-08-15,2027-01-25,Comprehensive,41680,False
POL0115,CLT0035,2025-10-09,2026-03-09,Third Party,72424,False
POL0116,CLT0113,2025-12-24,2026-09-06,Comprehensive,18783,False
POL0117,CLT0081,2025-11-08,2027-02-14,Comprehensive,35758,False
POL0118,CLT0040,2025-10-10,2026-01-08,Zero Dep,68476,False
POL0119,CLT0012,2025-04-26,2027-03-07,Comprehensive,75482,False
POL0120,CLT0016,2025-11-28,2027-03-03,Comprehensive,80323,False
POL0121,CLT0120,2026-01-02,2026-05-30,Zero Dep,50838,False
POL0122,CLT0054,2026-03-04,2026-09-05,Third Party,46946,False
POL0123,CLT0059,2025-10-10,2026-03-16,Third Party,39983,False
POL0124,CLT0118,2025-11-03,2026-09-18,Zero Dep,32892,False
POL0125,CLT0111,2025-02-05,2026-05-22,Third Party,59548,False
POL0126,CLT0120,2026-02-08,2026-09-17,Third Party,15336,False
POL0127,CLT0037,2026-01-07,2026-06-02,Zero Dep,79178,False
POL0128,CLT0111,2025-03-18,2026-08-17,Zero Dep,78483,False
POL0129,CLT0045,2025-06-20,2026-10-10,Zero Dep,64441,False
POL0130,CLT0059,2026-04-23,2026-06-14,Comprehensive,46300,False
POL0131,CLT0074,2025-07-16,2026-04-30,Third Party,20720,False
POL0132,CLT0041,2026-01-17,2026-08-31,Zero Dep,64968,False
POL0133,CLT0050,2025-12-06,2027-02-10,Zero Dep,34936,False
POL0134,CLT0064,2026-05-09,2026-01-19,Comprehensive,80836,True
POL0135,CLT0076,2025-06-19,2027-03-22,Comprehensive,72711,False
POL0136,CLT0013,2025-09-27,2027-04-12,Third Party,17011,False
POL0137,CLT0093,2025-03-15,2026-07-29,Zero Dep,35232,False
POL0138,CLT0010,2025-08-29,2027-02-05,Third Party,59375,False
POL0139,CLT0080,2025-12-21,2026-07-23,Zero Dep,25527,False
POL0140,CLT0110,2025-06-18,2027-03-13,Zero Dep,84942,False
