vehicle_id,claimant_id,make,vehicle_type,registration_no,model_year
VEH0047,CLT0013,Maruti,Sedan,MH288398,2021
VEH0048,CLT0053,Tata,MUV,MH267815,2019
VEH0049,CLT0041,Honda,SUV,MH435176,2023
VEH0050,CLT0020,Honda,Hatchback,MH062398,2019
VEH0051,CLT0056,Maruti,SUV,MH523131,2018
VEH0052,CLT0076,Mahindra,SUV,MH433002,2024
VEH0053,CLT0046,Honda,Hatchback,MH196119,2023
VEH0054,CLT0014,Mahindra,Sedan,MH108900,2021
VEH0055,CLT0109,Maruti,SUV,MH557022,2019
VEH0056,CLT0098,Tata,Sedan,MH528030,2018
VEH0057,CLT0078,Tata,Hatchback,MH125477,2022
VEH0058,CLT0118,Tata,SUV,MH013972,2020
VEH0059,CLT0073,Honda,Hatchback,MH101502,2019
VEH0060,CLT0096,Mahindra,Sedan,MH257878,2025
VEH0061,CLT0044,Hyundai,SUV,MH206314,2019
VEH0062,CLT0114,Maruti,Sedan,MH111815,2019
VEH0063,CLT0035,Honda,MUV,MH328242,2024
VEH0064,CLT0035,Hyundai,Hatchback,MH238043,2019
VEH0065,CLT0037,Mahindra,MUV,MH346053,2018
VEH0066,CLT0029,Honda,Hatchback,MH014349,2022
VEH0067,CLT0028,Hyundai,SUV,MH196375,2019
VEH0068,CLT0001,Honda,MUV,MH123116,2024
VEH0069,CLT0069,Hyundai,SUV,MH057505,2018
VEH0070,CLT0056,Maruti,MUV,MH056129,2024
VEH0071,CLT0074,Honda,MUV,MH192887,2024
VEH0072,CLT0003,Tata,Sedan,MH528538,2023
VEH0073,CLT0012,Honda,Hatchback,MH168138,2024
VEH0074,CLT0068,Maruti,MUV,MH206562,2021
VEH0075,CLT0043,Hyundai,Hatchback,MH332868,2021
VEH0076,CLT0116,Tata,SUV,MH473419,2021
VEH0077,CLT0014,Hyundai,SUV,MH133842,2020
VEH0078,CLT0098,Maruti,Sedan,MH509095,2025
VEH0079,CLT0097,Mahindra,MUV,MH446295,2023
VEH0080,CLT0020,Honda,Hatchback,MH318245,2022
VEH0081,CLT0102,Tata,Hatchback,MH239312,2019
VEH0082,CLT0040,Honda,MUV,MH031932,2023
VEH0083,CLT0107,Tata,Hatchback,MH422479,2024
VEH0084,CLT0060,Mahindra,Hatchback,MH294084,2023
VEH0085,CLT0078,Honda,Sedan,MH048381,2019
VEH0086,CLT0104,Tata,Hatchback,MH333827,2018
VEH0087,CLT0032,Honda,MUV,MH349564,2020
VEH0088,CLT0047,Tata,SUV,MH257697,2023
VEH0089,CLT0087,Mahindra,Hatchback,MH516482,2019
VEH0090,CLT0043,Maruti,MUV,MH195128,2020
VEH0091,CLT0043,Maruti,Sedan,MH236082,2024
VEH0092,CLT0017,Mahindra,Hatchback,MH207171,2023
VEH0093,CLT0105,Hyundai,Hatchback,MH427937,2023
VEH0094,CLT0003,Tata,SUV,MH124509,2023
VEH0095,CLT0099,Honda,Sedan,MH153253,2020
VEH0096,CLT0010,Tata,Hatchback,MH339843,2018
VEH0097,CLT0085,Tata,Sedan,MH397172,2020
VEH0098,CLT0021,Hyundai,Sedan,MH478170,2018
VEH0099,CLT0053,Tata,Sedan,MH295668,2025
VEH0100,CLT0030,Mahindra,Sedan,MH208684,2021
VEH0101,CLT0048,Mahindra,MUV,MH305616,2024
VEH0102,CLT0065,Mahindra,MUV,MH114271,2020
VEH0103,CLT0112,Tata,Hatchback,MH428873,2023
VEH0104,CLT0071,Maruti,Hatchback,MH192374,2020
VEH0105,CLT0035,Honda,Sedan,MH548167,2019
VEH0106,CLT0117,Hyundai,MUV,MH231436,2024
VEH0107,CLT0007,Honda,SUV,MH167326,2019
VEH0108,CLT0048,Hyundai,Hatchback,MH212623,2023
VEH0109,CLT0102,Hyundai,Sedan,MH035700,2025
VEH0110,CLT0090,Hyundai,MUV,MH291086,2019
VEH0111,CLT0003,Tata,Sedan,MH543449,2024
VEH0112,CLT0015,Tata,Sedan,MH202996,2018
VEH0113,CLT0031,Honda,MUV,MH052816,2025
VEH0114,CLT0077,Mahindra,Hatchback,MH419443,2021
VEH0115,CLT0092,Hyundai,SUV,MH281025,2023
VEH0116,CLT0031,Mahindra,MUV,MH122402,2023
VEH0117,CLT0009,Mahindra,Hatchback,MH258702,2018
VEH0118,CLT0082,Honda,SUV,MH171266,2023
VEH0119,CLT0101,Maruti,SUV,MH162698,2023
VEH0120,CLT0018,Maruti,SUV,MH356546,2020
VEH0121,CLT0107,Honda,MUV,MH413986,2020
VEH0122,CLT0009,Honda,Hatchback,MH194302,2018
VEH0123,CLT0102,Hyundai,Hatchback,MH216080,2024
VEH0124,CLT0105,Mahindra,MUV,MH171599,2021
VEH0125,CLT0037,Tata,Hatchback,MH426438,2022
VEH0126,CLT0016,Tata,MUV,MH268204,2024
VEH0127,CLT0044,Hyundai,MUV,MH459151,2023
VEH0128,CLT0119,Mahindra,SUV,MH522353,2024
VEH0129,CLT0011,Honda,Sedan,MH355813,2023
VEH0130,CLT0014,Maruti,SUV,MH435843,2022
